eligible_order,pid,title,title_en,authors,year,issn,journal_title,doi,document_type,language,source_file,source_file_exists,source_column,task_packet_file,input_text_hash,input_hash,input_hash_matches_source,body_hash_matches_inventory,body_char_count,body_word_count,source_method,source_url,retrieved_at,abstract_char_count,reference_tail_ratio,validation_flags,fulltext_validation_status,pilot_exclusion_policy,scope_exclusion_policy,ordering_policy
400,S0102-85292006000100001,O sistema político dos EUA: implicações para suas políticas externa e de defesa,Influences of the American political system on US foreign and defense policies,Antonio Jorge Ramalho da Rocha,2006,1982-0240,Contexto Internacional,,research-article,pt,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/400_S0102-85292006000100001.md,b820cc7d23a3794c63d51efaa7963420091c816a0f49877fc2ff74555a2dc372,f6003da399009516eecbde5e2556dc410943e59bf0eec9519f631e1d9f3337bd,TRUE,TRUE,74167,11012,articlemeta_fulltexts_html,http://www.scielo.br/j/cint/a/PD49dSLv4skpzTxyBkxVrgB/?lang=pt,2026-06-04T00:33:19Z,550,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
401,S0102-85292006000100002,"Dom Quixote reencontra Sancho Pança: relações internacionais e direito internacional antes, durante e depois da Guerra Fria","Don Quixote meets Sancho Panza again: international relations and international law before, during and after the Cold War",Igor Abdalla Medina de Souza,2006,1982-0240,Contexto Internacional,,research-article,pt,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/401_S0102-85292006000100002.md,79312c9146514839b08a8a4ccbfae5d02e7f1a0c043ec6296a3f0a052ad41c41,5878cfab0b3a7c2324575f2ea34b001ca534b8e6d76e988a0191d64f288ca1ba,TRUE,TRUE,109387,16197,articlemeta_fulltexts_html,http://www.scielo.br/j/cint/a/9L9JMQtNsF3vww8BsKn3q5F/?lang=pt,2026-06-04T00:33:20Z,1233,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
402,S0102-85292006000100003,Será que as laranjas e a cana-de-açúcar da Flórida azedam o livre comércio? uma análise de ratificação de nível II da política comercial dos Estados Unidos com o Brasil,Do Florida oranges and sugarcane sour free trade? a level II ratification analysis of United States trade policy with Brasil,Mark Langevin,2006,1982-0240,Contexto Internacional,,research-article,pt,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/402_S0102-85292006000100003.md,53ad7f45dd3f3985900ce7b6c9d20521aea23bfdf813ce1514215ff73cfbff15,37dc0c347f57761ccd97fdee1d8ca7d42b6e2bd58cb9ddff835c9454fea1cefe,TRUE,TRUE,79767,12495,articlemeta_fulltexts_html,http://www.scielo.br/j/cint/a/rGgPLvNKx8t8z5h3FjMBSZt/?lang=pt,2026-06-04T00:33:21Z,1230,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
403,S0102-85292006000100004,Identidade como fonte de conflito: Ucrânia e Rússia no pós-URSS,Identity as a source of conflict: Ukraine and Russia in the post-USSR,Fabiano Mielniczuk,2006,0102-8529,Contexto Internacional,,research-article,pt,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/403_S0102-85292006000100004.md,990dea2d46d40df9e81226bbc903cece97b259530381d990c6ad4ed8d5a39c0b,f7182a3f86cbc194a79366cafa4474c1cf4a98c66321c58c9a158f2183ada18a,TRUE,TRUE,55035,8881,articlemeta_fulltexts_html,http://www.scielo.br/j/cint/a/5KxWrYnRR4XNzqqhwxKyDkB/?lang=pt,2026-06-04T00:33:21Z,1176,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
404,S0102-85292006000100005,"Constructivism in international relations, the politics of reality","Constructivism in international relations, the politics of reality",Mariana de Oliveira Barros,2006,1982-0240,Contexto Internacional,,research-article,pt,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/404_S0102-85292006000100005.md,50888fbc56ea2146ec9fa2002bf4002c416ee20450e45f491c56e5d502cc4277,889b60a0e0de7c57057dce3a819f2e0e0188acc6bfef4b330564243b5b577f0c,TRUE,TRUE,13907,2108,articlemeta_fulltexts_html,http://www.scielo.br/j/cint/a/JFwz85pWSGJHjdRqvcnF4zs/?lang=pt,2026-06-04T00:33:21Z,0,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
405,S0102-85292006000100006,Trading voices: the European Union in international commercial negotiations,Trading voices: the European Union in international commercial negotiations,Rogério de Souza Farias,2006,0102-8529,Contexto Internacional,,research-article,pt,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/405_S0102-85292006000100006.md,ab928210b6f9978427d6de8af99c2886faa5731b40956f5b1e73d39dcfc78e40,dac43504ad235d85ede36b1d4deda33727f33a919f5aa15bbd1de98419595d98,TRUE,TRUE,10010,1507,articlemeta_fulltexts_html,http://www.scielo.br/j/cint/a/qkbrScZkTXThYVJt5FyGdLN/?lang=pt,2026-06-04T00:33:22Z,0,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
406,S0102-85292006000200001,Ganhos relativos ou política doméstica? Os tratados do Canal do Panamá como um jogo de dois níveis,Relative gains or domestic politics? The Panama Canal Treaties as a two-level game,Rafael Duarte Villa; Fábio Cereda Cordeiro,2006,1982-0240,Contexto Internacional,,research-article,pt,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/406_S0102-85292006000200001.md,d94f2dd9e0246558a746c559747ffa09a027eabc938d953810bdbc71d0fa1088,fc4b4c4b6de8d81614d249a9c577e9ed81a91708c76d3f5fa6f08367a51275cf,TRUE,TRUE,91528,14376,articlemeta_fulltexts_html,http://www.scielo.br/j/cint/a/qZVqkNYPJWZRMw6Q9FqFwNm/?lang=pt,2026-06-04T00:33:22Z,602,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
407,S0102-85292006000200002,"A crise da Liga das Nações de 1926: realismo neoclássico, multilateralismo e a natureza da política externa brasileira","The League of Nations crisis of 1926: neoclassical realism, multilateralism, and the nature of Brazilian foreign policy",Braz Baracuhy,2006,0102-8529,Contexto Internacional,,research-article,pt,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/407_S0102-85292006000200002.md,c5fd4b393d98a21e2eaafad4ce8afae43a8048cf7ec86f71160dc3c9c64e617a,5de3b7f6a6a8dd09bf2382d173a6e771a7d8caf030fccacd5267a5a8913f464d,TRUE,TRUE,69150,10573,articlemeta_fulltexts_html,http://www.scielo.br/j/cint/a/WgsQL4gKwvbZPgfDY6SbftF/?lang=pt,2026-06-04T00:33:23Z,412,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
408,S0102-85292006000200003,Um novo bipolarismo: notas metodológicas para a definição do sistema internacional,A new bipolarism: methodological notes for the definition of the international system,Ademar Seabra da Cruz Jr.,2006,1982-0240,Contexto Internacional,,research-article,pt,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/408_S0102-85292006000200003.md,53c4a1923140f00f92ea1c123998a212caaeec981bf359656a4c6c7b4896502a,13aa73568f84f3cb0818783a8dfa7e8f3193bdbd28ec6a8f794aa7a2626e3ca3,TRUE,TRUE,97743,14776,articlemeta_fulltexts_html,http://www.scielo.br/j/cint/a/FbFtBW5KZGfRzSdQBDC4nnK/?lang=pt,2026-06-04T00:33:23Z,1803,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
409,S0102-85292006000200004,"Coalizões Sul-Sul e multilateralismo: Índia, Brasil e África do Sul","South-South coalitions and multilateralism: India, Brazil and South Africa",Amâncio Jorge Nunes de Oliveira; Janina Onuki; Emmanuel de Oliveira,2006,0102-8529,Contexto Internacional,,research-article,pt,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/409_S0102-85292006000200004.md,7a06cbde85583f477e8d3741471687900eedb008cd7c2dd4b91f574f05d91597,12b14b9bd3a2cffdf5333401519c558fc0c55b70d3495e0f95297f6f3608777e,TRUE,TRUE,57220,8713,articlemeta_fulltexts_html,http://www.scielo.br/j/cint/a/YFxRRh8yGyZgtSY8rvfDk8C/?lang=pt,2026-06-04T00:33:23Z,1191,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
