pid,agent_id,prompt_version,model,run_timestamp,input_text_hash,source_file,raw_response_path,manifest_title,manifest_year,manifest_journal_title,error_in_raw_text,subfield,is_empirical_quant_paper,general_goal_of_analysis,single_country_study,single_region,countries_of_focus,paper_uses_survey_data,uses_original_dataset,seeks_determinants,main_causal_research_design,other_research_design,instrumental_variable_instrument,placebo_test,independent_variables,dependent_variables,main_variable_relationship,makes_explicit_causal_claim,makes_implicit_causal_claim,strong_non_causal_causal_qualification,sample_size,sample_size_quote,claims_any_statistically_significant_results,references_power_analysis,clearly_defined_explanatory_variable,clear_causal_quantity_of_interest,specifies_estimate_equations,discusses_threats_to_causality,statement_of_identification_assumptions_quote,statement_of_identification_assumptions,effort_to_explore_mechanisms,mentions_pre_registered_design_and_analysis_plan,evidence_type,method_status,brief_justification
S0011-52582006000100002,agent_a,agent_a_v1+common_schema_v1,codex_subagent_inherited,2026-06-03T20:55:47Z,1963fb6e32a2faff757d4ccc94fea99b2df795bef8a70e33c8cf6e1e1c9d15d4,data/processed/sample_xmls/S0011-52582006000100002.xml,,"Fundamentos da economia, mercado financeiro e intenção de voto: as eleições presidenciais brasileiras de 1994, 1998 e 2002",2006,Dados,Missing/Corrupt,Brazilian Politics,TRUE,Explain,single_country,,Brazil,uses_public_available_survey,not_original,TRUE,,,,,"[{""variable_name"":""macroeconomic indicators and financial markets"",""variable_description"":""Inflation, unemployment, exchange rate, C-Bond spread and São Paulo Stock Exchange Index.""}]","[{""variable_name"":""voting intentions"",""variable_description"":""Aggregate self-reported preferences for presidential candidates in 1994, 1998 and 2002.""}]","[{""iv_var_name"":""macroeconomic indicators"",""dv_var_name"":""voting intentions"",""relationship_type"":""Unknown"",""statistically_significant"":false,""substantively_significant"":true},{""iv_var_name"":""financial market indicators"",""dv_var_name"":""voting intentions"",""relationship_type"":""Null"",""statistically_significant"":false,""substantively_significant"":false}]",TRUE,FALSE,FALSE,,,,,TRUE,,,,,,No Mention of Mechanisms/Channels,,quantitative,explicit,"O XML não contém corpo integral, mas o resumo descreve testes de hipóteses com dados agregados sobre intenção de voto e indicadores econômicos. Classifiquei como artigo quantitativo explicativo sobre política brasileira, sem atribuir desenho causal específico porque o resumo não declara identificação."
S0011-52582006000300002,agent_a,agent_a_v1+common_schema_v1,codex_subagent_inherited,2026-06-03T20:55:47Z,3749c8b070f00f7e03395d020557ad540e0a6509089c730120f4a5dc9dca81c1,data/processed/sample_xmls/S0011-52582006000300002.xml,,"Max Weber, as múltiplas modernidades e a reorientação da teoria sociológica",2006,Dados,Missing/Corrupt,Methodology and Formal Theory,FALSE,,,,,no_survey_data,,,,,,,,,,,,,,,,,,,,,,,,,theoretical-normative,essayistic,"O XML não contém corpo integral; o resumo apresenta uma discussão metodológica sobre comparação civilizacional e problema de pequeno N. Não há análise própria de dados, então classifiquei como ensaio teórico-metodológico."
S0011-52582008000400005,agent_a,agent_a_v1+common_schema_v1,codex_subagent_inherited,2026-06-03T20:55:47Z,33cae9870e5aa5fd722a40a20610be888292854762247173eb98e4a7a0127dda,data/processed/sample_xmls/S0011-52582008000400005.xml,,O conceito de federalismo e a idéia de interesse no Brasil do século XIX,2008,Dados,Missing/Corrupt,Political Theory and Philosophy,FALSE,Explain,single_country,,Brazil,no_survey_data,structure_systematize,FALSE,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,qualitative,explicit,"O XML não contém corpo integral; o resumo declara uso da História dos Conceitos e análise de jornais e debates parlamentares do século XIX. Classifiquei como estudo qualitativo de pensamento político brasileiro, sem variáveis ou desenho causal quantitativo."
S0011-52582010000200002,agent_a,agent_a_v1+common_schema_v1,codex_subagent_inherited,2026-06-03T20:55:47Z,2d5b4d01049f20a0c0ec8ac1ff61f85eb6b1719198778bde807e40f2df4f074d,data/processed/sample_xmls/S0011-52582010000200002.xml,,O contextualismo linguístico na história do pensamento político: Quentin Skinner e o debate metodológico contemporâneo,2010,Dados,Missing/Corrupt,Methodology and Formal Theory,FALSE,,,,,no_survey_data,,,,,,,,,,,,,,,,,,,,,,,,,theoretical-normative,essayistic,"O XML não contém corpo integral; o resumo mapeia debate metodológico sobre Quentin Skinner e a Escola de Cambridge. Não há dados próprios ou teste empírico, então mantive como ensaio teórico-metodológico."
S0011-52582010000300002,agent_a,agent_a_v1+common_schema_v1,codex_subagent_inherited,2026-06-03T20:55:47Z,b665bb59d008d07f8f52589c6ff57e6d138779ac8416439296c0e217cabe644a,data/processed/sample_xmls/S0011-52582010000300002.xml,,Construção democrática e modelos de Constituição,2010,Dados,Missing/Corrupt,Political Theory and Philosophy,FALSE,,,,,no_survey_data,,,,,,,,,,,,,,,,,,,,,,,,,theoretical-normative,essayistic,O XML não contém corpo integral; o resumo explicita uma contribuição teórica sobre escolhas constitucionais em novas democracias. Não há análise empírica própria sustentada pelo material disponível.
S0011-52582011000100004,agent_a,agent_a_v1+common_schema_v1,codex_subagent_inherited,2026-06-03T20:55:47Z,e95f3d86a80e8906eecd04ded5982d09024dcac02fc2f09148eb2ebb153c08cb,data/processed/sample_xmls/S0011-52582011000100004.xml,,Welfare state e desenvolvimento,2011,Dados,Missing/Corrupt,Public Policy/Administration,FALSE,,,,,no_survey_data,,,,,,,,,,,,,,,,,,,,,,,,,theoretical-normative,essayistic,"O XML não contém corpo integral; o resumo sistematiza argumentos e evidências sobre welfare state e desenvolvimento. Como não há desenho empírico próprio no resumo, classifiquei como ensaio teórico de política pública."
S0011-52582013000100006,agent_a,agent_a_v1+common_schema_v1,codex_subagent_inherited,2026-06-03T20:55:47Z,2d1c2a01124b589102e12e24a591c599db0c4721704bdddc2cb2546bcacab4d0,data/processed/sample_xmls/S0011-52582013000100006.xml,,Os alunos do ensino médio e Sciences Po: entre a meritocracia e a percepção das desigualdades,2013,Dados,Missing/Corrupt,Public Policy/Administration,FALSE,Describe,single_country,single_region,France,no_survey_data,,FALSE,,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,,,,,qualitative,essayistic,"O XML não contém corpo integral; o resumo sustenta uma análise qualitativa dos programas Sciences Po em quatro escolas da Seine-Saint-Denis. O método não é detalhado além da análise desses programas, então mantive status ensaístico e não inferi variáveis formais."
S0011-52582015000200461,agent_a,agent_a_v1+common_schema_v1,codex_subagent_inherited,2026-06-03T20:55:47Z,e622f1df77523b702ec52f31bc8320b8356551a98e3cd9369047f310b81c5a07,data/processed/sample_xmls/S0011-52582015000200461.xml,,"Continuidade, Ruptura ou Reciclagem? Uma Análise do Programa Político do Banco Mundial após o Consenso de Washington",2015,Dados,Missing/Corrupt,International Relations,FALSE,Describe,,,,no_survey_data,structure_systematize,FALSE,,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,,,,,qualitative,explicit,"O XML não contém corpo integral; o resumo informa análise documental do programa político do Banco Mundial entre 1989 e 2014. Classifiquei como estudo qualitativo de economia política internacional, com claim interpretativo, mas sem desenho causal identificado."
S0011-52582015000401131,agent_a,agent_a_v1+common_schema_v1,codex_subagent_inherited,2026-06-03T20:55:47Z,a106f74bf062c3c0f079f0359dd94e6d842b172b8f1f06566577e8461f59fafa,data/processed/sample_xmls/S0011-52582015000401131.xml,,Organizar a Desordem: Raízes do Brasil em 1936,2015,Dados,Missing/Corrupt,Political Theory and Philosophy,FALSE,,single_country,,Brazil,no_survey_data,,,,,,,,,,,,,,,,,,,,,,,,,theoretical-normative,essayistic,"O XML não contém corpo integral; o resumo reconstrói o dilema político em Raízes do Brasil e seus diálogos intelectuais. Trata-se de análise de pensamento político, sem procedimento empírico ou quantitativo declarado no resumo."
S0011-52582017000200395,agent_a,agent_a_v1+common_schema_v1,codex_subagent_inherited,2026-06-03T20:55:47Z,3ab9daa4ac83c0a370aa063f92586d25f758784bce4562f82a9b48e27ee29b66,data/processed/sample_xmls/S0011-52582017000200395.xml,,A Imprensa Brasileira e suas &#8220;Cruzadas Morais&#8221;: Análise dos Casos do Segundo Governo de Getúlio Vargas e do Primeiro Governo de Lula da Silva,2017,Dados,Missing/Corrupt,Brazilian Politics,FALSE,Explain,single_country,,Brazil,no_survey_data,structure_systematize,FALSE,,,,,,,,TRUE,FALSE,FALSE,,,,,,,,,,,,,qualitative,explicit,"O XML não contém corpo integral; o resumo declara análise de enquadramentos e discursos em editoriais e seções de O Estado de S. Paulo e O Globo. Classifiquei como estudo qualitativo de mídia e política brasileira, com argumento causal interpretativo sobre moralização da política."
