pid,title,year,journal_title,source_file,input_text_hash,error_in_raw_text,subfield,is_empirical_quant_paper,general_goal_of_analysis,single_country_study,single_region,countries_of_focus,paper_uses_survey_data,uses_original_dataset,seeks_determinants,main_causal_research_design,other_research_design,instrumental_variable_instrument,placebo_test,independent_variables,dependent_variables,main_variable_relationship,makes_explicit_causal_claim,makes_implicit_causal_claim,strong_non_causal_causal_qualification,sample_size,sample_size_quote,claims_any_statistically_significant_results,references_power_analysis,clearly_defined_explanatory_variable,clear_causal_quantity_of_interest,specifies_estimate_equations,discusses_threats_to_causality,statement_of_identification_assumptions_quote,statement_of_identification_assumptions,effort_to_explore_mechanisms,mentions_pre_registered_design_and_analysis_plan,evidence_type,method_status,brief_justification
S0011-52582006000100002,"Fundamentos da economia, mercado financeiro e intenção de voto: as eleições presidenciais brasileiras de 1994, 1998 e 2002",2006,Dados,data/processed/sample_xmls/S0011-52582006000100002.xml,1963fb6e32a2faff757d4ccc94fea99b2df795bef8a70e33c8cf6e1e1c9d15d4,Missing/Corrupt,Brazilian Politics,TRUE,Explain,single_country,<NULL>,Brazil,uses_public_available_survey,not_original,TRUE,,<NULL>,<NULL>,<NULL>,,,,TRUE,FALSE,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,TRUE,FALSE,FALSE,<NULL>,<NULL>,,No Mention of Mechanisms/Channels,<NULL>,quantitative,explicit,
S0011-52582006000300002,"Max Weber, as múltiplas modernidades e a reorientação da teoria sociológica",2006,Dados,data/processed/sample_xmls/S0011-52582006000300002.xml,3749c8b070f00f7e03395d020557ad540e0a6509089c730120f4a5dc9dca81c1,Missing/Corrupt,Methodology and Formal Theory,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,no_survey_data,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,<NULL>,theoretical-normative,essayistic,
S0011-52582008000400005,O conceito de federalismo e a idéia de interesse no Brasil do século XIX,2008,Dados,data/processed/sample_xmls/S0011-52582008000400005.xml,33cae9870e5aa5fd722a40a20610be888292854762247173eb98e4a7a0127dda,Missing/Corrupt,Political Theory and Philosophy,FALSE,Explain,single_country,<NULL>,Brazil,no_survey_data,structure_systematize,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,<NULL>,,,
S0011-52582010000200002,O contextualismo linguístico na história do pensamento político: Quentin Skinner e o debate metodológico contemporâneo,2010,Dados,data/processed/sample_xmls/S0011-52582010000200002.xml,2d5b4d01049f20a0c0ec8ac1ff61f85eb6b1719198778bde807e40f2df4f074d,Missing/Corrupt,Methodology and Formal Theory,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,no_survey_data,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,<NULL>,theoretical-normative,essayistic,
S0011-52582010000300002,Construção democrática e modelos de Constituição,2010,Dados,data/processed/sample_xmls/S0011-52582010000300002.xml,b665bb59d008d07f8f52589c6ff57e6d138779ac8416439296c0e217cabe644a,Missing/Corrupt,Political Theory and Philosophy,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,no_survey_data,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,theoretical-normative,essayistic,
S0011-52582011000100004,Welfare state e desenvolvimento,2011,Dados,data/processed/sample_xmls/S0011-52582011000100004.xml,e95f3d86a80e8906eecd04ded5982d09024dcac02fc2f09148eb2ebb153c08cb,Missing/Corrupt,Public Policy/Administration,FALSE,<NULL>,multiple_countries,<NULL>,<NULL>,no_survey_data,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,theoretical-normative,essayistic,
S0011-52582013000100006,Os alunos do ensino médio e Sciences Po: entre a meritocracia e a percepção das desigualdades,2013,Dados,data/processed/sample_xmls/S0011-52582013000100006.xml,2d1c2a01124b589102e12e24a591c599db0c4721704bdddc2cb2546bcacab4d0,Missing/Corrupt,Public Policy/Administration,FALSE,Describe,single_country,single_region,France,no_survey_data,field_study,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,qualitative,,
S0011-52582015000200461,"Continuidade, Ruptura ou Reciclagem? Uma Análise do Programa Político do Banco Mundial após o Consenso de Washington",2015,Dados,data/processed/sample_xmls/S0011-52582015000200461.xml,e622f1df77523b702ec52f31bc8320b8356551a98e3cd9369047f310b81c5a07,Missing/Corrupt,International Relations,FALSE,Describe,<NULL>,<NULL>,<NULL>,no_survey_data,structure_systematize,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,qualitative,explicit,
S0011-52582015000401131,Organizar a Desordem: Raízes do Brasil em 1936,2015,Dados,data/processed/sample_xmls/S0011-52582015000401131.xml,a106f74bf062c3c0f079f0359dd94e6d842b172b8f1f06566577e8461f59fafa,Missing/Corrupt,Political Theory and Philosophy,FALSE,<NULL>,single_country,<NULL>,Brazil,no_survey_data,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,<NULL>,theoretical-normative,essayistic,
S0011-52582017000200395,A Imprensa Brasileira e suas &#8220;Cruzadas Morais&#8221;: Análise dos Casos do Segundo Governo de Getúlio Vargas e do Primeiro Governo de Lula da Silva,2017,Dados,data/processed/sample_xmls/S0011-52582017000200395.xml,3ab9daa4ac83c0a370aa063f92586d25f758784bce4562f82a9b48e27ee29b66,Missing/Corrupt,Brazilian Politics,FALSE,Explain,single_country,<NULL>,Brazil,no_survey_data,structure_systematize,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,FALSE,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,qualitative,explicit,
