pid,title,year,journal_title,source_file,input_text_hash,field,critical_field,consensus_level,decision,consensus_value,agent_a_value,agent_b_value,agent_c_value,agent_a_valid,agent_b_valid,agent_c_valid,n_valid,n_distinct_values,top_n,fidelity_issue_n,high_severity_n,medium_severity_n,low_severity_n,fidelity_agents_with_issue,fidelity_statuses,disagreement_flag,priority_score,adjudication_reason
S0104-62762012000200003,Solidariedade e expressão jurídica: valores políticos de vereadores sobre direitos sociais,2012,Opinião Pública,data/processed/fulltext_gold/article_texts_gold.csv,e81072d4187a9496eee311d76b17e21700508407d7279f06aeb03c6adebdfb89,sample_size_quote,FALSE,no_majority,adjudicate,,"A pesquisa foi realizada em Curitiba, onde foram entrevistados 35 dos 38 vereadores da gestão 2009-2012",foram entrevistados 35 dos 38 vereadores da gestão 2009-2012,"A pesquisa foi realizada em Curitiba, onde foram entrevistados 35 dos 38 vereadores da gestão 2009-201211 .",TRUE,TRUE,TRUE,3,3,1,3,3,0,0,agent_a; agent_b; agent_c,not_found_in_text,TRUE,20,desacordo_entre_agentes_e_falha_de_fidelidade
S1981-38212009000100011,Social Scientists and Public Administration in the Lula da Silva Government,2009,Brazilian Political Science Review,data/processed/fulltext_gold/article_texts_gold.csv,2af5b22246f7dcba6666dac5cc8c560b6a86bf388b833804c4a19d82e8fe7dd3,sample_size_quote,FALSE,no_majority,adjudicate,,"Based on a sample of 505 people holding DAS 5 and 6 posts and Special Nature (NES) posts in 2006 and 2007, amounting to some 42% of such posts held during President Lula da Silva’s two terms, we have gathered information on their education, professional training, socio-political links and public service experience, among others.",Based on a sample of 505 people holding DAS 5 and 6 posts and Special Nature (NES) posts in 2006 and 2007,"Based on a sample of 505 people holding DAS 5 and 6 posts and Special Nature (NES) posts in 2006 and 2007, amounting to some 42% of such posts held during Pr3 esident Lula da Silva’s two terms, we have gathered information on their education, professional training, socio-political links and public service experience, among others.",TRUE,TRUE,TRUE,3,3,1,3,3,0,0,agent_a; agent_b; agent_c,not_found_in_text,TRUE,20,desacordo_entre_agentes_e_falha_de_fidelidade
S1981-38212010000100131,Private Security and the State in Latin America: the Case of Mexico City,2010,Brazilian Political Science Review,data/processed/fulltext_gold/article_texts_gold.csv,e05ba771dfceed9c625f803311d6269644e9468794a671fb7d24cdc8d333cd4f,sample_size_quote,FALSE,no_majority,adjudicate,,"First of all, they are derived from fifteen interviews with members of Non-Governmental Organizations (NGOs), members of the local administration of justice and members of private security companies conducted in Mexico City between 2006 and 2009.","they are derived from fifteen interviews with members of Non-Governmental Organizations (NGOs), members of the local administration of justice and members of private security companies conducted in Mexico City between 2006 and 2009","The findings of this article are based on the following sources: First of all, they are derived from fifteen interviews with members of Non-Governmental Organizations (NGOs), members of the local administration of justice and members of private security companies conducted in Mexico City between 2006 and 2009.",TRUE,TRUE,TRUE,3,3,1,3,3,0,0,agent_a; agent_b; agent_c,not_found_in_text,TRUE,20,desacordo_entre_agentes_e_falha_de_fidelidade
S0011-52582013000100006,Os alunos do ensino médio e Sciences Po: entre a meritocracia e a percepção das desigualdades,2013,Dados,data/processed/fulltext_gold/article_texts_gold.csv,eb84717042d758315e7bfd4699d7c37f77a9155db81ef693a2157584422fe877,paper_uses_survey_data,FALSE,unanimity,accept_provisionally,runs_original_survey,runs_original_survey,runs_original_survey,runs_original_survey,TRUE,TRUE,TRUE,3,1,3,3,3,0,0,agent_a; agent_b; agent_c,not_found_in_text,FALSE,18,falha_de_fidelidade_textual
S0034-76122014000100004,Legitimidade das organizações da sociedade civil: análise de conteúdo à luz da teoria da capacidade crítica,2014,Revista de Administração Pública,data/processed/fulltext_gold/article_texts_gold.csv,e60134432242192a0ecb661800b36754cb1b1674b0e55a9fc304ffd946fb3c70,sample_size,FALSE,unanimity,accept_provisionally,46,46,46,46,TRUE,TRUE,TRUE,3,1,3,3,3,0,0,agent_a; agent_b; agent_c,not_found_in_text,FALSE,18,falha_de_fidelidade_textual
S0034-76122014000100004,Legitimidade das organizações da sociedade civil: análise de conteúdo à luz da teoria da capacidade crítica,2014,Revista de Administração Pública,data/processed/fulltext_gold/article_texts_gold.csv,e60134432242192a0ecb661800b36754cb1b1674b0e55a9fc304ffd946fb3c70,sample_size_quote,FALSE,unanimity,accept_provisionally,"Ao total, foram entrevistados 46 atores, sendo 16 no Paraná (Curitiba), 15 no Rio Grande do Sul (Porto Alegre) e 15 em Santa Catarina (Florianópolis), entre setembro e novembro de 2010.","Ao total, foram entrevistados 46 atores, sendo 16 no Paraná (Curitiba), 15 no Rio Grande do Sul (Porto Alegre) e 15 em Santa Catarina (Florianópolis), entre setembro e novembro de 2010.","Ao total, foram entrevistados 46 atores, sendo 16 no Paraná (Curitiba), 15 no Rio Grande do Sul (Porto Alegre) e 15 em Santa Catarina (Florianópolis), entre setembro e novembro de 2010.","Ao total, foram entrevistados 46 atores, sendo 16 no Paraná (Curitiba), 15 no Rio Grande do Sul (Porto Alegre) e 15 em Santa Catarina (Florianópolis), entre setembro e novembro de 2010.",TRUE,TRUE,TRUE,3,1,3,3,3,0,0,agent_a; agent_b; agent_c,not_found_in_text,FALSE,18,falha_de_fidelidade_textual
S0034-76122024000200402,Fatores que aumentam o tempo do processo judicial no Brasil,2024,Revista de Administração Pública,data/processed/fulltext_gold/article_texts_gold.csv,7d487e0b5cef8e6f8cff64044709fafcb858afc6031652327deba7d37c7ab212,sample_size,FALSE,unanimity,accept_provisionally,15,15,15,15,TRUE,TRUE,TRUE,3,1,3,3,3,0,0,agent_a; agent_b; agent_c,not_found_in_text,FALSE,18,falha_de_fidelidade_textual
S0034-76122024000200402,Fatores que aumentam o tempo do processo judicial no Brasil,2024,Revista de Administração Pública,data/processed/fulltext_gold/article_texts_gold.csv,7d487e0b5cef8e6f8cff64044709fafcb858afc6031652327deba7d37c7ab212,sample_size_quote,FALSE,unanimity,accept_provisionally,Foram realizadas 15 reuniões entre 2019 e 2020.,Foram realizadas 15 reuniões entre 2019 e 2020.,Foram realizadas 15 reuniões entre 2019 e 2020.,Foram realizadas 15 reuniões entre 2019 e 2020.,TRUE,TRUE,TRUE,3,1,3,3,3,0,0,agent_a; agent_b; agent_c,not_found_in_text,FALSE,18,falha_de_fidelidade_textual
S0101-33002024000300409,Trabalho remunerado e de cuidados na Cidade do México: os efeitos da pandemia da Covid-19 sobre as desigualdades sociais e a convivialidade,2024,Novos estudos CEBRAP,data/processed/fulltext_gold/article_texts_gold.csv,b553d80e09502c9697b055a0545ab25bca0650f990353620f73746b598c1fa00,paper_uses_survey_data,FALSE,unanimity,accept_provisionally,runs_original_survey,runs_original_survey,runs_original_survey,runs_original_survey,TRUE,TRUE,TRUE,3,1,3,3,3,0,0,agent_a; agent_b; agent_c,not_found_in_text,FALSE,18,falha_de_fidelidade_textual
S0101-33002024000300409,Trabalho remunerado e de cuidados na Cidade do México: os efeitos da pandemia da Covid-19 sobre as desigualdades sociais e a convivialidade,2024,Novos estudos CEBRAP,data/processed/fulltext_gold/article_texts_gold.csv,b553d80e09502c9697b055a0545ab25bca0650f990353620f73746b598c1fa00,sample_size,FALSE,unanimity,accept_provisionally,2562,2562,2562,2562,TRUE,TRUE,TRUE,3,1,3,3,3,0,0,agent_a; agent_b; agent_c,not_found_in_text,FALSE,18,falha_de_fidelidade_textual
S0101-33002024000300409,Trabalho remunerado e de cuidados na Cidade do México: os efeitos da pandemia da Covid-19 sobre as desigualdades sociais e a convivialidade,2024,Novos estudos CEBRAP,data/processed/fulltext_gold/article_texts_gold.csv,b553d80e09502c9697b055a0545ab25bca0650f990353620f73746b598c1fa00,sample_size_quote,FALSE,unanimity,accept_provisionally,"The sample included 2,562 men and women over 18 residing in households of different socioeconomic levels.","The sample included 2,562 men and women over 18 residing in households of different socioeconomic levels.","The sample included 2,562 men and women over 18 residing in households of different socioeconomic levels.","The sample included 2,562 men and women over 18 residing in households of different socioeconomic levels.",TRUE,TRUE,TRUE,3,1,3,3,3,0,0,agent_a; agent_b; agent_c,not_found_in_text,FALSE,18,falha_de_fidelidade_textual
S0102-69092018000300507,O OVO E A GALINHA. Estudo do enquadramento e da recepção da cobertura jornalística no pleito de 2014,2018,Revista Brasileira de Ciências Sociais,data/processed/fulltext_gold/article_texts_gold.csv,d06db8a6e911c0c2c7a0c7ca4a10b6f06dfab66712abbc099170b5f547c8fbbb,paper_uses_survey_data,FALSE,unanimity,accept_provisionally,uses_public_available_survey,uses_public_available_survey,uses_public_available_survey,uses_public_available_survey,TRUE,TRUE,TRUE,3,1,3,3,3,0,0,agent_a; agent_b; agent_c,not_found_in_text,FALSE,18,falha_de_fidelidade_textual
S0102-69092019000200505,CLASSE SOCIAL E ALIMENTAÇÃO: PADRÕES DE CONSUMO ALIMENTAR NO BRASIL CONTEMPORÂNEO,2019,Revista Brasileira de Ciências Sociais,data/processed/fulltext_gold/article_texts_gold.csv,f9570a8d115db3eaf9cac0deca47b006cf4e2e57287e23cd0655890a5a40d7c3,paper_uses_survey_data,FALSE,unanimity,accept_provisionally,uses_public_available_survey,uses_public_available_survey,uses_public_available_survey,uses_public_available_survey,TRUE,TRUE,TRUE,3,1,3,3,3,0,0,agent_a; agent_b; agent_c,not_found_in_text,FALSE,18,falha_de_fidelidade_textual
S0102-69092019000300509,EXISTEM PREFERÊNCIAS DE SEXO NO BRASIL?,2019,Revista Brasileira de Ciências Sociais,data/processed/fulltext_gold/article_texts_gold.csv,1b85168ae86cd2f1d95fbf408cabac31c2dbbce6583466bba00885ff97b6366f,paper_uses_survey_data,FALSE,unanimity,accept_provisionally,uses_public_available_survey,uses_public_available_survey,uses_public_available_survey,uses_public_available_survey,TRUE,TRUE,TRUE,3,1,3,3,3,0,0,agent_a; agent_b; agent_c,not_found_in_text,FALSE,18,falha_de_fidelidade_textual
S0104-62762006000200005,Os militantes são mais informados? Desigualdade e informação política nas eleições de 2002,2006,Opinião Pública,data/processed/fulltext_gold/article_texts_gold.csv,18189fc45383b7f3e80b166c92395c18b267eb08dfeab92a2eb32326965d9e2d,paper_uses_survey_data,FALSE,unanimity,accept_provisionally,runs_original_survey,runs_original_survey,runs_original_survey,runs_original_survey,TRUE,TRUE,TRUE,3,1,3,3,3,0,0,agent_a; agent_b; agent_c,not_found_in_text,FALSE,18,falha_de_fidelidade_textual
S0104-62762007000200001,Eleições e capital social: uma análise das eleições presidenciais no Brasil (2002-2006),2007,Opinião Pública,data/processed/fulltext_gold/article_texts_gold.csv,05edc45ef327cfb505b46d39d2f6633591859fdfe2a2a213006b299f9d092ac4,paper_uses_survey_data,FALSE,unanimity,accept_provisionally,uses_public_available_survey,uses_public_available_survey,uses_public_available_survey,uses_public_available_survey,TRUE,TRUE,TRUE,3,1,3,3,3,0,0,agent_a; agent_b; agent_c,not_found_in_text,FALSE,18,falha_de_fidelidade_textual
S0104-62762012000200003,Solidariedade e expressão jurídica: valores políticos de vereadores sobre direitos sociais,2012,Opinião Pública,data/processed/fulltext_gold/article_texts_gold.csv,e81072d4187a9496eee311d76b17e21700508407d7279f06aeb03c6adebdfb89,sample_size,FALSE,unanimity,accept_provisionally,35,35,35,35,TRUE,TRUE,TRUE,3,1,3,3,3,0,0,agent_a; agent_b; agent_c,not_found_in_text,FALSE,18,falha_de_fidelidade_textual
S0104-62762014000300523,Encarte de dados: Opinião sobre questões de segurança pública e comportamento social,2014,Opinião Pública,data/processed/fulltext_gold/article_texts_gold.csv,b77d579656b4d0685346ceeaee95dfd747446fbd3066d70a17b64a38f39a95c7,paper_uses_survey_data,FALSE,unanimity,accept_provisionally,uses_public_available_survey,uses_public_available_survey,uses_public_available_survey,uses_public_available_survey,TRUE,TRUE,TRUE,3,1,3,3,3,0,0,agent_a; agent_b; agent_c,not_found_in_text,FALSE,18,falha_de_fidelidade_textual
S0104-62762015000100132,Confiança nas Forças Armadas brasileiras: uma análise empírica a partir dos dados da pesquisa SIPS - Defesa Nacional,2015,Opinião Pública,data/processed/fulltext_gold/article_texts_gold.csv,f936016854727526d1dac146fb72c66642722e82327df6d896aa81408526d328,paper_uses_survey_data,FALSE,unanimity,accept_provisionally,uses_public_available_survey,uses_public_available_survey,uses_public_available_survey,uses_public_available_survey,TRUE,TRUE,TRUE,3,1,3,3,3,0,0,agent_a; agent_b; agent_c,not_found_in_text,FALSE,18,falha_de_fidelidade_textual
S0104-62762016000200318,Medindo o acesso à Justiça Cível no Brasil,2016,Opinião Pública,data/processed/fulltext_gold/article_texts_gold.csv,27d7b9456470a508190a140e5a73253897777bf7ce274c74e74174238ccac6bc,paper_uses_survey_data,FALSE,unanimity,accept_provisionally,uses_public_available_survey,uses_public_available_survey,uses_public_available_survey,uses_public_available_survey,TRUE,TRUE,TRUE,3,1,3,3,3,0,0,agent_a; agent_b; agent_c,not_found_in_text,FALSE,18,falha_de_fidelidade_textual
S0104-62762020000100034,Medo da violência e adesão ao autoritarismo no Brasil: proposta metodológica e resultados em 2017,2020,Opinião Pública,data/processed/fulltext_gold/article_texts_gold.csv,16e3c574de22acc7177f10fd39aa58d5ec53a0602a227ae7d543455137886fe1,paper_uses_survey_data,FALSE,unanimity,accept_provisionally,runs_original_survey,runs_original_survey,runs_original_survey,runs_original_survey,TRUE,TRUE,TRUE,3,1,3,3,3,0,0,agent_a; agent_b; agent_c,not_found_in_text,FALSE,18,falha_de_fidelidade_textual
