pid,title,year,journal_title,source_file,input_text_hash,error_in_raw_text,subfield,is_empirical_quant_paper,general_goal_of_analysis,single_country_study,single_region,countries_of_focus,paper_uses_survey_data,uses_original_dataset,seeks_determinants,main_causal_research_design,other_research_design,instrumental_variable_instrument,placebo_test,independent_variables,dependent_variables,main_variable_relationship,makes_explicit_causal_claim,makes_implicit_causal_claim,strong_non_causal_causal_qualification,sample_size,sample_size_quote,claims_any_statistically_significant_results,references_power_analysis,clearly_defined_explanatory_variable,clear_causal_quantity_of_interest,specifies_estimate_equations,discusses_threats_to_causality,statement_of_identification_assumptions_quote,statement_of_identification_assumptions,effort_to_explore_mechanisms,mentions_pre_registered_design_and_analysis_plan,evidence_type,method_status,brief_justification
S0011-52582006000100002,"Fundamentos da economia, mercado financeiro e intenção de voto: as eleições presidenciais brasileiras de 1994, 1998 e 2002",2006,Dados,data/processed/fulltext_gold/article_texts_gold.csv,7586b09d248ac24dc595d18d488ea5072c6f3e9eee255135eba0499b5a871141,No Error,Brazilian Politics,TRUE,Explain,single_country,<NULL>,Brazil,uses_public_available_survey,,TRUE,,<NULL>,<NULL>,FALSE,,,,TRUE,,FALSE,67,Foram aproveitados os resultados de 67 pesquisas.,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,<NULL>,,,FALSE,quantitative,explicit,
S0011-52582006000300002,"Max Weber, as múltiplas modernidades e a reorientação da teoria sociológica",2006,Dados,data/processed/fulltext_gold/article_texts_gold.csv,d0b2e162a4cf0fc32f2bb1776d01cb156ada542a47082d2ba2e6be5836378753,No Error,Political Theory and Philosophy,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,no_survey_data,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,theoretical-normative,essayistic,
S0011-52582008000400005,O conceito de federalismo e a idéia de interesse no Brasil do século XIX,2008,Dados,data/processed/fulltext_gold/article_texts_gold.csv,c663689e29439cdcae2be5d663b353813bdea33ae18dd400a8404ec5f3b2a776,No Error,Political Theory and Philosophy,FALSE,<NULL>,single_country,<NULL>,Brazil,no_survey_data,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,essayistic,
S0011-52582010000200002,O contextualismo linguístico na história do pensamento político: Quentin Skinner e o debate metodológico contemporâneo,2010,Dados,data/processed/fulltext_gold/article_texts_gold.csv,6c2ee07c6d64137229346da11cdeb115f44ac794ef54cded5ca5d019b9711313,No Error,Political Theory and Philosophy,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,no_survey_data,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,theoretical-normative,essayistic,
S0011-52582010000300002,Construção democrática e modelos de Constituição,2010,Dados,data/processed/fulltext_gold/article_texts_gold.csv,121b3b7589b0f8e7eba0b39cc659f642526535a80d1ee34aca4f18825847bcc0,No Error,Political Theory and Philosophy,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,no_survey_data,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,theoretical-normative,essayistic,
S0011-52582011000100004,Welfare state e desenvolvimento,2011,Dados,data/processed/fulltext_gold/article_texts_gold.csv,58e941253fc6a43a4554d8ba846c05e342c11f61f4d328317a31456cac07790b,No Error,,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,no_survey_data,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,theoretical-normative,essayistic,
S0011-52582013000100006,Os alunos do ensino médio e Sciences Po: entre a meritocracia e a percepção das desigualdades,2013,Dados,data/processed/fulltext_gold/article_texts_gold.csv,eb84717042d758315e7bfd4699d7c37f77a9155db81ef693a2157584422fe877,No Error,Comparative Politics,,Describe,single_country,single_region,France,runs_original_survey,field_study,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,FALSE,mixed,explicit,
S0011-52582015000200461,"Continuidade, Ruptura ou Reciclagem? Uma Análise do Programa Político do Banco Mundial após o Consenso de Washington",2015,Dados,data/processed/fulltext_gold/article_texts_gold.csv,8ce4219c5aa10d661c7d114ae92f7825a07979562b4bffbcce8a717270ddecac,No Error,International Relations,FALSE,Describe,<NULL>,<NULL>,<NULL>,no_survey_data,,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,
S0011-52582015000401131,Organizar a Desordem: Raízes do Brasil em 1936,2015,Dados,data/processed/fulltext_gold/article_texts_gold.csv,3e194fcc1bebe85e21ba3f74f872b3abb17cb032416cbee1d4025b86c6102a2b,No Error,,FALSE,<NULL>,single_country,<NULL>,Brazil,no_survey_data,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,essayistic,
S0011-52582017000200395,A Imprensa Brasileira e suas &#8220;Cruzadas Morais&#8221;: Análise dos Casos do Segundo Governo de Getúlio Vargas e do Primeiro Governo de Lula da Silva,2017,Dados,data/processed/fulltext_gold/article_texts_gold.csv,d822081610c5da151412aa8a65fa6ff3d9138a891015aa7e8f80cc4aa394739d,No Error,Brazilian Politics,FALSE,Describe,single_country,<NULL>,Brazil,no_survey_data,structure_systematize,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,qualitative,,
