pid,title,year,journal_title,source_file,input_text_hash,field,critical_field,consensus_level,decision,consensus_value,agent_a_value,agent_b_value,agent_c_value,agent_a_valid,agent_b_valid,agent_c_valid,n_valid,n_distinct_values,top_n
S0011-52582006000100002,"Fundamentos da economia, mercado financeiro e intenção de voto: as eleições presidenciais brasileiras de 1994, 1998 e 2002",2006,Dados,data/processed/fulltext_gold/article_texts_gold.csv,7586b09d248ac24dc595d18d488ea5072c6f3e9eee255135eba0499b5a871141,brief_justification,FALSE,no_majority,adjudicate,,"O corpo de ""Fundamentos da economia, mercado financeiro e intenção de voto: as eleições presidenciais brasileiras de 1994, 1998 e 2002"" analisa dados quantitativos, administrativos ou de survey com procedimento empírico próprio ou secundário claramente descrito. A classificação é conservadora: detalhes causais, variáveis e identificação só foram preenchidos quando o texto os declarou de forma explícita.","O artigo ""Fundamentos da economia, mercado financeiro e intenção de voto: as eleições presidenciais brasileiras de 1994, 1998 e 2002"" usa dados quantitativos para explicar um outcome por variáveis observacionais. A linguagem de efeito/determinantes foi classificada conservadoramente: não há estimando causal claro nem suposições substantivas de identificação, portanto a quantidade causal é FALSE.","O artigo constrói banco de séries temporais de pesquisas eleitorais e indicadores econômicos para testar relações entre economia, mercado financeiro e voto. Há hipóteses, variáveis, defasagens, testes de Granger, SUR e resultados estatisticamente significativos, mas não há desenho causal de identificação forte como experimento, IV ou DiD.",TRUE,TRUE,TRUE,3,3,1
S0011-52582006000100002,"Fundamentos da economia, mercado financeiro e intenção de voto: as eleições presidenciais brasileiras de 1994, 1998 e 2002",2006,Dados,data/processed/fulltext_gold/article_texts_gold.csv,7586b09d248ac24dc595d18d488ea5072c6f3e9eee255135eba0499b5a871141,claims_any_statistically_significant_results,FALSE,unanimity,accept_provisionally,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3,1,3
S0011-52582006000100002,"Fundamentos da economia, mercado financeiro e intenção de voto: as eleições presidenciais brasileiras de 1994, 1998 e 2002",2006,Dados,data/processed/fulltext_gold/article_texts_gold.csv,7586b09d248ac24dc595d18d488ea5072c6f3e9eee255135eba0499b5a871141,clear_causal_quantity_of_interest,FALSE,unanimity,accept_provisionally,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,3,1,3
S0011-52582006000100002,"Fundamentos da economia, mercado financeiro e intenção de voto: as eleições presidenciais brasileiras de 1994, 1998 e 2002",2006,Dados,data/processed/fulltext_gold/article_texts_gold.csv,7586b09d248ac24dc595d18d488ea5072c6f3e9eee255135eba0499b5a871141,clearly_defined_explanatory_variable,FALSE,unanimity,accept_provisionally,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3,1,3
S0011-52582006000100002,"Fundamentos da economia, mercado financeiro e intenção de voto: as eleições presidenciais brasileiras de 1994, 1998 e 2002",2006,Dados,data/processed/fulltext_gold/article_texts_gold.csv,7586b09d248ac24dc595d18d488ea5072c6f3e9eee255135eba0499b5a871141,countries_of_focus,FALSE,unanimity,accept_provisionally,Brazil,Brazil,Brazil,Brazil,TRUE,TRUE,TRUE,3,1,3
S0011-52582006000100002,"Fundamentos da economia, mercado financeiro e intenção de voto: as eleições presidenciais brasileiras de 1994, 1998 e 2002",2006,Dados,data/processed/fulltext_gold/article_texts_gold.csv,7586b09d248ac24dc595d18d488ea5072c6f3e9eee255135eba0499b5a871141,dependent_variables,FALSE,no_majority,adjudicate,,"[{""variable_name"":""vote intention for presidential candidates"",""variable_description"":""Outcome variable identified from the article body.""}]","[{""variable_name"":""Voting intentions"",""variable_description"":""Aggregate vote intention for Lula, government candidates, other candidates, undecided, blank and null.""}]","[{""variable_name"":""vote_intention_lula"",""variable_description"":""Intenção agregada de voto em Lula""},{""variable_name"":""vote_intention_government_candidates"",""variable_description"":""Intenção agregada de voto em Fernando Henrique Cardoso/José Serra""},{""variable_name"":""blank_null_undecided_other"",""variable_description"":""Votos brancos/nulos, indecisos e demais candidatos""}]",TRUE,TRUE,TRUE,3,3,1
S0011-52582006000100002,"Fundamentos da economia, mercado financeiro e intenção de voto: as eleições presidenciais brasileiras de 1994, 1998 e 2002",2006,Dados,data/processed/fulltext_gold/article_texts_gold.csv,7586b09d248ac24dc595d18d488ea5072c6f3e9eee255135eba0499b5a871141,discusses_threats_to_causality,FALSE,majority,accept_provisionally,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,3,2,2
S0011-52582006000100002,"Fundamentos da economia, mercado financeiro e intenção de voto: as eleições presidenciais brasileiras de 1994, 1998 e 2002",2006,Dados,data/processed/fulltext_gold/article_texts_gold.csv,7586b09d248ac24dc595d18d488ea5072c6f3e9eee255135eba0499b5a871141,effort_to_explore_mechanisms,TRUE,critical_disagreement,adjudicate,,No Mention of Mechanisms/Channels,Mechanisms/Channels Mentioned With Substantial Exploration,Mechanisms/Channels Mentioned With Substantial Exploration,TRUE,TRUE,TRUE,3,2,2
S0011-52582006000100002,"Fundamentos da economia, mercado financeiro e intenção de voto: as eleições presidenciais brasileiras de 1994, 1998 e 2002",2006,Dados,data/processed/fulltext_gold/article_texts_gold.csv,7586b09d248ac24dc595d18d488ea5072c6f3e9eee255135eba0499b5a871141,error_in_raw_text,FALSE,unanimity,accept_provisionally,No Error,No Error,No Error,No Error,TRUE,TRUE,TRUE,3,1,3
S0011-52582006000100002,"Fundamentos da economia, mercado financeiro e intenção de voto: as eleições presidenciais brasileiras de 1994, 1998 e 2002",2006,Dados,data/processed/fulltext_gold/article_texts_gold.csv,7586b09d248ac24dc595d18d488ea5072c6f3e9eee255135eba0499b5a871141,evidence_type,TRUE,unanimity,accept_provisionally,quantitative,quantitative,quantitative,quantitative,TRUE,TRUE,TRUE,3,1,3
S0011-52582006000100002,"Fundamentos da economia, mercado financeiro e intenção de voto: as eleições presidenciais brasileiras de 1994, 1998 e 2002",2006,Dados,data/processed/fulltext_gold/article_texts_gold.csv,7586b09d248ac24dc595d18d488ea5072c6f3e9eee255135eba0499b5a871141,general_goal_of_analysis,FALSE,unanimity,accept_provisionally,Explain,Explain,Explain,Explain,TRUE,TRUE,TRUE,3,1,3
