field,audited_fields,factual_fields,supported_factual_fields,factual_support_rate,contradicted_n,not_found_n,high_severity_n,medium_severity_n
makes_explicit_causal_claim,525,525,303,0.5771428571428572,212,10,0,222
uses_original_dataset,525,525,408,0.7771428571428571,36,81,0,117
paper_uses_survey_data,525,525,464,0.8838095238095238,4,57,58,3
sample_size_quote,525,525,481,0.9161904761904762,0,44,44,0
sample_size,525,525,486,0.9257142857142857,0,39,39,0
effort_to_explore_mechanisms,525,525,489,0.9314285714285714,27,9,0,9
main_variable_relationship,525,525,499,0.9504761904761905,0,26,25,1
makes_implicit_causal_claim,525,525,501,0.9542857142857143,0,24,0,0
dependent_variables,525,525,508,0.9676190476190476,0,17,0,17
main_causal_research_design,525,525,508,0.9676190476190476,0,17,0,17
independent_variables,525,525,510,0.9714285714285714,0,15,0,15
claims_any_statistically_significant_results,525,525,511,0.9733333333333334,0,14,0,14
specifies_estimate_equations,525,525,513,0.9771428571428571,0,12,0,12
references_power_analysis,525,525,523,0.9961904761904762,2,0,2,0
mentions_pre_registered_design_and_analysis_plan,525,525,525,1,0,0,0,0
statement_of_identification_assumptions,525,525,525,1,0,0,0,0
statement_of_identification_assumptions_quote,525,525,525,1,0,0,0,0
