field,field_type,mean_exact_accuracy_all,max_exact_accuracy_all,best_agent,mean_exact_accuracy_gold_non_null
brief_justification,text_or_structured_exact,0,0,agent_a,0
error_in_raw_text,categorical,0.2571428571428571,0.2571428571428571,agent_a,0.2571428571428571
mentions_pre_registered_design_and_analysis_plan,binary,0.4666666666666667,0.92,agent_b,0.4492753623188406
makes_implicit_causal_claim,binary,0.4742857142857143,0.8,agent_b,0.4756335282651072
makes_explicit_causal_claim,binary,0.5047619047619047,0.8228571428571428,agent_b,0.50682261208577
uses_original_dataset,categorical,0.5276190476190477,0.6,agent_c,0.44308943089430897
seeks_determinants,binary,0.5733333333333334,0.6514285714285715,agent_c,0.5568627450980392
references_power_analysis,binary,0.6019047619047618,0.6342857142857142,agent_b,0.20634920634920634
specifies_estimate_equations,binary,0.6190476190476191,0.6571428571428571,agent_a,0.15079365079365079
general_goal_of_analysis,categorical,0.6228571428571429,0.68,agent_c,0.7101449275362319
clearly_defined_explanatory_variable,binary,0.6361904761904762,0.64,agent_c,0.3655913978494624
clear_causal_quantity_of_interest,binary,0.6723809523809524,0.7028571428571428,agent_c,0.15384615384615385
claims_any_statistically_significant_results,binary,0.6761904761904762,0.6971428571428572,agent_a,0.3333333333333333
discusses_threats_to_causality,binary,0.699047619047619,0.7028571428571428,agent_a,0.28494623655913975
statement_of_identification_assumptions,binary,0.7142857142857143,0.7371428571428571,agent_c,0.33870967741935487
effort_to_explore_mechanisms,categorical,0.7219047619047619,0.7714285714285715,agent_c,0.14414414414414414
strong_non_causal_causal_qualification,binary,0.7238095238095238,0.8228571428571428,agent_c,0.24242424242424243
evidence_type,categorical,0.7257142857142858,0.7771428571428571,agent_a,0.7257142857142858
single_region,categorical,0.7409523809523809,0.7485714285714286,agent_a,0.1111111111111111
countries_of_focus,text_or_structured_exact,0.7428571428571429,0.7942857142857143,agent_b,0.6875
single_country_study,categorical,0.7828571428571429,0.8628571428571429,agent_a,0.7369791666666666
dependent_variables,text_or_structured_exact,0.7923809523809524,0.8914285714285715,agent_a,0
independent_variables,text_or_structured_exact,0.7961904761904762,0.8914285714285715,agent_a,0
subfield,categorical,0.8,0.8285714285714286,agent_a,0.8
method_status,categorical,0.8228571428571428,0.8514285714285714,agent_b,0.8228571428571428
placebo_test,binary,0.8285714285714286,0.8857142857142857,agent_c,0.1568627450980392
sample_size_quote,text_or_structured_exact,0.8533333333333334,0.8857142857142857,agent_b,0
sample_size,text_or_structured_exact,0.8552380952380952,0.8857142857142857,agent_b,0.33333333333333337
is_empirical_quant_paper,binary,0.88,0.8971428571428571,agent_b,0.88
other_research_design,categorical,0.9085714285714286,0.9485714285714286,agent_a,0
main_causal_research_design,categorical,0.9142857142857143,0.9428571428571428,agent_a,0.6349206349206349
paper_uses_survey_data,categorical,0.92,0.9314285714285714,agent_b,0.92
main_variable_relationship,text_or_structured_exact,0.9314285714285714,0.9771428571428571,agent_a,0
statement_of_identification_assumptions_quote,text_or_structured_exact,0.9980952380952381,1,agent_a,
instrumental_variable_instrument,text_or_structured_exact,1,1,agent_a,
