agent_id,field,n_total,n_binary,gold_true,gold_false,gold_null_or_nonbinary,pred_true,pred_false,pred_null_or_nonbinary,tp,fp,tn,fn,binary_accuracy,precision,recall_sensitivity,specificity,negative_predictive_value,f1,balanced_accuracy,false_positive_rate,false_negative_rate
agent_c,claims_any_statistically_significant_results,175,60,20,40,115,20,28,127,16,2,38,4,0.9,0.8888888888888888,0.8,0.95,0.9047619047619048,0.8421052631578948,0.875,0.05,0.2
agent_b,claims_any_statistically_significant_results,175,60,20,40,115,17,21,137,15,1,39,5,0.9,0.9375,0.75,0.975,0.8863636363636364,0.8333333333333334,0.8625,0.025,0.25
agent_a,claims_any_statistically_significant_results,175,60,20,40,115,15,19,141,14,1,39,6,0.8833333333333333,0.9333333333333333,0.7,0.975,0.8666666666666667,0.8,0.8374999999999999,0.025,0.3
agent_a,clear_causal_quantity_of_interest,175,39,0,39,136,0,34,141,0,0,39,0,1,,,1,1,,,0,
agent_b,clear_causal_quantity_of_interest,175,39,0,39,136,0,36,139,0,0,39,0,1,,,1,1,,,0,
agent_c,clear_causal_quantity_of_interest,175,39,0,39,136,0,21,154,0,0,39,0,1,,,1,1,,,0,
agent_c,clearly_defined_explanatory_variable,175,62,24,38,113,26,23,126,19,2,36,5,0.8870967741935484,0.9047619047619048,0.7916666666666666,0.9473684210526315,0.8780487804878049,0.8444444444444444,0.8695175438596491,0.05263157894736842,0.20833333333333334
agent_b,clearly_defined_explanatory_variable,175,62,24,38,113,35,22,118,20,4,34,4,0.8709677419354839,0.8333333333333334,0.8333333333333334,0.8947368421052632,0.8947368421052632,0.8333333333333334,0.8640350877192983,0.10526315789473684,0.16666666666666666
agent_a,clearly_defined_explanatory_variable,175,62,24,38,113,18,33,124,16,2,36,8,0.8387096774193549,0.8888888888888888,0.6666666666666666,0.9473684210526315,0.8181818181818182,0.761904761904762,0.8070175438596491,0.05263157894736842,0.3333333333333333
agent_b,discusses_threats_to_causality,175,62,2,60,113,3,33,139,2,1,59,0,0.9838709677419355,0.6666666666666666,1,0.9833333333333333,1,0.8,0.9916666666666667,0.016666666666666666,0
agent_c,discusses_threats_to_causality,175,62,2,60,113,13,8,154,2,10,50,0,0.8387096774193549,0.16666666666666666,1,0.8333333333333334,1,0.2857142857142857,0.9166666666666667,0.16666666666666666,0
agent_a,discusses_threats_to_causality,175,62,2,60,113,0,34,141,0,0,60,2,0.967741935483871,,0,1,0.967741935483871,,0.5,0,1
agent_b,is_empirical_quant_paper,175,175,40,135,0,38,137,0,30,8,127,10,0.8971428571428571,0.7894736842105263,0.75,0.9407407407407408,0.927007299270073,0.7692307692307692,0.8453703703703703,0.05925925925925926,0.25
agent_c,is_empirical_quant_paper,175,175,40,135,0,48,127,0,33,15,120,7,0.8742857142857143,0.6875,0.825,0.8888888888888888,0.9448818897637795,0.75,0.8569444444444444,0.1111111111111111,0.175
agent_a,is_empirical_quant_paper,175,175,40,135,0,51,124,0,34,17,118,6,0.8685714285714285,0.6666666666666666,0.85,0.8740740740740741,0.9516129032258065,0.7472527472527473,0.862037037037037,0.1259259259259259,0.15
agent_b,makes_explicit_causal_claim,175,171,5,166,4,32,143,0,5,27,139,0,0.8421052631578947,0.15625,1,0.8373493975903614,1,0.2702702702702703,0.9186746987951807,0.16265060240963855,0
agent_c,makes_explicit_causal_claim,175,171,5,166,4,11,18,146,2,9,157,3,0.9298245614035088,0.18181818181818182,0.4,0.9457831325301205,0.98125,0.25000000000000006,0.6728915662650603,0.05421686746987952,0.6
agent_a,makes_explicit_causal_claim,175,171,5,166,4,7,103,65,1,6,160,4,0.9415204678362573,0.14285714285714285,0.2,0.963855421686747,0.975609756097561,0.16666666666666666,0.5819277108433735,0.03614457831325301,0.8
