field,critical_field,n_articles,n_consensus_accepted,n_matches_previous,agreement_rate
makes_explicit_causal_claim,TRUE,175,18,13,0.7222222222222222
statement_of_identification_assumptions,TRUE,175,149,113,0.7583892617449665
evidence_type,TRUE,175,115,97,0.8434782608695652
makes_implicit_causal_claim,TRUE,175,8,7,0.875
method_status,TRUE,175,130,119,0.9153846153846154
effort_to_explore_mechanisms,TRUE,175,113,104,0.9203539823008849
is_empirical_quant_paper,TRUE,175,149,140,0.9395973154362416
main_causal_research_design,TRUE,175,148,145,0.9797297297297297
error_in_raw_text,FALSE,175,175,45,0.2571428571428571
mentions_pre_registered_design_and_analysis_plan,FALSE,175,175,66,0.37714285714285717
seeks_determinants,FALSE,175,167,94,0.562874251497006
uses_original_dataset,FALSE,175,150,88,0.5866666666666667
references_power_analysis,FALSE,175,175,103,0.5885714285714285
specifies_estimate_equations,FALSE,175,172,107,0.622093023255814
clearly_defined_explanatory_variable,FALSE,175,172,112,0.6511627906976745
general_goal_of_analysis,FALSE,175,172,112,0.6511627906976745
clear_causal_quantity_of_interest,FALSE,175,175,117,0.6685714285714286
claims_any_statistically_significant_results,FALSE,175,174,120,0.6896551724137931
discusses_threats_to_causality,FALSE,175,173,124,0.7167630057803468
single_region,FALSE,175,174,131,0.7528735632183908
strong_non_causal_causal_qualification,FALSE,175,171,132,0.7719298245614035
countries_of_focus,FALSE,175,169,134,0.7928994082840237
single_country_study,FALSE,175,173,143,0.8265895953757225
placebo_test,FALSE,175,175,149,0.8514285714285714
subfield,FALSE,175,167,145,0.8682634730538922
sample_size,FALSE,175,172,151,0.877906976744186
sample_size_quote,FALSE,175,165,151,0.9151515151515152
paper_uses_survey_data,FALSE,175,175,162,0.9257142857142857
other_research_design,FALSE,175,172,165,0.9593023255813954
dependent_variables,FALSE,175,153,149,0.9738562091503268
independent_variables,FALSE,175,153,149,0.9738562091503268
instrumental_variable_instrument,FALSE,175,175,175,1
main_variable_relationship,FALSE,175,161,161,1
statement_of_identification_assumptions_quote,FALSE,175,175,175,1
brief_justification,FALSE,175,0,0,
