pid,title,year,issn,journal_title,document_type,language,attempt_count,last_source_method,last_source_url,last_status,last_reason,failure_methods,retry_status,run_timestamp
S0011-52582008000200001,Maria D'Alva Gil Kinzo,2008,0011-5258,Dados,research-article,pt,6,pdf_text_extraction,https://www.scielo.br/j/dados/a/TKvDJTCFwW4FC4hQtsnxXNC/?lang=pt&format=pdf,invalid,too_short_for_body,articlemeta_fulltexts_html:invalid:too_short_for_body;too_few_body_blocks | articlemeta_fulltexts_html:invalid:too_short_for_body;too_few_body_blocks | citation_xml_body:invalid:too_short_for_body;too_few_body_blocks | pdf_text_extraction:invalid:too_short_for_body | pdf_text_extraction:skipped:offline_no_cache | pdf_text_extraction:skipped:offline_no_cache,pending,20260604T012335Z
S0011-52582013000100001,Nota editoial,2013,0011-5258,Dados,research-article,pt,6,pdf_text_extraction,https://www.scielo.br/j/dados/a/sdVvfzJk4XhY8hhdSXC39vt/?lang=pt&format=pdf,invalid,too_short_for_body,articlemeta_fulltexts_html:invalid:too_short_for_body | articlemeta_fulltexts_html:invalid:too_short_for_body | citation_xml_body:invalid:too_short_for_body | pdf_text_extraction:invalid:too_short_for_body | pdf_text_extraction:skipped:offline_no_cache | pdf_text_extraction:skipped:offline_no_cache,pending,20260604T012335Z
S0034-73292011000100001,"Guerra e Paz, traduções do nosso tempo",2011,0034-7329,Revista Brasileira de Política Internacional,research-article,pt,6,pdf_text_extraction,https://www.scielo.br/j/rbpi/a/jzpFjgFGNtYgRVBj7jqXH3d/?lang=pt&format=pdf,invalid,too_short_for_body,articlemeta_fulltexts_html:invalid:too_short_for_body | articlemeta_fulltexts_html:invalid:too_short_for_body | citation_xml_body:invalid:too_short_for_body | pdf_text_extraction:invalid:too_short_for_body | pdf_text_extraction:skipped:offline_no_cache | pdf_text_extraction:skipped:offline_no_cache,pending,20260604T012335Z
S0034-76122006000100001,Palavras da diretora,2006,0034-7612,Revista de Administração Pública,research-article,pt,6,pdf_text_extraction,https://www.scielo.br/j/rap/a/z3LdvK73psKpTpLvPNShncD/?lang=pt&format=pdf,invalid,too_short_for_body,articlemeta_fulltexts_html:invalid:too_short_for_body | articlemeta_fulltexts_html:invalid:too_short_for_body | citation_xml_body:invalid:too_short_for_body | pdf_text_extraction:invalid:too_short_for_body | pdf_text_extraction:skipped:offline_no_cache | pdf_text_extraction:skipped:offline_no_cache,pending,20260604T012335Z
S0034-76122006000300001,Palavras da diretora,2006,0034-7612,Revista de Administração Pública,research-article,pt,6,pdf_text_extraction,https://www.scielo.br/j/rap/a/Rc9LD9GGqN6FhttfPwPZSFx/?lang=pt&format=pdf,invalid,too_short_for_body,articlemeta_fulltexts_html:invalid:too_short_for_body | articlemeta_fulltexts_html:invalid:too_short_for_body | citation_xml_body:invalid:too_short_for_body | pdf_text_extraction:invalid:too_short_for_body | pdf_text_extraction:skipped:offline_no_cache | pdf_text_extraction:skipped:offline_no_cache,pending,20260604T012335Z
S0034-76122007000100001,Palavras da diretora,2007,0034-7612,Revista de Administração Pública,research-article,pt,6,pdf_text_extraction,https://www.scielo.br/j/rap/a/8tgjxB3B8R3xVBT9ByCBb5P/?lang=pt&format=pdf,invalid,too_short_for_body,articlemeta_fulltexts_html:invalid:too_short_for_body | articlemeta_fulltexts_html:invalid:too_short_for_body | citation_xml_body:invalid:too_short_for_body | pdf_text_extraction:invalid:too_short_for_body | pdf_text_extraction:skipped:offline_no_cache | pdf_text_extraction:skipped:offline_no_cache,pending,20260604T012335Z
S0034-76122008000100001,Palavras da diretora,2008,0034-7612,Revista de Administração Pública,research-article,pt,6,pdf_text_extraction,https://www.scielo.br/j/rap/a/xqzKdYxWtgrMBDq79Lr3bNP/?lang=pt&format=pdf,invalid,too_short_for_body,articlemeta_fulltexts_html:invalid:too_short_for_body | articlemeta_fulltexts_html:invalid:too_short_for_body | citation_xml_body:invalid:too_short_for_body | pdf_text_extraction:invalid:too_short_for_body | pdf_text_extraction:skipped:offline_no_cache | pdf_text_extraction:skipped:offline_no_cache,pending,20260604T012335Z
S0034-76122008000400001,Palavras da diretora,2008,0034-7612,Revista de Administração Pública,research-article,pt,6,pdf_text_extraction,https://www.scielo.br/j/rap/a/Kv9w3q48P73MWhcpYbHHpPb/?lang=pt&format=pdf,invalid,too_short_for_body,articlemeta_fulltexts_html:invalid:too_short_for_body | articlemeta_fulltexts_html:invalid:too_short_for_body | citation_xml_body:invalid:too_short_for_body | pdf_text_extraction:invalid:too_short_for_body | pdf_text_extraction:skipped:offline_no_cache | pdf_text_extraction:skipped:offline_no_cache,pending,20260604T012335Z
S0034-76122009000400001,Palavras da diretora,2009,1982-3134,Revista de Administração Pública,research-article,pt,6,pdf_text_extraction,https://www.scielo.br/j/rap/a/gjkjQpJjqD4GfrJJsnbFzfs/?lang=pt&format=pdf,invalid,too_short_for_body,articlemeta_fulltexts_html:invalid:too_short_for_body | articlemeta_fulltexts_html:invalid:too_short_for_body | citation_xml_body:invalid:too_short_for_body | pdf_text_extraction:invalid:too_short_for_body | pdf_text_extraction:skipped:offline_no_cache | pdf_text_extraction:skipped:offline_no_cache,pending,20260604T012335Z
S0034-76122010000100001,Palavras da diretora,2010,0034-7612,Revista de Administração Pública,research-article,pt,6,pdf_text_extraction,https://www.scielo.br/j/rap/a/whGXjkjgGn4hGZc7V3BL5dp/?lang=pt&format=pdf,invalid,too_short_for_body,articlemeta_fulltexts_html:invalid:too_short_for_body | articlemeta_fulltexts_html:invalid:too_short_for_body | citation_xml_body:invalid:too_short_for_body | pdf_text_extraction:invalid:too_short_for_body | pdf_text_extraction:skipped:offline_no_cache | pdf_text_extraction:skipped:offline_no_cache,pending,20260604T012335Z
S0034-76122010000300008,Clóvis Luiz Machado-da-Silva e o Observatório,2010,0034-7612,Revista de Administração Pública,research-article,pt,6,pdf_text_extraction,https://www.scielo.br/j/rap/a/GzD3zVWjWryJQdVjhFLWTtM/?lang=pt&format=pdf,invalid,too_short_for_body,articlemeta_fulltexts_html:invalid:too_short_for_body | articlemeta_fulltexts_html:invalid:too_short_for_body | citation_xml_body:invalid:too_short_for_body | pdf_text_extraction:invalid:too_short_for_body | pdf_text_extraction:skipped:offline_no_cache | pdf_text_extraction:skipped:offline_no_cache,pending,20260604T012335Z
S0034-76122010000400001,Palavras da diretora,2010,1982-3134,Revista de Administração Pública,research-article,pt,6,pdf_text_extraction,https://www.scielo.br/j/rap/a/pRybpGgKvsg7Nr8TcCPpXgb/?lang=pt&format=pdf,invalid,too_short_for_body,articlemeta_fulltexts_html:invalid:too_short_for_body | articlemeta_fulltexts_html:invalid:too_short_for_body | citation_xml_body:invalid:too_short_for_body | pdf_text_extraction:invalid:too_short_for_body | pdf_text_extraction:skipped:offline_no_cache | pdf_text_extraction:skipped:offline_no_cache,pending,20260604T012335Z
S0034-76122010000400012,Errata,2010,1982-3134,Revista de Administração Pública,research-article,pt,6,pdf_text_extraction,https://www.scielo.br/j/rap/a/JY3gPFfXB5RLDL9CjLgzWnv/?lang=pt&format=pdf,invalid,too_short_for_body,articlemeta_fulltexts_html:invalid:too_short_for_body;too_few_body_blocks | articlemeta_fulltexts_html:invalid:too_short_for_body;too_few_body_blocks | citation_xml_body:invalid:too_short_for_body;too_few_body_blocks | pdf_text_extraction:invalid:too_short_for_body | pdf_text_extraction:skipped:offline_no_cache | pdf_text_extraction:skipped:offline_no_cache,pending,20260604T012335Z
S0034-76122011000100001,Palavras da diretora,2011,0034-7612,Revista de Administração Pública,research-article,pt,6,pdf_text_extraction,https://www.scielo.br/j/rap/a/v8jn6rZKVDGFSSGGKnqVcJn/?lang=pt&format=pdf,invalid,too_short_for_body,articlemeta_fulltexts_html:invalid:too_short_for_body | articlemeta_fulltexts_html:invalid:too_short_for_body | citation_xml_body:invalid:too_short_for_body | pdf_text_extraction:invalid:too_short_for_body | pdf_text_extraction:skipped:offline_no_cache | pdf_text_extraction:skipped:offline_no_cache,pending,20260604T012335Z
S0101-33002006000200018,"A título de complemento à conferência ""O vício da virtude"" , de Francisco de Oliveira",2006,1980-5403,Novos estudos CEBRAP,research-article,pt,6,pdf_text_extraction,https://www.scielo.br/j/nec/a/cGy6yQh9g6pdxfrz8BQYRkx/?lang=pt&format=pdf,invalid,too_short_for_body,articlemeta_fulltexts_html:invalid:too_short_for_body | articlemeta_fulltexts_html:invalid:too_short_for_body | citation_xml_body:invalid:too_short_for_body | pdf_text_extraction:invalid:too_short_for_body | pdf_text_extraction:skipped:offline_no_cache | pdf_text_extraction:skipped:offline_no_cache,pending,20260604T012335Z
S0101-33002007000300018,Errata,2007,0101-3300,Novos estudos CEBRAP,research-article,pt,6,pdf_text_extraction,https://www.scielo.br/j/nec/a/7kHvJWqTX9kYfLk5rGxjLRB/?lang=pt&format=pdf,invalid,too_short_for_body;too_few_body_blocks,articlemeta_fulltexts_html:invalid:too_short_for_body;too_few_body_blocks | articlemeta_fulltexts_html:invalid:too_short_for_body;too_few_body_blocks | citation_xml_body:invalid:too_short_for_body;too_few_body_blocks | pdf_text_extraction:invalid:too_short_for_body;too_few_body_blocks | pdf_text_extraction:skipped:offline_no_cache | pdf_text_extraction:skipped:offline_no_cache,pending,20260604T012335Z
S0101-33002010000200014,,2010,0101-3300,Novos estudos CEBRAP,research-article,pt,6,pdf_text_extraction,https://www.scielo.br/j/nec/a/nLw7fQ4JtspqTcwfGRZ3Jxs/?lang=pt&format=pdf,invalid,too_short_for_body,articlemeta_fulltexts_html:invalid:too_short_for_body | articlemeta_fulltexts_html:invalid:too_short_for_body | citation_xml_body:invalid:too_short_for_body | pdf_text_extraction:invalid:too_short_for_body | pdf_text_extraction:skipped:offline_no_cache | pdf_text_extraction:skipped:offline_no_cache,pending,20260604T012335Z
