pid,journal_title
S0101-33002005000200001,Novos estudos CEBRAP
S0101-33002005000200002,Novos estudos CEBRAP
S0101-33002005000200004,Novos estudos CEBRAP
S0101-33002005000200005,Novos estudos CEBRAP
S0101-33002005000200006,Novos estudos CEBRAP
S0101-33002005000200007,Novos estudos CEBRAP
S0101-33002005000200008,Novos estudos CEBRAP
S0101-33002005000200010,Novos estudos CEBRAP
S0101-33002005000300001,Novos estudos CEBRAP
S0101-33002005000300002,Novos estudos CEBRAP
S0101-33002005000300003,Novos estudos CEBRAP
S0101-33002005000300004,Novos estudos CEBRAP
S0101-33002005000300005,Novos estudos CEBRAP
S0101-33002005000300006,Novos estudos CEBRAP
S0101-33002005000300007,Novos estudos CEBRAP
S0101-33002005000300008,Novos estudos CEBRAP
S0101-33002005000300010,Novos estudos CEBRAP
S0101-33002005000300013,Novos estudos CEBRAP
S0101-33002006000100001,Novos estudos CEBRAP
S0101-33002006000100002,Novos estudos CEBRAP
S0101-33002006000100003,Novos estudos CEBRAP
S0101-33002006000100004,Novos estudos CEBRAP
S0101-33002006000100005,Novos estudos CEBRAP
S0101-33002006000100006,Novos estudos CEBRAP
S0101-33002006000100007,Novos estudos CEBRAP
S0101-33002006000100008,Novos estudos CEBRAP
S0101-33002006000100009,Novos estudos CEBRAP
S0101-33002006000100010,Novos estudos CEBRAP
S0101-33002006000100011,Novos estudos CEBRAP
S0101-33002006000200001,Novos estudos CEBRAP
S0101-33002006000200002,Novos estudos CEBRAP
S0101-33002006000200003,Novos estudos CEBRAP
S0101-33002006000200004,Novos estudos CEBRAP
S0101-33002006000200006,Novos estudos CEBRAP
S0101-33002006000200007,Novos estudos CEBRAP
S0101-33002006000200008,Novos estudos CEBRAP
S0101-33002006000200009,Novos estudos CEBRAP
S0101-33002006000200010,Novos estudos CEBRAP
S0101-33002006000200011,Novos estudos CEBRAP
S0101-33002006000200012,Novos estudos CEBRAP
S0101-33002006000200013,Novos estudos CEBRAP
S0101-33002006000200014,Novos estudos CEBRAP
S0101-33002006000200015,Novos estudos CEBRAP
S0101-33002006000200017,Novos estudos CEBRAP
S0101-33002006000300001,Novos estudos CEBRAP
S0101-33002006000300002,Novos estudos CEBRAP
S0101-33002006000300003,Novos estudos CEBRAP
S0101-33002006000300004,Novos estudos CEBRAP
S0101-33002006000300006,Novos estudos CEBRAP
S0101-33002006000300007,Novos estudos CEBRAP
S0101-33002006000300008,Novos estudos CEBRAP
S0101-33002006000300009,Novos estudos CEBRAP
S0101-33002006000300010,Novos estudos CEBRAP
S0101-33002006000300011,Novos estudos CEBRAP
S0101-33002006000300012,Novos estudos CEBRAP
S0101-33002006000300014,Novos estudos CEBRAP
S0101-33002006000300015,Novos estudos CEBRAP
S0101-33002007000100001,Novos estudos CEBRAP
S0101-33002007000100002,Novos estudos CEBRAP
S0101-33002007000100003,Novos estudos CEBRAP
S0101-33002007000100004,Novos estudos CEBRAP
S0101-33002007000100005,Novos estudos CEBRAP
S0101-33002007000100006,Novos estudos CEBRAP
S0101-33002007000100007,Novos estudos CEBRAP
S0101-33002007000100008,Novos estudos CEBRAP
S0101-33002007000100009,Novos estudos CEBRAP
S0101-33002007000100010,Novos estudos CEBRAP
S0101-33002007000100011,Novos estudos CEBRAP
S0101-33002007000100012,Novos estudos CEBRAP
S0101-33002007000100013,Novos estudos CEBRAP
S0101-33002007000100014,Novos estudos CEBRAP
S0101-33002007000100015,Novos estudos CEBRAP
S0101-33002007000100016,Novos estudos CEBRAP
S0101-33002007000200001,Novos estudos CEBRAP
