pid,title,journal_title,year,period_3,eligible_order
S0102-85292020000300569,"A Relação entre Organizações Regionais, Consolidação da Democracia e Segurança Cidadã: Os Casos do SICA e da UNASUL",Contexto Internacional,2020,2019-2025,700
S0102-85292020000300597,Bancos Multilaterais de Desenvolvimento: Mandato Contra-cíclico e Restrições Financeiras,Contexto Internacional,2020,2019-2025,701
S0102-85292020000300621,Brexit e a (Des)Integração Europeia Diferenciada,Contexto Internacional,2020,2019-2025,702
S0102-85292020000300647,"Cooperação Internacional, Homossexualidade e AIDS em Moçambique",Contexto Internacional,2020,2019-2025,703
S0102-85292020000300665,"Perspectivas do Sul Global sobre Stonewall após 50 anos, Parte I&#8212;Sul pelo Sul, Trans por Trans",Contexto Internacional,2020,2019-2025,704
S0102-85292020000300685,"Perspectivas do Sul Global sobre Stonewall após 50 anos, Parte II&#8212; Stonewalls Brasileiros: Política Radical e Ativismo Lésbico",Contexto Internacional,2020,2019-2025,705
S0102-85292021000100009,Construindo Espaços no Sul Global: Lições do Acordo GCC-Mercosul,Contexto Internacional,2021,2019-2025,706
S0102-85292021000100033,Regionalismo Americano e Discurso Diplomático Brasileiro (1946-2019),Contexto Internacional,2021,2019-2025,707
S0102-85292021000100055,Uma Teoria de Estabilidade Hegemônica para o Regionalismo Sul-Americano? Evidências do Caso do Brasil na UNASUL e da Venezuela na ALBA,Contexto Internacional,2021,2019-2025,708
S0102-85292021000100077,"Recursos Naturais, Infraestrutura Crítica e Segurança Energética: Objetos Referentes Securitizados em Documentos de Defesa Brasileiros?",Contexto Internacional,2021,2019-2025,709
S0102-85292021000100099,Colocando em Xeque os Movimentos Brasileiros no Tabuleiro de Xadrez Climático,Contexto Internacional,2021,2019-2025,710
S0102-85292021000100147,Do Panda ao Dragão: Uma Análise das Ações e Reações Marítimas da China no Leste do Mar da China desde 2012 e Suas Implicações,Contexto Internacional,2021,2019-2025,711
S0102-85292021000100173,Regulação da Conta Capital e Autonomia Nacional: A Economia Política da Nova Economia do Bem-Estar,Contexto Internacional,2021,2019-2025,712
S0102-85292021000200235,Securitizando a COVID- 19? A política de saúde global e os limites da Escola de Copenhagen,Contexto Internacional,2021,2019-2025,713
S0102-85292021000200259,Políticas Climáticas e a Crise da Ordem Internacional Liberal,Contexto Internacional,2021,2019-2025,714
S0102-85292021000200283,Reconfiguração Sistêmica do Capitalismo: Aplicando a Crítica de Ruggie à Waltz na Economia,Contexto Internacional,2021,2019-2025,715
S0102-85292021000200305,Estrutura Multilateral de Facilitação de Investimentos na OMC: Iniciativas e Perspectivas do Sul Global,Contexto Internacional,2021,2019-2025,716
S0102-85292021000200331,As estratégias de desenvolvimento e inserção internacional da África: O Hibridismo da Agenda 2063,Contexto Internacional,2021,2019-2025,717
S0102-85292021000200355,Enfatizando o Problema? Organizações Internacionais e Seu Engajamento na América Latina para Enfrentar a Violência - O Caso da União Europeia no Triângulo Norte,Contexto Internacional,2021,2019-2025,718
S0102-85292021000200381,Repensando os Produtos Fictícios de Polanyi com base no Segmento Nuclear Brasileiro,Contexto Internacional,2021,2019-2025,719
S0102-85292021000200405,A China nas Operações de Paz da ONU: Uma Avaliação de 30 anos (1990-2019),Contexto Internacional,2021,2019-2025,720
S0102-85292021000300439,"Poder Soberano, Governo e a Crise do Liberalismo Global",Contexto Internacional,2021,2019-2025,721
