pid,title,journal_title,journal_area,year,period_3,credibility_revolution_screen_applicable,credibility_revolution_method_present,method_type,causal_design_quote,tough_call,method_class
S1981-38212007000100102,Career Choice and Legislative Reelection: Evidence from Brazil and Colombia,Brazilian Political Science Review,Ciência Política,2007,2005-2011,TRUE,FALSE,observational_regression_with_causal_claim_no_design,"We estimated all of our models using Random-Effects Probit regression, which accounts for the panel structure of our data when estimating standard errors.",TRUE,diagnostic_not_design
S1981-38212007000200074,Women and Candidate Quality in the Elections for the Senate: Brazil and the United States in Comparative Perspective,Brazilian Political Science Review,Ciência Política,2007,2005-2011,TRUE,FALSE,observational_regression_with_causal_claim_no_design,These questions will be addressed through a probit analysis (Table 6).,TRUE,diagnostic_not_design
S1981-38212007000200108,Rethinking State Politics: The Withering of State Dominant Machines in Brazil,Brazilian Political Science Review,Ciência Política,2007,2005-2011,TRUE,FALSE,observational_regression_with_causal_claim_no_design,"Even though simple correlations are a limited strategy of causal assessment, the results shown in the table 10 provide a strong indication that federal social spending was an important factor behind the electoral growth of the PT and other leftwing organizations in the least-competitive states, in parallel with the decay of state political machines.",TRUE,diagnostic_not_design
S1981-38212008000100010,Personal Networks and Urban Poverty: Preliminary Findings,Brazilian Political Science Review,Ciência Política,2008,2005-2011,TRUE,FALSE,none_detected,NA,TRUE,diagnostic_not_design
S1981-38212008000100057,Brazilian Democracy and the Power of &#8220;Old&#8221; Theories of Party Competition,Brazilian Political Science Review,Ciência Política,2008,2005-2011,TRUE,FALSE,none_detected,NA,TRUE,diagnostic_not_design
S1981-38212008000100077,Women in Upper Houses: A Global Perspective,Brazilian Political Science Review,Ciência Política,2008,2005-2011,TRUE,FALSE,observational_regression_with_causal_claim_no_design,"The model is executed in two steps, expressed by two equations, whose errors are related.",FALSE,diagnostic_not_design
S1981-38212008000200074,Policy Positions in the Chilean Senate: An Analysis of Coauthorship and Roll Call Data,Brazilian Political Science Review,Ciência Política,2008,2005-2011,TRUE,FALSE,none_detected,NA,TRUE,diagnostic_not_design
S1981-38212008000200093,"Justice, Professionalism, and Politics in the Exercise of Judicial Review by Brazil's Supreme Court",Brazilian Political Science Review,Ciência Política,2008,2005-2011,TRUE,FALSE,observational_regression_with_causal_claim_no_design,NA,TRUE,diagnostic_not_design
S1981-38212009000200127,"Political Parties, Foreign Policy and Ideology: Argentina and Chile in Comparative Perspective",Brazilian Political Science Review,Ciência Política,2009,2005-2011,TRUE,FALSE,none_detected,NA,TRUE,diagnostic_not_design
S1981-38212010000100010,"Electoral Success and Political Institutionalization in the Federal Deputy Elections in Brazil (1998, 2002 and 2006)",Brazilian Political Science Review,Ciência Política,2010,2005-2011,TRUE,FALSE,observational_regression_with_causal_claim_no_design,"For a more effective evaluation, we have created a model of regression in order to measure the impact of several political, demographic and societal variables on the chances of electoral success",TRUE,diagnostic_not_design
S1981-38212010000100033,Judicialization of Health Policy in the Definition of Access to Public Goods: Individual Rights versus Collective Rights,Brazilian Political Science Review,Ciência Política,2010,2005-2011,TRUE,FALSE,none_detected,NA,TRUE,diagnostic_not_design
S1981-38212010000200078,The Decreasing Political Rewards of Education in Brazil,Brazilian Political Science Review,Ciência Política,2010,2005-2011,TRUE,FALSE,observational_regression_with_causal_claim_no_design,NA,TRUE,diagnostic_not_design
S1981-38212011000100054,Brazilian Parties According to their Manifestos: Political Identity and Programmatic Emphases,Brazilian Political Science Review,Ciência Política,2011,2005-2011,TRUE,FALSE,none_detected,NA,TRUE,diagnostic_not_design
S1981-38212011000100077,Euroskepticism in European National Elections: The Rise of Voter Support for New Radical Right Parties,Brazilian Political Science Review,Ciência Política,2011,2005-2011,TRUE,FALSE,fixed_effects_causal_panel_claim,A set of econometric exercises using 1990-2006 panel data with fixed effects was determined to have “support for ERPs” as the dependent variable.,TRUE,diagnostic_not_design
S1981-38212011000100077,Euroskepticism in European National Elections: The Rise of Voter Support for New Radical Right Parties,Brazilian Political Science Review,Ciência Política,2011,2005-2011,TRUE,FALSE,observational_regression_with_causal_claim_no_design,A set of econometric exercises using 1990-2006 panel data with fixed effects was determined to have “support for ERPs” as the dependent variable.,TRUE,diagnostic_not_design
S1981-38212011000100105,Public Attitudes towards Parties in Portugal: A Longitudinal Overview,Brazilian Political Science Review,Ciência Política,2011,2005-2011,TRUE,FALSE,none_detected,NA,FALSE,diagnostic_not_design
S1981-38212011000200039,Independence after Delegation? Presidential Calculus and Political Interference in Brazilian Regulatory Agencies,Brazilian Political Science Review,Ciência Política,2011,2005-2011,TRUE,FALSE,observational_regression_with_causal_claim_no_design,"""the inference method used here is a panel, linear model with random effects""",TRUE,diagnostic_not_design
S1981-38212011000200094,Federalism and Public Resources in Brazil: Federal Discretionary Transfers to States,Brazilian Political Science Review,Ciência Política,2011,2005-2011,TRUE,FALSE,observational_regression_with_causal_claim_no_design,"though we were unable to establish a causal relation, the data suggest that the amount of resources... depend on the political relation with the governor",TRUE,diagnostic_not_design
S1981-38212012000100053,Empirical Determinants of Government Efficiency: A Study Based on Objective Indicators,Brazilian Political Science Review,Ciência Política,2012,2012-2018,TRUE,FALSE,observational_regression_with_causal_claim_no_design,"In order to be able to trust our results, we wanted to confirm if we had major endogeneity issues with our variables. We used the Hausman test for endogeneity",TRUE,diagnostic_not_design
S1981-38212012000100070,Trust and Political Information: Attitudinal Change in Participants in the Youth Parliament in Brazil,Brazilian Political Science Review,Ciência Política,2012,2012-2018,TRUE,TRUE,difference_in_differences,"""To answer this question, we used the method of ‘difference in difference.’ The variables used were derived by subtracting the values at time 1 (before the YP) from values at time 2 (after the YP took place) for each of the two groups (treatment and control).""",TRUE,strict_design_method
S1981-38212012000200002,"The Bigger, the Better: Coalitions in the GATT/WTO",Brazilian Political Science Review,Ciência Política,2012,2012-2018,TRUE,FALSE,observational_regression_with_causal_claim_no_design,"Using a Bayesian probit model, we fit a model with scope and the log of coalition size as our predictors.",TRUE,diagnostic_not_design
S1981-38212012000200003,Political Competition and the Diffusion of Conditional Cash Transfers in Brazil,Brazilian Political Science Review,Ciência Política,2012,2012-2018,TRUE,FALSE,observational_regression_with_causal_claim_no_design,"Like any other academic work, the present study, when using a statistical model to define the causal relationship between variables, can be omitting an important covariable.",TRUE,diagnostic_not_design
S1981-38212012000200004,What is the Best Strategy to Obtain Legislative Support?: Survey Evidence from Brazilian State Assemblies,Brazilian Political Science Review,Ciência Política,2012,2012-2018,TRUE,FALSE,observational_regression_with_causal_claim_no_design,NA,TRUE,diagnostic_not_design
S1981-38212013000100003,Investigating elite behavior through field experiment in Brazil: do candidates answer more to core or swing voters?,Brazilian Political Science Review,Ciência Política,2013,2012-2018,TRUE,TRUE,experiment_field,This article is based on a field experiment conducted in the context of the 2008 Brazilian municipal election.,FALSE,strict_design_method
S1981-38212013000300003,Mapping and explaining the use of the left-right divide,Brazilian Political Science Review,Ciência Política,2013,2012-2018,TRUE,FALSE,observational_regression_with_causal_claim_no_design,NA,FALSE,diagnostic_not_design
S1981-38212014000100002,"A study on the impact of campaign finance, political capital and gender on electoral performance",Brazilian Political Science Review,Ciência Política,2014,2012-2018,TRUE,FALSE,observational_regression_with_causal_claim_no_design,"We used logistic regression to test for a positive and significant association between campaign finance and performance in the 2010 elections for state and federal deputies, controlling by gender, incumbency and by the interaction terms",TRUE,diagnostic_not_design
S1981-38212014000200070,Flying in Clear Skies: Technical Arguments Influencing ANAC Regulations,Brazilian Political Science Review,Ciência Política,2014,2012-2018,TRUE,FALSE,observational_regression_with_causal_claim_no_design,"""In the second model, we incorporate the variables that characterize the comments: technicality, economic, legal and regulatory. The results are quite interesting. The two commentator-type indicator variables lose significance and only the variable that indicates that the comment is technical proves to be statistically significant.""",TRUE,diagnostic_not_design
S1981-38212014000200094,A Comparative Analysis of Brazil's Foreign Policy Drivers Towards the USA: Comment on Amorim Neto (2011),Brazilian Political Science Review,Ciência Política,2014,2012-2018,TRUE,FALSE,observational_regression_with_causal_claim_no_design,"The general model for this work can be summarized as:

Convergence in UNGA voting i,t = β 0 + β1 Unilateral Power i, t + β2 USA Power i, t + β3 Countries Power Gap i, t-1 + β4 FDI i, t + β5 International Monetary Fund loans i, t + β6 World Bank loans i, t + β8 Authoritarian Regime i, t + e i, t",TRUE,diagnostic_not_design
S1981-38212014000300098,Beyond Brazilian Coalition Presidentialism: the Appropriation of the Legislative Agenda,Brazilian Political Science Review,Ciência Política,2014,2012-2018,TRUE,FALSE,none_detected,NA,TRUE,diagnostic_not_design
S1981-38212015000100039,The Institutional Presidency from a Comparative Perspective: Argentina and Brazil since the 1980s,Brazilian Political Science Review,Ciência Política,2015,2012-2018,TRUE,FALSE,observational_regression_with_causal_claim_no_design,NA,TRUE,diagnostic_not_design
S1981-38212015000100135,The Impacts of Conditional Cash Transfers in Four Presidential Elections (2002&#8211;2014),Brazilian Political Science Review,Ciência Política,2015,2012-2018,TRUE,TRUE,matching_or_weighting,"This was done by matching beneficiaries to non-beneficiaries on gender, age, income, education, region, race (when available), and municipality's human development index (HDI-M) of respondents[3]. Matching was done using the genetic matching algorithm, developed by Diamond and Sekhon (2005).",TRUE,strict_design_method
S1981-38212015000200003,"State Transfers, Taxes and Income Inequality in Brazil",Brazilian Political Science Review,Ciência Política,2015,2012-2018,TRUE,FALSE,observational_regression_with_causal_claim_no_design,"As the assumption that workers are randomly assigned between sectors is obviously not true, we tested three different specifications of our model.",TRUE,diagnostic_not_design
S1981-38212015000200054,Corruption and Political Participation in the Americas and the Caribbean,Brazilian Political Science Review,Ciência Política,2015,2012-2018,TRUE,FALSE,observational_regression_with_causal_claim_no_design,"we use the fixed effects for the indicator variables for countries - not shown in the tables below, due to the space limitation",TRUE,diagnostic_not_design
S1981-38212015000200081,Does the Electoral Rule Matter for Political Polarization? The Case of Brazilian Legislative Chambers,Brazilian Political Science Review,Ciência Política,2015,2012-2018,TRUE,FALSE,observational_regression_with_causal_claim_no_design,"With the impossibility of a natural experiment, the identification strategy relies on the Brazilian electoral and legislative design.",TRUE,diagnostic_not_design
S1981-38212015000300003,Impact of Electronic Voting Machines on Blank Votes and Null Votes in Brazilian Elections in 1998,Brazilian Political Science Review,Ciência Política,2015,2012-2018,TRUE,TRUE,difference_in_differences,"A simple way to ""isolate"" the effects of cities' socioeconomic levels is to compare the average amount of null and blank votes from 1998 to those from the same cities in the previous elections (1994), a technique known as difference-in-differences, or diff-in-diff.",TRUE,strict_design_method
S1981-38212015000300042,The Capital Mistake: Local Information and National Electoral Reforms,Brazilian Political Science Review,Ciência Política,2015,2012-2018,TRUE,FALSE,observational_regression_with_causal_claim_no_design,"Models were estimated by OLS and are presented below, in Table 04.",TRUE,diagnostic_not_design
S1981-38212015000300116,Enlarging the Playing Field: Political Circulation of Brazilian Senators in the First Republic,Brazilian Political Science Review,Ciência Política,2015,2012-2018,TRUE,FALSE,none_detected,NA,TRUE,diagnostic_not_design
S1981-38212016000100201,Modernization Without Change: Decision-Making Process in the Mercosur Parliament,Brazilian Political Science Review,Ciência Política,2016,2012-2018,TRUE,FALSE,none_detected,NA,TRUE,diagnostic_not_design
S1981-38212016000100202,Elite Framing of Inequality in the Press: Brazil and Uruguay Compared,Brazilian Political Science Review,Ciência Política,2016,2012-2018,TRUE,FALSE,none_detected,NA,TRUE,diagnostic_not_design
S1981-38212016000200204,Does Size Matter? Electoral Performance of Small Parties in Brazil,Brazilian Political Science Review,Ciência Política,2016,2012-2018,TRUE,FALSE,observational_regression_with_causal_claim_no_design,"""our aim is to verify whether the small parties exert any significant effect on electoral volatility""; ""we decided to estimate the effect of the SPs on electoral volatility and proportionality""",TRUE,diagnostic_not_design
S1981-38212016000200206,Unboxing the Active Role of the Legislative Power in Brazil,Brazilian Political Science Review,Ciência Política,2016,2012-2018,TRUE,FALSE,none_detected,NA,TRUE,diagnostic_not_design
S1981-38212016000300201,Oversized Government Coalitions in Latin America,Brazilian Political Science Review,Ciência Política,2016,2012-2018,TRUE,FALSE,observational_regression_with_causal_claim_no_design,"To estimate the probability of oversized coalitions being formed, Y i,t , in a country i for the year t, the basic model used is",TRUE,diagnostic_not_design
S1981-38212016000300203,"Personality, Political Attitudes and Participation in Protests: The Direct and Mediated Effects of Psychological Factors on Political Activism",Brazilian Political Science Review,Ciência Política,2016,2012-2018,TRUE,FALSE,observational_regression_with_causal_claim_no_design,"""The standardization proposed by Baron and Kenny (1986) uses standard deviations of the observed variables for the OSL-based models, and the standard deviation of a latent measure for the binary variable involved in the analysis in the case of the logistic models.""",TRUE,diagnostic_not_design
S1981-38212016000300204,Corporate Dependence in Brazil's 2010 Elections for Federal Deputy,Brazilian Political Science Review,Ciência Política,2016,2012-2018,TRUE,FALSE,observational_regression_with_causal_claim_no_design,NA,TRUE,diagnostic_not_design
S1981-38212016000300206,Foreign aid and the governance of international financial organizations: the Brazilian-bloc case in the IMF and the World Bank,Brazilian Political Science Review,Ciência Política,2016,2012-2018,TRUE,FALSE,observational_regression_with_causal_claim_no_design,"Subsequently, multivariate linear regressions were used, including the control variables.",TRUE,diagnostic_not_design
S1981-38212017000100201,"National Intelligence Systems as Networks: Power Distribution and Organizational Risk in Brazil, Russia, India, China, and South Africa",Brazilian Political Science Review,Ciência Política,2017,2012-2018,TRUE,FALSE,none_detected,NA,TRUE,diagnostic_not_design
S1981-38212017000200201,Leaders or Loners? How Do the BRICS Countries and their Regions Vote in the UN General Assembly,Brazilian Political Science Review,Ciência Política,2017,2012-2018,TRUE,FALSE,none_detected,NA,TRUE,diagnostic_not_design
S1981-38212017000200203,Future electoral impacts of having a female mayor,Brazilian Political Science Review,Ciência Política,2017,2012-2018,TRUE,TRUE,regression_discontinuity,"Our empirical strategy is to apply a sharp regression discontinuity approach in the same way as Lee, Moretti, and Butler (2004) and Lee (2008).",FALSE,strict_design_method
S1981-38212017000200204,Coalition Presidentialism in Bicameral Congresses: How does the Control of a Bicameral Majority Affect Coalition Survival?,Brazilian Political Science Review,Ciência Política,2017,2012-2018,TRUE,FALSE,none_detected,NA,TRUE,diagnostic_not_design
S1981-38212017000200205,"Accountability, Corruption and Local Government: Mapping the Control Steps",Brazilian Political Science Review,Ciência Política,2017,2012-2018,TRUE,FALSE,observational_regression_with_causal_claim_no_design,the survival analysis aims to understand which factors could influence the speed of the web in processing irregularities,TRUE,diagnostic_not_design
S1981-38212017000300202,Politics on the Web: Using Twitter to Estimate the Ideological Positions of Brazilian Representatives,Brazilian Political Science Review,Ciência Política,2017,2012-2018,TRUE,FALSE,none_detected,NA,TRUE,diagnostic_not_design
S1981-38212018000100200,Expert-Driven and Citational Approaches to Assessing Journal Publications of Brazilian Political Scientists,Brazilian Political Science Review,Ciência Política,2018,2012-2018,TRUE,FALSE,observational_regression_with_causal_claim_no_design,ordered logistic regressions were estimated to examine the extent to which systematic factors affect the likelihood of a specific journal being classified by Qualis into each of the eight possible categories,TRUE,diagnostic_not_design
S1981-38212018000100201,Socialization and Political Regimes: the Impact of Generation on Support for Democracy in Latin America,Brazilian Political Science Review,Ciência Política,2018,2012-2018,TRUE,FALSE,observational_regression_with_causal_claim_no_design,"As the democratic legacy and the authoritarian legacy are contextual variables, we estimate multilevel logistic models for the 17 Latin American countries.",FALSE,diagnostic_not_design
S1981-38212018000200200,Strategic Coalitions and Agenda-Setting in Fragmented Congresses: How the PRI Sets the Legislative Agenda in Mexico,Brazilian Political Science Review,Ciência Política,2018,2012-2018,TRUE,FALSE,observational_regression_with_causal_claim_no_design,NA,TRUE,diagnostic_not_design
S1981-38212018000200204,Preparing the Terrain: Conditioning Factors for the Regionalization of the Vote for Federal Deputy in São Paulo,Brazilian Political Science Review,Ciência Política,2018,2012-2018,TRUE,FALSE,observational_regression_with_causal_claim_no_design,The model used the standardized difference in HC means between candidate 'i' in region 'r' in year 'a' and the overall mean HC for all candidates in the same year in the same region as the dependent variable.,FALSE,diagnostic_not_design
S1981-38212018000200205,Affirmative Action Attitudes of Whites: Evidence from a List Experiment Survey in Brazil,Brazilian Political Science Review,Ciência Política,2018,2012-2018,TRUE,TRUE,experiment_survey,"The list experiment embedded in the survey randomly assigned respondents to a baseline group, the control group or the treatment group.",FALSE,strict_design_method
S1981-38212018000200205,Affirmative Action Attitudes of Whites: Evidence from a List Experiment Survey in Brazil,Brazilian Political Science Review,Ciência Política,2018,2012-2018,TRUE,TRUE,experiment_list,"The list experiment embedded in the survey randomly assigned respondents to a baseline group, the control group or the treatment group.",FALSE,strict_design_method
S1981-38212019000100203,"Political Institutions and the Legislative Success of Brazilian Presidents: an Analysis of the Cardoso, Lula and Rousseff Governments",Brazilian Political Science Review,Ciência Política,2019,2019-2025,TRUE,FALSE,observational_regression_with_causal_claim_no_design,a logistic regression model with random effects was used,TRUE,diagnostic_not_design
S1981-38212019000100204,"Capital Mobility, Veto Players, and Redistribution in Latin America During the Left Turn",Brazilian Political Science Review,Ciência Política,2019,2019-2025,TRUE,FALSE,observational_regression_with_causal_claim_no_design,we estimate time-series-cross-section (TSCS) regression models of overall social spending as percentage of the Gross Domestic Product (GDP).,TRUE,diagnostic_not_design
