draw,alpha,beta_area_ri,p_cp,p_ri,delta_cp_minus_ri,odds_ratio_ri_cp
1,-0.63642137,-1.0749955,0.34605594098227505,0.1529800315171029,0.19307590946517214,0.3412992911443482
2,-0.70035463,-1.1900774,0.33173360648572725,0.1311952175022547,0.20053838898347254,0.30419771825210007
3,-0.24456693,-1.915656,0.4391612114161573,0.1033797857131154,0.3357814257030419,0.14724520804030153
4,-0.17667717,-1.9297277,0.45594524470583453,0.10847585856368722,0.3474693861421473,0.14518772771973207
5,-0.27739262,-1.8300114,0.43109312557843454,0.1083792697122925,0.32271385586614204,0.16041173907092374
6,-0.90973294,-1.860808,0.2870544890925435,0.05893700391587722,0.22811748517666627,0.15554689768550423
7,-0.38844686,-1.8725151,0.40409124338351204,0.09440809388773151,0.3096831494957805,0.15373651245705888
8,-0.33197447,-2.2991092,0.4177602818900718,0.06716452306897516,0.3505957588210966,0.10034819409153775
9,-0.21362357,-2.0262423,0.4467962832113264,0.09622720603387169,0.3505690771774547,0.1318299690479357
10,-0.28414773,-2.5103314,0.42943719949018283,0.05762324345370092,0.37181395603648193,0.08124131140859552
11,-0.38578315,-2.1760057,0.4047328323041524,0.07163848107202368,0.3330943512321287,0.11349395538485042
12,-0.083003294,-2.3259864,0.4792610819452508,0.08248975108462817,0.39677133086062266,0.09768703801741054
13,-0.20353079,-2.0197796,0.44929222829905374,0.09767665118292125,0.3516155771161325,0.13268470556680864
14,-0.14396804,-2.1985441,0.46407002800728886,0.08766279060318587,0.376407237404103,0.11096459416927373
15,0.03696457,-2.2026102,0.5092400904015004,0.10287822257237816,0.40636186782912226,0.11051431708911527
16,-0.22271689,-1.3664803,0.44454979541266754,0.16949687665646823,0.2750529187561993,0.2550029156417147
17,-0.29799512,-1.7160272,0.42604766576301345,0.11773851181497531,0.30830915394803815,0.17977895689014112
18,-0.17155597,-1.6090611,0.4572158892680896,0.14422695517053288,0.3129889340975567,0.20007537668736472
19,-0.11924715,-1.6075899,0.4702234890150419,0.15099260300210082,0.3192308860129411,0.20036994421228763
20,-0.23403683,-1.3798769,0.44175639934144323,0.16604595244217335,0.2757104468992699,0.251609524285878
21,-0.28611383,-2.4586062,0.4289555308947657,0.0603855365893116,0.36856999430545406,0.08555411322686698
22,-0.28256344,-2.5981406,0.4298254269573751,0.05311571596019345,0.37670971099718165,0.07441181098084185
23,-0.34310992,-2.4543022,0.41505423866445085,0.05746418036513308,0.3575900582993178,0.08592313168827026
24,-0.29542913,-2.4399822,0.42667524874419743,0.0609158704924287,0.36575937825176874,0.08716240293894541
25,-0.29283892,-2.44187,0.4273089949414112,0.060956064340652365,0.36635293060075885,0.08699801297118875
26,-0.41150766,-2.206113,0.3985506677223937,0.06801295833657658,0.33053770938581717,0.1101278847319602
27,-0.33778942,-2.0010928,0.41634655311240376,0.08795353929757838,0.3283930138148254,0.13518746961916236
28,-0.3394407,-2.1008409,0.41594534411563155,0.08015214797484416,0.3357931961407874,0.12235349792558539
29,-0.42566957,-1.6768646,0.3951608709638771,0.10885075717696849,0.2863101137869086,0.18695925005849098
