metric,journal_title,n_articles,posterior_mean_pp,posterior_median_pp,credible_interval_95_low_pp,credible_interval_95_high_pp,posterior_probability_positive,posterior_probability_negative,posterior_probability_in_rope,posterior_probability_above_positive_rope,posterior_probability_below_negative_rope
Artigos empíricos,Brazilian Political Science Review,261,3.2440724685211206,3.2197014338850938,-1.2119435501843985,7.374486039874639,0.93725,0.06275,0.2345,0.75125,0.01425
Artigos empíricos,Cadernos Gestão Pública e Cidadania,114,3.0861819268586452,2.818821069619315,-0.8382065727259597,8.258850905826653,0.94875,0.05125,0.30975,0.682,0.00825
Artigos empíricos,Contexto Internacional,421,3.7394188416934893,3.866100685186373,-3.1076078711817283,10.083890662974433,0.86875,0.13125,0.238,0.71,0.052
Artigos empíricos,Dados,606,4.1502733738851,4.0536595294369775,1.1028642764028997,7.598535869068722,0.99625,0.00375,0.084,0.916,0
Artigos empíricos,Opinião Pública,443,2.2355167316236852,2.1483906210146575,0.5255270993977432,4.41058140357943,0.99675,0.00325,0.43575,0.56425,0
Artigos empíricos,Revista Brasileira de Ciência Política,383,2.819077870390654,3.0396676453219045,-4.3009346668274056,9.190066871013276,0.80975,0.19025,0.31,0.6135,0.0765
Artigos empíricos,Revista Brasileira de Ciências Sociais,672,5.53416015840117,5.481403149755556,0.8423997459103819,10.596034907267065,0.99,0.01,0.06975,0.92825,0.002
Artigos empíricos,Revista Brasileira de Política Internacional,451,2.4983322666967855,2.5524512308143272,-1.2987176884064948,5.881608898834691,0.92,0.08,0.3515,0.63575,0.01275
Artigos empíricos,Revista de Sociologia e Política,619,0.5536827570600308,0.844435173217299,-6.810707178579804,6.238596073012758,0.59075,0.40925,0.4145,0.3665,0.219
Análise quantitativa,Brazilian Political Science Review,226,-6.23069864611168,-6.019776062225205,-15.897901789127905,2.2832228985034875,0.06425,0.93575,0.11625,0.027,0.85675
Análise quantitativa,Cadernos Gestão Pública e Cidadania,100,-7.375540966634537,-6.691320371990561,-19.50526401684754,0.39807431445223634,0.032,0.968,0.086,0.0125,0.9015
Análise quantitativa,Contexto Internacional,316,-8.674426329175278,-8.245750476192756,-19.165234329278658,-0.7858074231918293,0.01825,0.98175,0.04375,0.00725,0.949
Análise quantitativa,Dados,530,-7.007068746173518,-7.320489968115934,-16.635617513464094,3.758735778535566,0.087,0.913,0.11725,0.04475,0.838
Análise quantitativa,Opinião Pública,421,-1.0983998749156105,-1.1289531077323567,-3.8315478681493715,1.6330440984032215,0.183,0.817,0.75825,0.01675,0.225
Análise quantitativa,Revista Brasileira de Ciência Política,286,-5.739779619695913,-6.166979006829532,-15.467106693220689,7.119874169158729,0.13425,0.86575,0.1245,0.08725,0.78825
Análise quantitativa,Revista Brasileira de Ciências Sociais,520,-8.770709008182207,-8.778897000087259,-18.578128227771117,1.256978230245284,0.039,0.961,0.05725,0.019,0.92375
Análise quantitativa,Revista Brasileira de Política Internacional,397,-10.039079517774667,-9.535558751456001,-20.84247395047344,-1.4182349972794697,0.01175,0.98825,0.02825,0.00525,0.9665
Análise quantitativa,Revista de Sociologia e Política,480,-8.738628830872985,-8.30857657659337,-19.80489170237037,0.031499037221631956,0.02525,0.97475,0.057,0.0085,0.9345
Inferência estatística,Brazilian Political Science Review,169,-13.362327708076938,-14.182323885624648,-26.476564922685206,3.5548528904638723,0.054,0.946,0.0445,0.0345,0.921
Inferência estatística,Cadernos Gestão Pública e Cidadania,71,-7.808920531597576,-7.334464299482622,-16.893396242827244,-1.59242780484609,0.009,0.991,0.031,0.00375,0.96525
Inferência estatística,Contexto Internacional,106,-2.884151725032473,-2.6325307562679363,-7.456717815321569,0.35214125343096264,0.03875,0.96125,0.3355,0.00625,0.65825
Inferência estatística,Dados,334,-14.36630019731118,-14.65201000770738,-24.667726589455345,-2.832495594978258,0.01,0.99,0.015,0.007,0.978
Inferência estatística,Opinião Pública,383,-12.89723802671032,-13.180825737718756,-25.21097032040849,1.40138414271594,0.03875,0.96125,0.0435,0.01975,0.93675
Inferência estatística,Revista Brasileira de Ciência Política,180,-13.234056157793974,-13.14296582503351,-23.373132090871426,-3.458991257353452,0.00725,0.99275,0.00975,0.00425,0.986
Inferência estatística,Revista Brasileira de Ciências Sociais,224,-11.564217626238252,-11.388596187430117,-19.78245055861863,-4.466934302186711,0.003,0.997,0.007,0.001,0.992
Inferência estatística,Revista Brasileira de Política Internacional,148,-3.4904790573142774,-3.2494535706285363,-7.884350098852194,-0.6840170358924079,0.00925,0.99075,0.18975,0.0015,0.80875
Inferência estatística,Revista de Sociologia e Política,323,-17.378527798932772,-16.935750739154944,-28.333510565678676,-8.609727647227318,2.5e-4,0.99975,5e-4,0,0.9995
Linguagem causal ou explicativa,Brazilian Political Science Review,226,0.24823409410767167,0.25818711294531566,-1.6416392959472328,1.8515313309003307,0.674,0.326,0.96725,0.0175,0.01525
Linguagem causal ou explicativa,Cadernos Gestão Pública e Cidadania,100,0.9853707760706762,0.8399865404628781,-5.079618181340574,7.778758539804033,0.65025,0.34975,0.56675,0.309,0.12425
Linguagem causal ou explicativa,Contexto Internacional,316,0.7703661056736442,0.6658500091212813,-0.9703742632605609,3.080742845041176,0.801,0.199,0.8965,0.10075,0.00275
Linguagem causal ou explicativa,Dados,530,0.10425366524930939,0.19784086753062435,-2.385608523008224,1.9909960049597528,0.5845,0.4155,0.9365,0.02475,0.03875
Linguagem causal ou explicativa,Opinião Pública,421,0.024069037511225203,0.12860996725980772,-2.397827033075362,1.8364803697318126,0.5615,0.4385,0.9355,0.01975,0.04475
Linguagem causal ou explicativa,Revista Brasileira de Ciência Política,286,0.13224636009608343,0.2246891942950866,-2.770377992250267,2.3690967463008947,0.591,0.409,0.906,0.04625,0.04775
Linguagem causal ou explicativa,Revista Brasileira de Ciências Sociais,520,0.703381452336934,0.620167630025892,-0.6002373396076283,2.3571038152813784,0.84875,0.15125,0.94625,0.0535,2.5e-4
Linguagem causal ou explicativa,Revista Brasileira de Política Internacional,397,0.5552690781741649,0.47973235576393325,-0.7892941852056676,2.2045703103096517,0.8005,0.1995,0.957,0.042,0.001
Linguagem causal ou explicativa,Revista de Sociologia e Política,480,-0.4614360269298506,-0.22530823537341027,-3.037924486943341,0.9643839902030666,0.376,0.624,0.91925,2.5e-4,0.0805
Examinados para identificação,Brazilian Political Science Review,261,-8.60232173210484,-8.563568992895995,-16.699162600334265,-0.7563497407088936,0.01725,0.98275,0.04225,0.0075,0.95025
Examinados para identificação,Cadernos Gestão Pública e Cidadania,114,-5.304031285502642,-4.824331947614969,-12.573084086853582,-1.0757687459834921,0.0065,0.9935,0.07825,2.5e-4,0.9215
Examinados para identificação,Contexto Internacional,421,-0.8205601779139161,-0.7460569526406446,-2.014649940496142,-0.026429550533563547,0.02075,0.97925,0.973,0,0.027
Examinados para identificação,Dados,606,-7.954656910472215,-7.809913826257578,-14.310797792492586,-2.296183795295797,0.00525,0.99475,0.02075,5e-4,0.97875
Examinados para identificação,Opinião Pública,443,-4.190829669985358,-4.647969478744469,-11.758138507885445,5.248487473602337,0.16275,0.83725,0.188,0.088,0.724
Examinados para identificação,Revista Brasileira de Ciência Política,383,-8.568821252029585,-8.49828052052567,-16.241129114131205,-1.086794330715629,0.01575,0.98425,0.0325,0.0055,0.962
Examinados para identificação,Revista Brasileira de Ciências Sociais,672,-5.1000395850471785,-5.2155932873126165,-9.763308133394542,0.437375730942164,0.03525,0.96475,0.09675,0.00875,0.8945
Examinados para identificação,Revista Brasileira de Política Internacional,451,-5.277355374000287,-5.210734511435451,-10.253993201955328,-0.26253326310739333,0.01975,0.98025,0.074,0.00325,0.92275
Examinados para identificação,Revista de Sociologia e Política,619,-9.910920175580168,-9.69158943052588,-17.785455292830854,-2.910589930797404,0.0045,0.9955,0.01275,0.00125,0.986
Estratégia explícita de identificação,Brazilian Political Science Review,107,-1.6163296303343377,-1.5031785541630707,-7.078875089289852,3.268593737780923,0.18775,0.81225,0.546,0.05225,0.40175
Estratégia explícita de identificação,Cadernos Gestão Pública e Cidadania,21,-1.0938717699763503,-0.8603993394098798,-5.933220946819081,2.8704328040830323,0.1875,0.8125,0.73,0.0345,0.2355
Estratégia explícita de identificação,Contexto Internacional,18,-0.2130679025730566,-0.34438651127737874,-3.6680391817990197,5.1531563389650366,0.28875,0.71125,0.84725,0.0635,0.08925
Estratégia explícita de identificação,Dados,196,-0.5469009422842471,-0.5263215458146993,-2.6159478911012224,1.7243929313250992,0.218,0.782,0.9145,0.019,0.0665
Estratégia explícita de identificação,Opinião Pública,346,-1.034223342440441,-0.8717109163899524,-3.4132356365341057,0.6561231246043748,0.10975,0.89025,0.8505,7.5e-4,0.14875
Estratégia explícita de identificação,Revista Brasileira de Ciência Política,135,-0.6563339144307847,-0.5280388424902611,-2.569868838383619,0.6220364333051737,0.13425,0.86575,0.94175,0.002,0.05625
Estratégia explícita de identificação,Revista Brasileira de Ciências Sociais,172,-0.20952908020886912,-0.2354944116436051,-1.595587108044212,1.5525212987420725,0.283,0.717,0.97425,0.01525,0.0105
Estratégia explícita de identificação,Revista Brasileira de Política Internacional,104,-0.2699379192818146,-0.18420084737783893,-1.437531192042556,0.5507508533621618,0.19625,0.80375,0.991,0.00175,0.00725
Estratégia explícita de identificação,Revista de Sociologia e Política,260,-0.34810486465670387,-0.298880070152932,-1.6698894656625454,0.7931294258753617,0.1935,0.8065,0.986,0.00425,0.00975
