metric,grouping,group,n_articles,observed_rate,posterior_predictive_mean,posterior_predictive_low,posterior_predictive_high,observed_within_interval
Artigos empíricos,Categoria do prenome,Feminino,1323,0.8563869992441421,0.855477450239355,0.8310468631897203,0.8764361300075585,TRUE
Artigos empíricos,Categoria do prenome,Masculino,2647,0.8095957687948621,0.8095290265709608,0.7914620324896109,0.8269928220627125,TRUE
Artigos empíricos,Periódico,Brazilian Political Science Review,261,0.8659003831417624,0.8637547892720306,0.8102490421455939,0.9118773946360154,TRUE
Artigos empíricos,Periódico,Cadernos Gestão Pública e Cidadania,114,0.8771929824561403,0.8826023391812865,0.7982456140350878,0.9473684210526315,TRUE
Artigos empíricos,Periódico,Contexto Internacional,421,0.75059382422802845,0.7545605700712589,0.7078384798099763,0.8064726840855106,TRUE
Artigos empíricos,Periódico,Dados,606,0.8745874587458746,0.872035203520352,0.8366336633663366,0.9026402640264026,TRUE
Artigos empíricos,Periódico,Opinião Pública,443,0.9503386004514672,0.9448156508653123,0.9142212189616253,0.9683972911963883,TRUE
Artigos empíricos,Periódico,Revista Brasileira de Ciência Política,383,0.7467362924281984,0.7501218450826805,0.7049608355091384,0.7989556135770235,TRUE
Artigos empíricos,Periódico,Revista Brasileira de Ciências Sociais,672,0.7738095238095238,0.773640873015873,0.7388020833333333,0.808110119047619,TRUE
Artigos empíricos,Periódico,Revista Brasileira de Política Internacional,451,0.8802660753880266,0.877819660014782,0.8381374722838137,0.9113082039911308,TRUE
Artigos empíricos,Periódico,Revista de Sociologia e Política,619,0.7754442649434572,0.7767474421109316,0.7415185783521809,0.8199919224555734,TRUE
Artigos empíricos,Periódico × categoria × período,Brazilian Political Science Review | Feminino | 2005-2011,17,0.9411764705882353,0.8631372549019608,0.7058823529411765,1,TRUE
Artigos empíricos,Periódico × categoria × período,Brazilian Political Science Review | Feminino | 2012-2018,24,0.7916666666666666,0.8751388888888889,0.75,1,TRUE
Artigos empíricos,Periódico × categoria × período,Brazilian Political Science Review | Feminino | 2019-2025,41,0.9512195121951219,0.9315447154471544,0.8292682926829268,1,TRUE
Artigos empíricos,Periódico × categoria × período,Brazilian Political Science Review | Masculino | 2005-2011,28,0.6071428571428571,0.7021428571428572,0.5357142857142857,0.8571428571428571,TRUE
Artigos empíricos,Periódico × categoria × período,Brazilian Political Science Review | Masculino | 2012-2018,82,0.8780487804878049,0.8462195121951219,0.7439024390243902,0.9146341463414634,TRUE
Artigos empíricos,Periódico × categoria × período,Brazilian Political Science Review | Masculino | 2019-2025,69,0.9130434782608695,0.9060869565217391,0.8260869565217391,0.9710144927536232,TRUE
Artigos empíricos,Periódico × categoria × período,Cadernos Gestão Pública e Cidadania | Feminino | 2019-2025,55,0.9272727272727272,0.9073333333333333,0.8,0.9818181818181818,TRUE
Artigos empíricos,Periódico × categoria × período,Cadernos Gestão Pública e Cidadania | Masculino | 2019-2025,59,0.8305084745762712,0.8595480225988701,0.7457627118644068,0.9491525423728814,TRUE
Artigos empíricos,Periódico × categoria × período,Contexto Internacional | Feminino | 2005-2011,32,0.75,0.6892708333333334,0.5,0.8289062499999993,TRUE
Artigos empíricos,Periódico × categoria × período,Contexto Internacional | Feminino | 2012-2018,62,0.8064516129032258,0.7729569892473118,0.6451612903225806,0.8709677419354839,TRUE
Artigos empíricos,Periódico × categoria × período,Contexto Internacional | Feminino | 2019-2025,80,0.7875,0.8417083333333333,0.75,0.925,TRUE
Artigos empíricos,Periódico × categoria × período,Contexto Internacional | Masculino | 2005-2011,63,0.5873015873015873,0.6080952380952381,0.47619047619047616,0.7142857142857143,TRUE
Artigos empíricos,Periódico × categoria × período,Contexto Internacional | Masculino | 2012-2018,93,0.7741935483870968,0.737741935483871,0.6451612903225806,0.8172043010752689,TRUE
Artigos empíricos,Periódico × categoria × período,Contexto Internacional | Masculino | 2019-2025,91,0.7692307692307693,0.806959706959707,0.7252747252747253,0.8791208791208791,TRUE
Artigos empíricos,Periódico × categoria × período,Dados | Feminino | 2005-2011,51,0.8627450980392157,0.8608496732026144,0.7450980392156863,0.9607843137254902,TRUE
Artigos empíricos,Periódico × categoria × período,Dados | Feminino | 2012-2018,71,0.9014084507042254,0.9125821596244131,0.8376760563380281,0.971830985915493,TRUE
Artigos empíricos,Periódico × categoria × período,Dados | Feminino | 2019-2025,56,1,0.9595238095238096,0.9107142857142857,1,TRUE
Artigos empíricos,Periódico × categoria × período,Dados | Masculino | 2005-2011,124,0.8387096774193549,0.7770430107526882,0.6854838709677419,0.8467741935483871,TRUE
Artigos empíricos,Periódico × categoria × período,Dados | Masculino | 2012-2018,135,0.8592592592592593,0.8615308641975309,0.8,0.9185185185185185,TRUE
Artigos empíricos,Periódico × categoria × período,Dados | Masculino | 2019-2025,169,0.863905325443787,0.9074753451676528,0.863905325443787,0.9526627218934911,TRUE
Artigos empíricos,Periódico × categoria × período,Opinião Pública | Feminino | 2005-2011,40,0.975,0.947,0.85,1,TRUE
Artigos empíricos,Periódico × categoria × período,Opinião Pública | Feminino | 2012-2018,43,0.9767441860465116,0.9644961240310077,0.9069767441860465,1,TRUE
Artigos empíricos,Periódico × categoria × período,Opinião Pública | Feminino | 2019-2025,76,1,0.9840350877192983,0.9473684210526315,1,TRUE
Artigos empíricos,Periódico × categoria × período,Opinião Pública | Masculino | 2005-2011,64,0.90625,0.87890625,0.78125,0.953125,TRUE
Artigos empíricos,Periódico × categoria × período,Opinião Pública | Masculino | 2012-2018,114,0.9035087719298246,0.930233918128655,0.8725877192982456,0.9736842105263158,TRUE
Artigos empíricos,Periódico × categoria × período,Opinião Pública | Masculino | 2019-2025,106,0.9716981132075472,0.9633647798742139,0.9150943396226415,0.9955188679245282,TRUE
Artigos empíricos,Periódico × categoria × período,Revista Brasileira de Ciência Política | Feminino | 2005-2011,8,0.25,0.48500000000000004,0.25,0.75,TRUE
Artigos empíricos,Periódico × categoria × período,Revista Brasileira de Ciência Política | Feminino | 2012-2018,67,0.746268656716418,0.7430845771144279,0.6567164179104478,0.8507462686567164,TRUE
Artigos empíricos,Periódico × categoria × período,Revista Brasileira de Ciência Política | Feminino | 2019-2025,57,0.8596491228070176,0.8366666666666667,0.7276315789473684,0.9298245614035088,TRUE
Artigos empíricos,Periódico × categoria × período,Revista Brasileira de Ciência Política | Masculino | 2005-2011,20,0.45,0.5568333333333333,0.35,0.75,TRUE
Artigos empíricos,Periódico × categoria × período,Revista Brasileira de Ciência Política | Masculino | 2012-2018,122,0.6967213114754098,0.6956830601092896,0.6065573770491803,0.7868852459016393,TRUE
Artigos empíricos,Periódico × categoria × período,Revista Brasileira de Ciência Política | Masculino | 2019-2025,109,0.8348623853211009,0.825045871559633,0.7522935779816514,0.8899082568807339,TRUE
Artigos empíricos,Periódico × categoria × período,Revista Brasileira de Ciências Sociais | Feminino | 2005-2011,65,0.7384615384615385,0.7316410256410256,0.6307692307692307,0.8388461538461536,TRUE
Artigos empíricos,Periódico × categoria × período,Revista Brasileira de Ciências Sociais | Feminino | 2012-2018,68,0.7647058823529411,0.8124509803921569,0.7128676470588236,0.8970588235294118,TRUE
Artigos empíricos,Periódico × categoria × período,Revista Brasileira de Ciências Sociais | Feminino | 2019-2025,80,0.9625,0.9077916666666667,0.825,0.9625,TRUE
Artigos empíricos,Periódico × categoria × período,Revista Brasileira de Ciências Sociais | Masculino | 2005-2011,146,0.6301369863013698,0.6412557077625571,0.547945205479452,0.7227739726027396,TRUE
Artigos empíricos,Periódico × categoria × período,Revista Brasileira de Ciências Sociais | Masculino | 2012-2018,154,0.7272727272727273,0.7501298701298701,0.6818181818181818,0.8246753246753247,TRUE
Artigos empíricos,Periódico × categoria × período,Revista Brasileira de Ciências Sociais | Masculino | 2019-2025,159,0.8742138364779874,0.8510482180293502,0.7924528301886793,0.9089622641509433,TRUE
Artigos empíricos,Periódico × categoria × período,Revista Brasileira de Política Internacional | Feminino | 2005-2011,33,0.9393939393939394,0.8706060606060606,0.7272727272727273,0.9696969696969697,TRUE
Artigos empíricos,Periódico × categoria × período,Revista Brasileira de Política Internacional | Feminino | 2012-2018,54,0.8518518518518519,0.8984567901234568,0.8148148148148148,0.9629629629629629,TRUE
Artigos empíricos,Periódico × categoria × período,Revista Brasileira de Política Internacional | Feminino | 2019-2025,63,0.9365079365079365,0.9504761904761905,0.8964285714285715,1,TRUE
Artigos empíricos,Periódico × categoria × período,Revista Brasileira de Política Internacional | Masculino | 2005-2011,115,0.7739130434782608,0.7864347826086957,0.6956521739130435,0.8608695652173913,TRUE
Artigos empíricos,Periódico × categoria × período,Revista Brasileira de Política Internacional | Masculino | 2012-2018,101,0.8910891089108911,0.8834323432343234,0.8165841584158415,0.9405940594059405,TRUE
Artigos empíricos,Periódico × categoria × período,Revista Brasileira de Política Internacional | Masculino | 2019-2025,85,0.9647058823529412,0.9306274509803921,0.8705882352941177,0.9764705882352941,TRUE
Artigos empíricos,Periódico × categoria × período,Revista de Sociologia e Política | Feminino | 2005-2011,75,0.64,0.6934222222222223,0.5733333333333334,0.8,TRUE
Artigos empíricos,Periódico × categoria × período,Revista de Sociologia e Política | Feminino | 2012-2018,61,0.8360655737704918,0.8197814207650274,0.7127049180327869,0.9102459016393438,TRUE
Artigos empíricos,Periódico × categoria × período,Revista de Sociologia e Política | Feminino | 2019-2025,44,0.8409090909090909,0.8684848484848485,0.75,0.9664772727272722,TRUE
Artigos empíricos,Periódico × categoria × período,Revista de Sociologia e Política | Masculino | 2005-2011,170,0.6529411764705882,0.6774705882352942,0.611764705882353,0.7588235294117647,TRUE
Artigos empíricos,Periódico × categoria × período,Revista de Sociologia e Política | Masculino | 2012-2018,154,0.8376623376623377,0.8003896103896104,0.7272727272727273,0.8636363636363636,TRUE
Artigos empíricos,Periódico × categoria × período,Revista de Sociologia e Política | Masculino | 2019-2025,115,0.9043478260869565,0.8882608695652174,0.8173913043478261,0.9478260869565217,TRUE
Artigos empíricos,Período,2005-2011,1051,0.7316841103710752,0.73418648905804,0.7012369172216937,0.7659372026641293,TRUE
Artigos empíricos,Período,2012-2018,1405,0.8206405693950178,0.8199169632265718,0.7943060498220641,0.8409430604982207,TRUE
Artigos empíricos,Período,2019-2025,1514,0.8943196829590488,0.8923425803610744,0.873497357992074,0.9128137384412153,TRUE
Análise quantitativa,Categoria do prenome,Feminino,1133,0.5569285083848191,0.5580288320094146,0.5285966460723742,0.5851721094439541,TRUE
Análise quantitativa,Categoria do prenome,Masculino,2143,0.6122258516098926,0.61259449370042,0.5923821745216985,0.6323145123658422,TRUE
Análise quantitativa,Periódico,Brazilian Political Science Review,226,0.7477876106194691,0.7439823008849558,0.6814159292035398,0.798783185840708,TRUE
Análise quantitativa,Periódico,Cadernos Gestão Pública e Cidadania,100,0.71,0.7035,0.61475,0.79,TRUE
Análise quantitativa,Periódico,Contexto Internacional,316,0.33544303797468356,0.33972573839662445,0.29264240506329114,0.38924050632911394,TRUE
Análise quantitativa,Periódico,Dados,530,0.630188679245283,0.6326603773584906,0.5895754716981132,0.6754716981132075,TRUE
Análise quantitativa,Periódico,Opinião Pública,421,0.9144893111638955,0.9109817893903405,0.8788598574821853,0.9358669833729216,TRUE
Análise quantitativa,Periódico,Revista Brasileira de Ciência Política,286,0.6328671328671329,0.6335431235431236,0.5785839160839161,0.6923076923076923,TRUE
Análise quantitativa,Periódico,Revista Brasileira de Ciências Sociais,520,0.4307692307692308,0.4322948717948718,0.3923076923076923,0.47216346153846145,TRUE
Análise quantitativa,Periódico,Revista Brasileira de Política Internacional,397,0.37279596977329976,0.3758858102434929,0.3224181360201511,0.4282115869017632,TRUE
Análise quantitativa,Periódico,Revista de Sociologia e Política,480,0.6770833333333334,0.6773888888888889,0.6375,0.7208333333333333,TRUE
Análise quantitativa,Periódico × categoria × período,Brazilian Political Science Review | Feminino | 2005-2011,16,0.75,0.7125,0.5,0.875,TRUE
Análise quantitativa,Periódico × categoria × período,Brazilian Political Science Review | Feminino | 2012-2018,19,0.631578947368421,0.6408771929824562,0.42105263157894735,0.8421052631578947,TRUE
Análise quantitativa,Periódico × categoria × período,Brazilian Political Science Review | Feminino | 2019-2025,39,0.717948717948718,0.7312820512820513,0.6153846153846154,0.8461538461538461,TRUE
Análise quantitativa,Periódico × categoria × período,Brazilian Political Science Review | Masculino | 2005-2011,17,0.8235294117647058,0.7866666666666666,0.5882352941176471,0.9411764705882353,TRUE
Análise quantitativa,Periódico × categoria × período,Brazilian Political Science Review | Masculino | 2012-2018,72,0.7777777777777778,0.7546759259259259,0.6527777777777778,0.8611111111111112,TRUE
Análise quantitativa,Periódico × categoria × período,Brazilian Political Science Review | Masculino | 2019-2025,63,0.746031746031746,0.7671957671957672,0.6666666666666666,0.8571428571428571,TRUE
Análise quantitativa,Periódico × categoria × período,Cadernos Gestão Pública e Cidadania | Feminino | 2019-2025,51,0.6078431372549019,0.6365359477124183,0.5098039215686274,0.7647058823529411,TRUE
Análise quantitativa,Periódico × categoria × período,Cadernos Gestão Pública e Cidadania | Masculino | 2019-2025,49,0.8163265306122449,0.7731972789115646,0.6326530612244898,0.8979591836734694,TRUE
Análise quantitativa,Periódico × categoria × período,Contexto Internacional | Feminino | 2005-2011,24,0.25,0.24069444444444443,0.08333333333333333,0.4166666666666667,TRUE
Análise quantitativa,Periódico × categoria × período,Contexto Internacional | Feminino | 2012-2018,50,0.26,0.28626666666666667,0.16950000000000004,0.41049999999999953,TRUE
Análise quantitativa,Periódico × categoria × período,Contexto Internacional | Feminino | 2019-2025,63,0.3333333333333333,0.33878306878306874,0.23809523809523808,0.4444444444444444,TRUE
Análise quantitativa,Periódico × categoria × período,Contexto Internacional | Masculino | 2005-2011,37,0.35135135135135137,0.3036936936936937,0.1891891891891892,0.41959459459459403,TRUE
Análise quantitativa,Periódico × categoria × período,Contexto Internacional | Masculino | 2012-2018,72,0.4305555555555556,0.3702314814814815,0.2777777777777778,0.4722222222222222,TRUE
Análise quantitativa,Periódico × categoria × período,Contexto Internacional | Masculino | 2019-2025,70,0.3142857142857143,0.4003809523809524,0.3142857142857143,0.5,TRUE
Análise quantitativa,Periódico × categoria × período,Dados | Feminino | 2005-2011,44,0.6590909090909091,0.5978787878787879,0.45454545454545453,0.7272727272727273,TRUE
Análise quantitativa,Periódico × categoria × período,Dados | Feminino | 2012-2018,64,0.609375,0.5872395833333334,0.476171875,0.6875,TRUE
Análise quantitativa,Periódico × categoria × período,Dados | Feminino | 2019-2025,56,0.5714285714285714,0.6225,0.5,0.7321428571428571,TRUE
Análise quantitativa,Periódico × categoria × período,Dados | Masculino | 2005-2011,104,0.5865384615384616,0.5947115384615385,0.5,0.6877403846153844,TRUE
Análise quantitativa,Periódico × categoria × período,Dados | Masculino | 2012-2018,116,0.5775862068965517,0.6243390804597702,0.5344827586206896,0.7155172413793104,TRUE
Análise quantitativa,Periódico × categoria × período,Dados | Masculino | 2019-2025,146,0.726027397260274,0.7005936073059361,0.6301369863013698,0.7671232876712328,TRUE
Análise quantitativa,Periódico × categoria × período,Opinião Pública | Feminino | 2005-2011,39,0.9487179487179487,0.8901709401709402,0.7948717948717948,0.9743589743589743,TRUE
Análise quantitativa,Periódico × categoria × período,Opinião Pública | Feminino | 2012-2018,42,0.9285714285714286,0.8925396825396825,0.7857142857142857,0.9761904761904762,TRUE
Análise quantitativa,Periódico × categoria × período,Opinião Pública | Feminino | 2019-2025,76,0.8552631578947368,0.8852631578947369,0.8026315789473685,0.9473684210526315,TRUE
