metric,rope_pp,posterior_probability_in_rope,posterior_probability_above_positive_rope,posterior_probability_below_negative_rope
Artigos empíricos,1,0.032,0.9675,5e-4
Artigos empíricos,2,0.1555,0.8445,0
Artigos empíricos,3,0.44225,0.55775,0
Artigos empíricos,5,0.93825,0.06175,0
Análise quantitativa,1,0.011875,0.002,0.986125
Análise quantitativa,2,0.031,7.5e-4,0.96825
Análise quantitativa,3,0.067,1.25e-4,0.932875
Análise quantitativa,5,0.224375,0,0.775625
Inferência estatística,1,0,0,1
Inferência estatística,2,2.5e-4,0,0.99975
Inferência estatística,3,0.00175,0,0.99825
Inferência estatística,5,0.0065,0,0.9935
Linguagem causal ou explicativa,1,0.912125,0.07825,0.009625
Linguagem causal ou explicativa,2,0.999625,3.75e-4,0
Linguagem causal ou explicativa,3,1,0,0
Linguagem causal ou explicativa,5,1,0,0
Examinados para identificação,1,0.00275,2.5e-4,0.997
Examinados para identificação,2,0.0125,0,0.9875
Examinados para identificação,3,0.0445,0,0.9555
Examinados para identificação,5,0.24975,0,0.75025
Estratégia explícita de identificação,1,0.723625,0.00375,0.272625
Estratégia explícita de identificação,2,0.967625,0,0.032375
Estratégia explícita de identificação,3,0.998375,0,0.001625
Estratégia explícita de identificação,5,1,0,0
