denominator,n,denominator_reference,denominator_n,percent
Corpus completo elegível,5249,manifest elegível reconciliado,5249,100
Artigos classificados por leitura integral,1798,manifest elegível reconciliado,5249,34.3
Artigos ainda não classificados,3451,manifest elegível reconciliado,5249,65.7
Periódicos com classificação completa,4,periódicos do manifest,11,36.4
Artigos dos periódicos completos,1466,artigos classificados,1798,81.5
Artigos empíricos classificados,1446,artigos classificados,1798,80.4
Artigos empíricos quantitativos classificados,833,artigos empíricos classificados,1446,57.6
Artigos com afirmação causal ou explicativa classificados,1535,artigos classificados,1798,85.4
Artigos em que a identificação é especialmente relevante,463,artigos classificados,1798,25.8
Artigos com estratégia explícita de identificação causal,27,casos relevantes para identificação,463,5.8
