metric,n,denominator_n,percent
Inferência estatística na cobertura classificada,743,1994,37.3
Inferência estatística nos periódicos completos,743,1994,37.3
Artigos classificados como descritivos e sem inferência nos periódicos completos,1104,1994,55.4
Conflitos entre categoria descritiva e inferência positiva nos periódicos completos,8,1994,0.4
Inferência entre testes bivariados ou modelagem com rótulo observado nos periódicos completos,734,879,83.5
Testes bivariados ou modelagem sem rótulo de inferência nos periódicos completos,5,884,0.6
Inferência no suporte temporal comum: 2005-2011,141,410,34.4
Inferência no suporte temporal comum: 2012-2018,261,685,38.1
Inferência no suporte temporal comum: 2019-2025,327,824,39.7
"Desenho causal: média ponderada de APSR, AJPS e Journal of Politics",,2976,48.4
Estratégia causal explícita entre todos os artigos dos periódicos completos,59,4144,1.4
Estratégia causal explícita entre os artigos examinados dos periódicos completos,59,1395,4.2
