method_type,journal_title,period_3,article_method_n,method_label
synthetic_control,Brazilian Political Science Review,2019-2025,1,Controle sintético
difference_in_differences,Brazilian Political Science Review,2012-2018,2,Diferenças-em-diferenças
difference_in_differences,Brazilian Political Science Review,2019-2025,1,Diferenças-em-diferenças
difference_in_differences,Cadernos Gestão Pública e Cidadania,2019-2025,1,Diferenças-em-diferenças
difference_in_differences,Dados,2012-2018,1,Diferenças-em-diferenças
difference_in_differences,Dados,2019-2025,2,Diferenças-em-diferenças
difference_in_differences,Opinião Pública,2012-2018,1,Diferenças-em-diferenças
difference_in_differences,Opinião Pública,2019-2025,1,Diferenças-em-diferenças
difference_in_differences,Revista Brasileira de Ciência Política,2019-2025,2,Diferenças-em-diferenças
doubly_robust,Opinião Pública,2019-2025,2,Estimador duplamente robusto
event_study,Cadernos Gestão Pública e Cidadania,2019-2025,1,Estudo de evento
experiment_field,Brazilian Political Science Review,2012-2018,1,Experimento de campo
experiment_field,Opinião Pública,2012-2018,1,Experimento de campo
experiment_lab,Opinião Pública,2019-2025,1,Experimento de laboratório
experiment_list,Brazilian Political Science Review,2012-2018,1,Experimento de lista
experiment_list,Opinião Pública,2012-2018,1,Experimento de lista
experiment_list,Opinião Pública,2019-2025,1,Experimento de lista
experiment_survey,Brazilian Political Science Review,2012-2018,1,Experimento em survey
experiment_survey,Brazilian Political Science Review,2019-2025,2,Experimento em survey
experiment_survey,Contexto Internacional,2012-2018,1,Experimento em survey
experiment_survey,Opinião Pública,2005-2011,1,Experimento em survey
experiment_survey,Opinião Pública,2012-2018,1,Experimento em survey
experiment_survey,Opinião Pública,2019-2025,3,Experimento em survey
experiment_survey,Revista Brasileira de Ciência Política,2019-2025,1,Experimento em survey
dag_or_formal_causal_graph,Brazilian Political Science Review,2019-2025,1,Grafo causal formal (DAG)
dag_or_formal_causal_graph,Opinião Pública,2019-2025,1,Grafo causal formal (DAG)
matching_or_weighting,Brazilian Political Science Review,2012-2018,1,Pareamento/ponderação
matching_or_weighting,Brazilian Political Science Review,2019-2025,1,Pareamento/ponderação
matching_or_weighting,Cadernos Gestão Pública e Cidadania,2019-2025,1,Pareamento/ponderação
matching_or_weighting,Dados,2012-2018,1,Pareamento/ponderação
matching_or_weighting,Dados,2019-2025,2,Pareamento/ponderação
matching_or_weighting,Opinião Pública,2005-2011,1,Pareamento/ponderação
matching_or_weighting,Opinião Pública,2019-2025,6,Pareamento/ponderação
matching_or_weighting,Revista Brasileira de Ciência Política,2019-2025,2,Pareamento/ponderação
regression_discontinuity,Brazilian Political Science Review,2012-2018,1,Regressão descontínua
regression_discontinuity,Brazilian Political Science Review,2019-2025,1,Regressão descontínua
regression_discontinuity,Dados,2012-2018,1,Regressão descontínua
regression_discontinuity,Dados,2019-2025,1,Regressão descontínua
regression_discontinuity,Opinião Pública,2012-2018,1,Regressão descontínua
regression_discontinuity,Revista Brasileira de Ciência Política,2019-2025,1,Regressão descontínua
instrumental_variables,Brazilian Political Science Review,2019-2025,1,Variáveis instrumentais
instrumental_variables,Dados,2012-2018,1,Variáveis instrumentais
instrumental_variables,Dados,2019-2025,1,Variáveis instrumentais
instrumental_variables,Opinião Pública,2012-2018,1,Variáveis instrumentais
instrumental_variables,Revista Brasileira de Ciência Política,2019-2025,1,Variáveis instrumentais
