journal_area,journal_title,coverage_percent,manifest_n_2005-2011,manifest_n_2012-2018,manifest_n_2019-2025,classified_n_2005-2011,classified_n_2012-2018,classified_n_2019-2025,manifest_total,classified_total
Ciência Política,Brazilian Political Science Review,100,46,108,114,46,108,114,268,268
Ciência Política,Opinião Pública,0,117,163,184,0,0,0,464,0
Ciência Política,Revista Brasileira de Ciência Política,0,29,194,168,0,0,0,391,0
Ciência Política,Revista de Sociologia e Política,0,254,224,160,0,0,0,638,0
Ciência Política e Ciências Sociais,Dados,0,181,212,229,0,0,0,622,0
Ciência Política e Ciências Sociais,Lua Nova: Revista de Cultura e Política,0,141,188,182,0,0,0,511,0
Ciência Política e Ciências Sociais,Revista Brasileira de Ciências Sociais,0,222,237,249,0,0,0,708,0
Relações Internacionais,Contexto Internacional,100,102,170,0,102,170,0,272,272
Relações Internacionais,Contexto Internacional,21.2,0,0,184,0,0,39,184,39
Relações Internacionais,Revista Brasileira de Política Internacional,0,155,168,167,0,0,0,490,0
Área a revisar,Cadernos Gestão Pública e Cidadania,100,0,0,120,0,0,120,120,120
Área a revisar,Novos estudos CEBRAP,0,236,180,166,0,0,0,582,0
