journal_title,period_3,classified_n,tough_call_n,tough_call_percent
Brazilian Political Science Review,2005-2011,46,26,56.5
Brazilian Political Science Review,2012-2018,108,62,57.4
Brazilian Political Science Review,2019-2025,114,70,61.4
Cadernos Gestão Pública e Cidadania,2019-2025,120,88,73.3
Contexto Internacional,2005-2011,102,52,51
Contexto Internacional,2012-2018,170,92,54.1
Contexto Internacional,2019-2025,184,108,58.7
Dados,2005-2011,181,108,59.7
Dados,2012-2018,212,129,60.8
Dados,2019-2025,229,130,56.8
Lua Nova: Revista de Cultura e Política,2005-2011,100,80,80
Novos estudos CEBRAP,2005-2011,132,40,30.3
Opinião Pública,2005-2011,117,107,91.5
Opinião Pública,2012-2018,163,137,84
Opinião Pública,2019-2025,184,162,88
Revista Brasileira de Ciência Política,2005-2011,29,24,82.8
Revista Brasileira de Ciência Política,2012-2018,194,162,83.5
Revista Brasileira de Ciência Política,2019-2025,168,141,83.9
Revista Brasileira de Ciências Sociais,2005-2011,222,177,79.7
Revista Brasileira de Ciências Sociais,2012-2018,78,60,76.9
Revista Brasileira de Política Internacional,2005-2011,155,124,80
Revista Brasileira de Política Internacional,2012-2018,148,116,78.4
Revista Brasileira de Política Internacional,2019-2025,3,2,66.7
Revista de Sociologia e Política,2005-2011,254,208,81.9
Revista de Sociologia e Política,2012-2018,149,124,83.2
Revista de Sociologia e Política,2019-2025,3,3,100
