pid,year,journal_title,titulo,razao_do_screen,motivo
S1981-38212007000100053,2007,Brazilian Political Science Review,Tradition and Diversification in the Uses and Definitions of the ...,Não empírico,The body text references Table 1 and Table 2 and mentions an analysis of authors involved in curr...
S1981-38212007000100102,2007,Brazilian Political Science Review,Career Choice and Legislative Reelection: Evidence from Brazil an...,Modelagem estatística,"The article has strong explanatory language and statistical modeling, but it relies on observatio..."
S1981-38212007000200074,2007,Brazilian Political Science Review,Women and Candidate Quality in the Elections for the Senate: Braz...,Modelagem estatística,"The article uses explanatory language and statistical models, but it does not present a design-ba..."
S1981-38212007000200108,2007,Brazilian Political Science Review,Rethinking State Politics: The Withering of State Dominant Machin...,Modelagem estatística,The paper combines typological qualitative comparison with quantitative factor analysis and corre...
S1981-38212008000100010,2008,Brazilian Political Science Review,Personal Networks and Urban Poverty: Preliminary Findings,Modelagem estatística,The quantitative classification is clear because the article uses K-means clustering analytically...
S1981-38212008000100057,2008,Brazilian Political Science Review,Brazilian Democracy and the Power of &#8220;Old&#8221; Theories o...,Bivariado/correlação,The article is written as an essay using established theories rather than as a conventional metho...
S1981-38212008000100096,2008,Brazilian Political Science Review,Re-evaluating the Contribution and Legacy of Hedley Bull,Não empírico,"The article performs sustained textual interpretation of theoretical works, which could superfici..."
S1981-38212008000200010,2008,Brazilian Political Science Review,The Role of the Brazilian Congress in Foreign Policy: An Empirica...,Quantitativo descritivo,"The article makes explanatory institutional claims and uses descriptive quantitative indicators, ..."
S1981-38212008000200039,2008,Brazilian Political Science Review,"Development, Good Governance, and Local Democracy",Não empírico,"The paper closely interprets policy documents and development discourse, which could resemble qua..."
S1981-38212008000200074,2008,Brazilian Political Science Review,Policy Positions in the Chilean Senate: An Analysis of Coauthorsh...,Modelagem estatística,"The article contains explanatory language and uses statistical modeling, but the models are spati..."
S1981-38212008000200093,2008,Brazilian Political Science Review,"Justice, Professionalism, and Politics in the Exercise of Judicia...",Modelagem estatística,The article uses logistic regression and explanatory language about factors influencing decisions...
S1981-38212009000100093,2009,Brazilian Political Science Review,How Safe are &#8220;Safe&#8221; Seats? A Comparison of Voluntary ...,Não empírico,"The article uses probability analysis, equations, standard deviations, and hypothetical numerical..."
S1981-38212009000200011,2009,Brazilian Political Science Review,Politics and Development: Lessons from Latin America,Somente qualitativo,"The article includes several descriptive numbers and cited survey percentages, especially from th..."
S1981-38212009000200030,2009,Brazilian Political Science Review,"Strong Presidents, Robust Democracies? Separation of Powers and R...",Quantitativo descritivo,The article describes itself as conceptual and exploratory and relies heavily on literature synth...
S1981-38212009000200060,2009,Brazilian Political Science Review,At What Point does a Legislature Become Institutionalized? the Me...,Quantitativo descritivo,"The article is primarily qualitative, but it also presents original descriptive counts and averag..."
S1981-38212009000200127,2009,Brazilian Political Science Review,"Political Parties, Foreign Policy and Ideology: Argentina and Chi...",Modelagem estatística,The article uses statistical modeling through NOMINATE and makes explanatory claims about party i...
S1981-38212010000100010,2010,Brazilian Political Science Review,Electoral Success and Political Institutionalization in the Feder...,Modelagem estatística,The article repeatedly uses language of variables affecting or increasing chances of electoral su...
S1981-38212010000100033,2010,Brazilian Political Science Review,Judicialization of Health Policy in the Definition of Access to P...,Alegação causal + análise quantitativa,"The article's quantitative analysis is purely descriptive, but it uses those descriptive findings..."
S1981-38212010000200010,2010,Brazilian Political Science Review,"Federalism, Bicameralism, and Institutional Change: General Trend...",Quantitativo descritivo,The article combines descriptive quantitative analysis with a qualitative case-study explanation....
S1981-38212010000200078,2010,Brazilian Political Science Review,The Decreasing Political Rewards of Education in Brazil,Modelagem estatística,"The article foregrounds descriptive time-series graphs in this article, but it also explicitly re..."
S1981-38212011000100011,2011,Brazilian Political Science Review,How Innovative Was the Poupatempo Experience in Brazil? Instituti...,Somente qualitativo,"The article reports many administrative figures, budgets, costs, survey percentages, and satisfac..."
