audit_id,audit_sample_group,sample_component,selection_reason,pid,title,title_missing_flag,title_en,authors,year,journal_title,doi,doi_url,source_url,paper_url,source_method,retrieved_at,body_word_count,reference_tail_ratio,reading_log_relative_path,classification_json_relative_path,codex_is_empirical_paper,codex_empirical_evidence_type,codex_is_empirical_quant_paper_torreblanca,codex_is_empirical_qual_paper,codex_quantitative_analysis_type,codex_quantitative_analysis_evidence_quote,codex_has_statistical_inference,codex_statistical_inference_quote,codex_qualitative_analysis_goal,codex_qualitative_goal_clarity,codex_qualitative_goal_quote,codex_causal_or_explanatory_claim_present,codex_causal_or_explanatory_claim_quote,codex_screen_applicable,codex_screen_reason,codex_method_present,codex_method_type,codex_causal_design_quote,codex_main_variables_or_relationship,codex_sample_or_data_source,codex_tough_call,codex_tough_call_reason,codex_brief_justification,manual_is_empirical_paper,manual_empirical_evidence_type,manual_is_empirical_quant_paper_torreblanca,manual_is_empirical_qual_paper,manual_quantitative_analysis_type,manual_has_statistical_inference,manual_qualitative_analysis_goal,manual_qualitative_goal_clarity,manual_causal_or_explanatory_claim_present,manual_screen_applicable,manual_screen_reason,manual_method_present,manual_method_type,manual_main_variables_or_relationship,manual_sample_or_data_source,manual_tough_call,manual_decision,manual_notes,reviewer,audit_date
A001,1_screen_or_method_core,all_screen_or_method_cases,screen_applicable,S1981-38212007000100070,Relevant Factors for the Voting Decision in the 2002 Presidential Election: An Analysis of the ESEB (Brazilian Electoral Study) Data,FALSE,Relevant Factors for the Voting Decision in the 2002 Presidential Election: An Analysis of the ESEB (Brazilian Electoral Study) Data,Yan de Souza Carreirão,2007,Brazilian Political Science Review,10.1590/1981-3824200700010004,https://doi.org/10.1590/1981-3824200700010004,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-38212007000100070&tlng=en,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-38212007000100070&tlng=en,articlemeta_fulltexts_html,2026-06-03 23:06:11,9344,0,data/processed/credibility_prompt_v3_integral_reading/pilot_175/reading_logs/S1981-38212007000100070.json,data/processed/credibility_prompt_v3_integral_reading/pilot_175/classifications/S1981-38212007000100070.json,TRUE,quantitative_only,TRUE,FALSE,statistical_modeling,Logistic regression analysis was adopted for the voting intention study for each of the four main candidates.,TRUE,"the remaining variables are statistically significant (some at the level of 0.01 and others, 0.05)",,,,TRUE,"In this section, the hypotheses that guided the research and the type of statistical analysis and variables used to formulate the outline of a voting decision model for the 2002 presidential election will be discussed.",TRUE,statistical_modeling_screen,FALSE,"[""observational_regression_with_causal_claim_no_design""]",Logistic regression analysis was adopted for the voting intention study for each of the four main candidates.,"The article analyzes how vote choice for Lula, Serra, Garotinho, and Ciro Gomes is associated with voter religion, income, left-right positioning, party sentiments, political opinion indices, issue priorities, evaluation of the FHC government, and evaluations of candidate attributes such as reliability, honesty, competence, experience, defense of the poor, and defense of job creation.","ESEB (Brazilian Electoral Study), a national probabilistic three-stage survey of 2,513 voters conducted throughout Brazil between October 31 and December 28, 2002, with reported sampling error of 2%.",TRUE,"The main decision requiring judgment is whether the contextual campaign narrative counts as qualitative evidence. Because the article does not present systematic interviews, documents, archival analysis, discourse analysis, or qualitative coding, I classify the empirical evidence as quantitative_only rather than mixed_empirical.","The article is an empirical quantitative study of the 2002 Brazilian presidential election using ESEB survey data. Its core evidence consists of logistic regression models and related descriptive statistics, with reported significance levels and model diagnostics. It makes explanatory claims about factors associated with voting decisions, but it relies on observational regression and does not use a credibility-revolution causal identification design.",,,,,,,,,,,,,,,,,,,,
A002,1_screen_or_method_core,all_screen_or_method_cases,screen_applicable,S1981-38212009000100011,Social Scientists and Public Administration in the Lula da Silva Government,FALSE,Social Scientists and Public Administration in the Lula da Silva Government,Maria Celina D&#8217;Araujo; Camila Lameirão,2009,Brazilian Political Science Review,10.1590/1981-3850200900010001,https://doi.org/10.1590/1981-3850200900010001,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-38212009000100011&tlng=en,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-38212009000100011&tlng=en,articlemeta_fulltexts_html,2026-06-03 23:06:11,8413,0,data/processed/credibility_prompt_v3_integral_reading/pilot_175/reading_logs/S1981-38212009000100011.json,data/processed/credibility_prompt_v3_integral_reading/pilot_175/classifications/S1981-38212009000100011.json,TRUE,quantitative_only,TRUE,FALSE,descriptive_statistics_only,"Based on a sample of 505 people holding DAS 5 and 6 posts and Special Nature (NES) posts in 2006 and 2007... we have gathered information on their education, professional training, socio-political links and public service experience",FALSE,,,,,TRUE,"Our hypothesis is that the presence of social scientists in the government cannot be explained by the specificity of the knowledge they possess. Rather, it can be explained by variables such as the link to the public service and the Workers' Party (PT), and the interface with trade unions and civil society.",TRUE,causal_claim_with_quantitative_analysis_screen,FALSE,"[""none_detected""]",,"The article analyzes whether the presence and profile of social scientists in high-level Lula government confidence posts are associated with education, public-service experience, PT affiliation, party activism, and links to unions and civil society organizations.","Questionnaire data on 505 holders of DAS 5, DAS 6, and NES posts in 2006 and 2007, with a focused subgroup of 58 office-holders connected to Social Sciences or International Relations.",TRUE,"The main ambiguity is whether the article's explanatory hypothesis should trigger the credibility-revolution screen even though the quantitative analysis is purely descriptive. Because the hypothesis is explicitly tied to the authors' descriptive quantitative evidence, I screened it, but found no credibility-revolution method.","The article is empirical because it analyzes original questionnaire data on high-level federal appointees. It is quantitative in the Torreblanca sense because it presents original counts, percentages, tables, and charts. The analysis remains descriptive, with no statistical tests, models, or uncertainty estimates. It contains explanatory claims about recruitment into government, but no causal identification strategy or credibility-revolution method.",,,,,,,,,,,,,,,,,,,,
A003,1_screen_or_method_core,all_screen_or_method_cases,screen_applicable,S1981-38212013000200003,"Perceptions on justice, the judiciary and democracy",FALSE,"Perceptions on justice, the judiciary and democracy",Fernando Filgueiras,2013,Brazilian Political Science Review,,,https://www.scielo.br/j/bpsr/a/sZZXKhgSC4RvRwx8jdSSzsx/?lang=en&format=pdf,https://www.scielo.br/j/bpsr/a/sZZXKhgSC4RvRwx8jdSSzsx/?lang=en&format=pdf,pdf_text_extraction,2026-06-03 23:06:12,9422,0,data/processed/credibility_prompt_v3_integral_reading/pilot_175/reading_logs/S1981-38212013000200003.json,data/processed/credibility_prompt_v3_integral_reading/pilot_175/classifications/S1981-38212013000200003.json,TRUE,quantitative_only,TRUE,FALSE,statistical_modeling,"""Based on this factor model, we built a logistic regression model in order to understand how each one of these factors impact dissatisfaction with democracy.""",TRUE,"""Table 8. Logistic regression model Dependent variable: Dissatisfaction with democracy"" reports B, S.E., Wald, Df, Sig., and Exp(B).",,,,TRUE,"""The objective was to assess the impact of the Judiciary’s agency in the satisfaction with democracy.""",TRUE,statistical_modeling_screen,FALSE,"[""none_detected""]",,"The article analyzes how trust in institutions, perceived capacity of state institutions to promote justice, relative deprivation, and perceived procedural inequality by the Judiciary relate to dissatisfaction with democracy in Brazil.","A public opinion survey by the Centro de Referência do Interesse Público in 2012, with 1201 household interviews in the metropolitan regions of Belo Horizonte, Goiânia, Porto Alegre, and Recife, weighted by demographic and socioeconomic quotas from the 2010 Census.",FALSE,,"The article is an empirical quantitative study because it analyzes original survey data with descriptive tables, factor analysis, and logistic regression. It reports statistical inference and makes explanatory claims about dissatisfaction with democracy, but it does not use a credibility-revolution causal identification design. The theoretical and contextual sections do not amount to original qualitative empirical analysis.",,,,,,,,,,,,,,,,,,,,
A004,1_screen_or_method_core,all_screen_or_method_cases,screen_applicable,S1981-38212013000100002,When is statistical significance not significant?,FALSE,When is statistical significance not significant?,Dalson Britto Figueiredo Filho; Ranulfo Paranhos; Enivaldo C. da Rocha; Mariana Batista; José Alexandre da Silva Jr.; Manoel L. Wanderley D. Santos; Jacira Guiro Marino,2013,Brazilian Political Science Review,,,https://www.scielo.br/j/bpsr/a/DhwrWkLLkhHVbdgTZGtMqyD/?lang=en&format=pdf,https://www.scielo.br/j/bpsr/a/DhwrWkLLkhHVbdgTZGtMqyD/?lang=en&format=pdf,pdf_text_extraction,2026-06-03 23:06:11,5395,0,data/processed/credibility_prompt_v3_integral_reading/pilot_175/reading_logs/S1981-38212013000100002.json,data/processed/credibility_prompt_v3_integral_reading/pilot_175/classifications/S1981-38212013000100002.json,TRUE,quantitative_only,TRUE,FALSE,bivariate_tests_or_correlations_only,"The results suggest a strong negative (-0.799) correlation between average schooling years and corruption. The relationship is statistically significant (p value<0,000) with a sample of 113 country-cases.",TRUE,"When dealing with a random sample of the same size (n=14), we observe a negative (-0.760) and statistically significant (p value = 0.002) correlation between the variables.",,,,FALSE,,TRUE,bivariate_or_correlation_screen,FALSE,"[""none_detected""]",,"The article examines how p-values behave in examples involving relationships such as schooling and corruption, HDI and corruption, area and schooling years, generated correlations, and group mean differences in power simulations.","Quality of Government Institute observational country-level data, replicated Anscombe data, simulated/generated variables, and power simulations using Stata's `fpower`.",TRUE,"The article is primarily methodological and pedagogical, so its empirical analyses are illustrative rather than a substantive political science test. However, because it presents its own/reanalyzed quantitative correlations, simulations, p-values, and figures, it still qualifies as an empirical quantitative article under the broad Torreblanca-style rule.","The paper contains original or reanalyzed quantitative demonstrations with correlations, p-values, power simulations, and graphical analyses. It has statistical inference but no qualitative evidence and no credibility-revolution causal method.",,,,,,,,,,,,,,,,,,,,
A005,1_screen_or_method_core,all_screen_or_method_cases,screen_applicable,S1981-38212015000300021,The Elusive New Middle Class in Brazil,FALSE,The Elusive New Middle Class in Brazil,Celia Lessa Kerstenetzky; Christiane Uchôa; Nelson do Valle Silva,2015,Brazilian Political Science Review,10.1590/1981-38212015000300018,https://doi.org/10.1590/1981-38212015000300018,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-38212015000300021&tlng=en,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-38212015000300021&tlng=en,articlemeta_fulltexts_html,2026-06-03 23:06:15,4648,0,data/processed/credibility_prompt_v3_integral_reading/pilot_175/reading_logs/S1981-38212015000300021.json,data/processed/credibility_prompt_v3_integral_reading/pilot_175/classifications/S1981-38212015000300021.json,TRUE,quantitative_only,TRUE,FALSE,statistical_modeling,"""we submitted the data in Table 03 to a Hierarchical Cluster Analysis, using the SPSS software""",TRUE,"""The relations between income and every item listed in Table 03 were statistically significant.""",,,,TRUE,"""Our hypothesis is that a considerable proportion of the people that on the median/average income criterion have been classified under the new middle class label are more like a vulnerable social stratum""",TRUE,statistical_modeling_screen,FALSE,"[""none_detected""]",,"The article analyzes whether households in Neri's income-defined Brazilian new middle class resemble established middle-class households or vulnerable/poor strata in consumption patterns, living standards, economic security, and related household indicators.","2008-2009 Pesquisa de Orçamentos Familiares (POF), a nationally representative Brazilian household budget survey conducted by IBGE, using selected household, expenditure, income, goods, resident, and domestic-help files.",TRUE,"The introduction calls the approach essentially descriptive, but the results include statistical significance tests and hierarchical cluster analysis. Under the prompt schema, clustering used analytically counts as statistical modeling, so the article is not classified as descriptive-statistics-only.","The paper is an empirical quantitative analysis of POF household survey data. It reports descriptive comparisons across income strata, statistical significance of relations between income and selected indicators, and hierarchical cluster analysis of stratum profiles. It uses no substantive qualitative evidence and no credibility-revolution causal design.",,,,,,,,,,,,,,,,,,,,
A006,1_screen_or_method_core,all_screen_or_method_cases,screen_applicable,S1981-38212019000100200,"Mapping Ideological Preferences in Brazilian Elections, 1994-2018: A Municipal-Level Study",FALSE,"Mapping Ideological Preferences in Brazilian Elections, 1994-2018: A Municipal-Level Study",Timothy J. Power; Rodrigo Rodrigues-Silveira,2019,Brazilian Political Science Review,10.1590/1981-3821201900010001,https://doi.org/10.1590/1981-3821201900010001,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-38212019000100200&tlng=en,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-38212019000100200&tlng=en,articlemeta_fulltexts_html,2026-06-03 23:06:15,7791,0,data/processed/credibility_prompt_v3_integral_reading/pilot_175/reading_logs/S1981-38212019000100200.json,data/processed/credibility_prompt_v3_integral_reading/pilot_175/classifications/S1981-38212019000100200.json,TRUE,quantitative_only,TRUE,FALSE,statistical_modeling,"""To deal with the autocorrelation derived from our data, we employed a Generalized Least Squares (GLS) model, using a maximum likelihood estimation method""",TRUE,"""Although significant in most models, presidential approval does not present a consistent effect on the imputed values of the MIS for all cases.""",,,,TRUE,"""We now test four simple hypotheses regarding cross-sectional and temporal variation in electorally expressed ideology.""",TRUE,statistical_modeling_screen,FALSE,"[""observational_regression_with_causal_claim_no_design""]","""Overall, our pooled model reveals that electorally expressed ideology in Brazilian municipalities is a function of presidential coattails, vertical coalitional linkages between national and local elites, concurrent elections, party system fractionalization, electoral participation, and aggregate political polarization.""","The main relationship is between municipal vote-revealed ideology, measured by the Municipal Ideological Score, and explanatory factors including presidential ideology, mayor-president proximity and coalition alignment, presidential approval, municipal HDI, turnout, party fragmentation, electoral competition, polarization, poverty variation, election timing, and electorate size.","Municipality-year election data for Brazilian proportional-representation elections from 1994 to 2018, combining municipal party vote shares with Brazilian Legislative Survey party ideology scores; the text reports 5,570 municipalities, 13 electoral cycles, 42 parties, more than 2.2 million candidates, and 74,040 municipality-year observations for the constructed MIS dataset.",FALSE,,"The article is an empirical quantitative study because it constructs a municipal-level ideological score from election data and party ideology surveys, presents descriptive statistics and figures, and estimates multivariate GLS models. It contains statistical inference and explanatory claims, but no qualitative empirical component and no credibility-revolution causal identification design.",,,,,,,,,,,,,,,,,,,,
A007,1_screen_or_method_core,all_screen_or_method_cases,screen_applicable,S0011-52582006000100002,"Fundamentos da economia, mercado financeiro e intenção de voto: as eleições presidenciais brasileiras de 1994, 1998 e 2002",FALSE,"Economic fundamentals, financial markets, and voting preferences: the 1994, 1998, and 2002 Brazilian presidential elections",Lucio Rennó; Anthony P. Spanakos,2006,Dados,,,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582006000100002&tlng=pt,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582006000100002&tlng=pt,articlemeta_fulltexts_html,2026-06-03 23:06:03,7488,0,data/processed/credibility_prompt_v3_integral_reading/pilot_175/reading_logs/S0011-52582006000100002.json,data/processed/credibility_prompt_v3_integral_reading/pilot_175/classifications/S0011-52582006000100002.json,TRUE,quantitative_only,TRUE,FALSE,statistical_modeling,"A Tabela 2 apresenta os resultados do teste multivariado SUR (Seemingly Unrelated Regressions) para intenções de voto nas eleições presidenciais de 1994, 1998 e 2002.",TRUE,"O teste de Granger, valendo-se de um teste F de significância estatística, verifica se valores anteriores de uma variável aumentam a capacidade de previsão (forecast) de uma outra variável.",,,,TRUE,"qual é a relação causal entre indicadores do mercado financeiro e fundamentos da economia, por um lado, e intenções de voto, por outro? O que determina o quê?",TRUE,statistical_modeling_screen,FALSE,"[""observational_regression_with_causal_claim_no_design""]","As variáveis independentes econômicas (inflação, desemprego, taxa de câmbio e Ibovespa), foram defasadas em uma unidade de observação (data da divulgação da pesquisa eleitoral) para melhor aproveitar a natureza dinâmica das séries temporais.","Relações entre intenções de voto em Lula, candidatos governistas, outros candidatos, indecisos e votos brancos/nulos, de um lado, e inflação, desemprego, taxa de câmbio, Ibovespa, C-bond, HGPE, debates, reeleição e popularidade presidencial residual, de outro.","Séries temporais de pesquisas eleitorais presidenciais de 1994, 1998 e 2002 realizadas por Ibope, Datafolha e Vox Populi, combinadas com indicadores econômicos e financeiros obtidos no IPEA; 99 pesquisas na análise bivariada e 67 na multivariada.",TRUE,"O artigo usa linguagem causal e testes de causalidade de Granger, mas não apresenta desenho de identificação moderno; por isso, a melhor classificação é statistical modeling com claim causal observacional, não método de revolução da credibilidade.",O artigo é empírico quantitativo porque constrói e analisa um banco de séries temporais de pesquisas eleitorais e indicadores econômicos/financeiros. A análise vai além de estatística descritiva ao usar testes de Granger e modelos SUR com significância estatística. Não há componente qualitativo substantivo sistemático nem desenho causal de credibilidade; os claims causais repousam em modelagem observacional de séries temporais.,,,,,,,,,,,,,,,,,,,,
A008,1_screen_or_method_core,all_screen_or_method_cases,screen_applicable,S0011-52582024000400209,Entre a Desinstitucionalização e a Resiliência: Participação Institucional no Governo Bolsonaro,FALSE,Between Deinstitutionalization and Resilience: Institutional Participation in the Bolsonaro Administration,Carla de Paiva Bezerra; Debora Rezende de Almeida; Adrian Gurza Lavalle; Monika Dowbor,2024,Dados,10.1590/DADOS.2024.67.4.339,https://doi.org/10.1590/DADOS.2024.67.4.339,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582024000400209&tlng=pt,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582024000400209&tlng=pt,articlemeta_fulltexts_html,2026-06-03 23:06:04,13321,0,data/processed/credibility_prompt_v3_integral_reading/pilot_175/reading_logs/S0011-52582024000400209.json,data/processed/credibility_prompt_v3_integral_reading/pilot_175/classifications/S0011-52582024000400209.json,TRUE,mixed_empirical,TRUE,TRUE,descriptive_statistics_only,informações padronizadas para 103 colegiados,FALSE,,mixed_descriptive_explanatory,clear,descrição detalhada de alguns colegiados,TRUE,variam em função de dois fatores,TRUE,causal_claim_with_quantitative_analysis_screen,FALSE,"[""none_detected""]",,"O artigo analisa como medidas de desinstitucionalização do governo Bolsonaro afetaram colegiados federais com participação social, relacionando variação dos efeitos a macroáreas de política, preferências governamentais, desenho institucional e inserção em comunidades de política.","Banco original de 103 colegiados nacionais com participação de atores externos ao governo, com dados de leis, decretos, portarias, registros de reuniões, sites oficiais, decisões do STF e pedidos via Lei de Acesso à Informação para o período 2019-2022; complementado por casos qualitativos selecionados.",TRUE,"A classificação quantitativa é claramente descritiva, mas o artigo usa esses padrões descritivos junto com casos qualitativos para sustentar uma explicação de variação; por isso foi rastreado na tela de causalidade, embora não use desenho de credibilidade.","O artigo é empírico misto: constrói e analisa descritivamente um banco próprio de 103 colegiados e complementa os achados com análise qualitativa de casos. Não há testes estatísticos, modelagem ou inferência. Há argumento explicativo sobre a variação dos efeitos da desinstitucionalização, mas sem método causal moderno ou desenho de identificação.",,,,,,,,,,,,,,,,,,,,
A009,1_screen_or_method_core,all_screen_or_method_cases,screen_applicable,S0101-33002011000300004,Trabalhar para estudar: sobre a pertinência da noção de transição escola-trabalho no Brasil,FALSE,Trabalhar para estudar: sobre a pertinência da noção de transição escola-trabalho no Brasil,Alvaro A. Comin; Rogério Jerônimo Barbosa,2011,Novos estudos CEBRAP,,,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-33002011000300004&tlng=pt,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-33002011000300004&tlng=pt,articlemeta_fulltexts_html,2026-06-03 23:06:05,5864,0,data/processed/credibility_prompt_v3_integral_reading/pilot_175/reading_logs/S0101-33002011000300004.json,data/processed/credibility_prompt_v3_integral_reading/pilot_175/classifications/S0101-33002011000300004.json,TRUE,quantitative_only,TRUE,FALSE,statistical_modeling,"""foram construídos dois modelos de regressão múltipla, replicados para todos os anos, entre 1995 e 2009""",FALSE,,,,,TRUE,"""a busca pelo incremento educacional esteja associada: a) ao imperativo de sobreviver em carreiras que encolhem""",TRUE,statistical_modeling_screen,FALSE,"[""none_detected""]",,"Relação entre expansão do ensino superior, posição ocupacional, escolaridade e renda do trabalho, especialmente o prêmio salarial associado ao diploma superior em diferentes grandes grupos ocupacionais.","Dados da PNAD sobre população ocupada, escolaridade, ocupação e renda, principalmente 1982-2009 e 1995-2009; dados do INEP sobre matrículas no ensino superior em 2008.",TRUE,"O artigo usa regressão múltipla e linguagem explicativa, mas não reporta inferência estatística nem apresenta desenho causal moderno; a decisão exige separar modelagem observacional de método de credibilidade causal.","O artigo é empírico quantitativo porque reanalisa dados da PNAD e do INEP com estatísticas descritivas, tabelas, gráficos e regressões múltiplas. Não há evidência qualitativa substantiva. A presença de modelos de regressão justifica classificar a análise quantitativa como modelagem estatística, mas o corpo fornecido não reporta p-valores, erros-padrão ou intervalos de confiança e não apresenta método de credibilidade causal.",,,,,,,,,,,,,,,,,,,,
A010,1_screen_or_method_core,all_screen_or_method_cases,screen_applicable,S0101-33002014000100004,Escassez de engenheiros no Brasil? uma proposta de sistematização do debate,FALSE,Escassez de engenheiros no Brasil? uma proposta de sistematização do debate,Leonardo Melo Lins; Mario Sergio Salerno; Bruno César Araújo; Leonardo Augusto Vasconcelos Gomes; Paulo A. Meyer M. Nascimento; Demétrio Toledo,2014,Novos estudos CEBRAP,,,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-33002014000100004&tlng=pt,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-33002014000100004&tlng=pt,articlemeta_fulltexts_html,2026-06-03 23:06:06,6401,0,data/processed/credibility_prompt_v3_integral_reading/pilot_175/reading_logs/S0101-33002014000100004.json,data/processed/credibility_prompt_v3_integral_reading/pilot_175/classifications/S0101-33002014000100004.json,TRUE,mixed_empirical,TRUE,TRUE,statistical_modeling,"“a Tabela 1 traz um modelo econométrico em painel, com controle para efeitos fixos. Os dados são para 2007, 2009 e 2011.”",TRUE,"“Novamente, a relação entre as variáveis se mostrou positiva e significante a 1%.”",mixed_descriptive_explanatory,clear,"“Tais dimensões foram percebidas em entrevistas com dirigentes empresariais, particularmente de PD&E, quando procuramos compreender quais as razões que sustentavam a queixa genérica de falta de engenheiros.”",TRUE,"“o déficit de engenheiros percebido pelas empresas pode não ser exatamente um déficit de quantidade de engenheiros, e sim uma dificuldade de encontrar engenheiros mais experientes”",TRUE,statistical_modeling_screen,FALSE,"[""none_detected""]",,"O artigo analisa a relação entre oferta e demanda de engenheiros no Brasil, usando indicadores como formação, emprego em ocupações típicas, salários, desemprego, rotatividade, idade/experiência, qualidade da formação, especialidades e regiões; também examina a associação internacional entre HRST e PIB per capita.","Dados da OCDE para HRST e PIB per capita; RAIS/MTE, Censo Escolar/Inep-MEC, Censos Demográficos/IBGE, CAGED/MTE, Enade e entrevistas/discussões com dirigentes empresariais de PD&E em cerca de trinta empresas ao longo de cinco anos.",TRUE,"O componente qualitativo é menos desenvolvido que o quantitativo, mas as entrevistas com dirigentes empresariais são usadas substantivamente para formular e explicar dimensões do problema, o que justifica mixed_empirical em vez de quantitative_only.","O artigo é empírico porque analisa bases oficiais, dados internacionais, indicadores de mercado de trabalho e entrevistas. É quantitativo no sentido Torreblanca porque apresenta análise própria/reanalisada com gráficos, tabelas, correlações e um modelo econométrico em painel com efeitos fixos; há inferência estatística pela significância reportada. Também é qualitativo porque usa entrevistas e reconstrução documental do debate para explicar a percepção de escassez. Apesar de usar efeitos fixos e linguagem explicativa, não apresenta desenho de identificação causal típico da revolução da credibilidade.",,,,,,,,,,,,,,,,,,,,
