decision_status,decision_value,decision_note,reviewer,review_date,pid,field,issn,journal_title,excluded_by_journal,excluded_by_article,excluded_from_analysis,exclusion_reason,queue_source,local_allowed_values,allowed_values,value_allowed_strict,sheet_allowed_values_mismatch,pending_blocks_main_analysis,pending_dispensed_by_exclusion,strict_codebook_issue,requires_substantive_json,review_date_issue,review_date_invalid_format,review_date_outside_window,has_structured_override,structured_override_value_valid,structured_override_metadata_valid,structured_override_valid,structured_override_json,structured_override_note,structured_override_by,structured_override_date,validation_issue,old_value,new_value,reason,decision_hint,confidence,title,authors,year,language,url_scielo,abstract_pt,abstract_en,subfield,evidence_type_current,method_status_current,countries_of_focus,main_causal_research_design,brief_justification,old_json,new_json,file,issue_rule,action
done,<NULL>,Obiturário da ruth Cardoso,Manoel,2026-06-01,S0011-52582008000200002,evidence_type,1678-4588,Dados,FALSE,TRUE,TRUE,non_research_obituary,excluded_article_queue,quantitative | qualitative | mixed | theoretical-normative,quantitative | qualitative | mixed | theoretical-normative,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,<NULL>,<NULL>,Evidence type cannot be mapped safely.,"Classifique a evidência principal do artigo: quantitative, qualitative, mixed ou theoretical-normative.",none,Ruth Corrêa Leite Cardoso,Gilberto Velho,2008,pt,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582008000200002&lng=pt,,,Other,,,,,"This is a 4-page obituary/tribute to Ruth Corrêa Leite Cardoso by Gilberto Velho, published in Dados (2008). It is not a research article; it is a memorial note summarizing her intellectual trajectory and contributions to anthropology and political science. No research question, methodology, data, or analysis is present. Classification fields related to empirical or theoretical content are set to null or false.",null,null,S0011-52582008000200002.json,evidence_type_null,no_change_manual
done,<NULL>,Ontiruário da Ruth Cardoso,Manoel,2026-06-01,S0011-52582008000200002,method_status,1678-4588,Dados,FALSE,TRUE,TRUE,non_research_obituary,excluded_article_queue,explicit | essayistic,explicit | essayistic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,<NULL>,<NULL>,Method status is not a safe alias of explicit/essayistic.,Use explicit se o artigo declara método/procedimento; use essayistic se não há método explícito.,none,Ruth Corrêa Leite Cardoso,Gilberto Velho,2008,pt,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582008000200002&lng=pt,,,Other,,,,,"This is a 4-page obituary/tribute to Ruth Corrêa Leite Cardoso by Gilberto Velho, published in Dados (2008). It is not a research article; it is a memorial note summarizing her intellectual trajectory and contributions to anthropology and political science. No research question, methodology, data, or analysis is present. Classification fields related to empirical or theoretical content are set to null or false.",null,null,S0011-52582008000200002.json,method_status_null,no_change_manual
done,<NULL>,"Excluir da análise principal: homenagem/obituário, não é artigo de pesquisa. Preservar no corpus.",Manoel,2026-06-01,S0011-52582008000200002,effort_to_explore_mechanisms,1678-4588,Dados,FALSE,TRUE,TRUE,non_research_obituary,excluded_article_queue,No Mention of Mechanisms/Channels | Mechanisms/Channels Mentioned But Not Explored | Mechanisms/Channels Mentioned With Substantial Exploration | <NULL>,No Mention of Mechanisms/Channels | Mechanisms/Channels Mentioned But Not Explored | Mechanisms/Channels Mentioned With Substantial Exploration | <NULL>,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,FALSE,FALSE,Mechanism-exploration level cannot be inferred safely from a logical value.,Marque No Mention se não houver mecanismos; Mentioned But Not Explored se só menciona; Substantial Exploration se analisa mecanismos.,none,Ruth Corrêa Leite Cardoso,Gilberto Velho,2008,pt,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582008000200002&lng=pt,,,Other,,,,,"This is a 4-page obituary/tribute to Ruth Corrêa Leite Cardoso by Gilberto Velho, published in Dados (2008). It is not a research article; it is a memorial note summarizing her intellectual trajectory and contributions to anthropology and political science. No research question, methodology, data, or analysis is present. Classification fields related to empirical or theoretical content are set to null or false.",FALSE,FALSE,S0011-52582008000200002.json,effort_to_explore_mechanisms_invalid,no_change_manual
done,<NULL>,Teoria,Manoel,2016-06-02,S0011-52582008000400005,general_goal_of_analysis,0011-5258,Dados,FALSE,FALSE,FALSE,,main_queue,Describe | Predict | Explain | <NULL>,Describe | Predict | Explain | <NULL>,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,review_date_outside_expected_window,"Analyze the formation of the concept of federalism in 19th century Brazilian political debate, tracing the transition from confederation to federalism and the role of provincial...",<NULL>,Free-text goal cannot be mapped safely to Describe/Predict/Explain.,Escolha Describe/Predict/Explain só se o objetivo analítico estiver claro; caso contrário use <NULL>.,none,O conceito de federalismo e a idéia de interesse no Brasil do século XIX,Ivo Coser,2008,pt,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582008000400005&lng=pt,"This article analyzes the formation of the concept of Federalism in 19th century Brazilian political debate. We seek to understand the transition from the concept of Confederation to that of Federalism and the political values that came to be associated with the latter. Based on the methodology of Conceptual History formulated by Reinhart Koselleck, we focus on the continuities and breaks in the issue of decentralization. Analyzing 19th century newspapers and Parliamentary debates, we contend that the notion of Provincial interest is a key aspect for understanding the Federalist thinking formulated in the first half of the 19th century.","This article analyzes the formation of the concept of Federalism in 19th century Brazilian political debate. We seek to understand the transition from the concept of Confederation to that of Federalism and the political values that came to be associated with the latter. Based on the methodology of Conceptual History formulated by Reinhart Koselleck, we focus on the continuities and breaks in the issue of decentralization. Analyzing 19th century newspapers and Parliamentary debates, we contend that the notion of Provincial interest is a key aspect for understanding the Federalist thinking formulated in the first half of the 19th century.",Political Theory and Philosophy,qualitative,essayistic,Brazil,,"This is a conceptual history (Begriffsgeschichte) article using Koselleck's methodology to trace the evolution of the concept of federalism in 19th century Brazil. It analyzes newspapers and parliamentary debates as primary sources but employs no quantitative methods. The work is interpretive and historical-theoretical, focused on political concepts and their semantic transformations rather than empirical hypothesis testing.","""Analyze the formation of the concept of federalism in 19th century Brazilian political debate, tracing the transition from confederation to federalism and the role of provincial interest""",null,S0011-52582008000400005.json,general_goal_of_analysis_invalid,text_to_null_manual
done,single_region,"Teoria, pode ser NULL",Manoel,2026-06-02,S0011-52582008000400005,single_region,0011-5258,Dados,FALSE,FALSE,FALSE,,main_queue,single_region | multiple_region | <NULL>,single_region | multiple_region | <NULL>,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,FALSE,FALSE,Cannot infer regional scope safely from this value.,Use single_region/multiple_region apenas para escopo regional claro; <NULL> se não aplicável.,none,O conceito de federalismo e a idéia de interesse no Brasil do século XIX,Ivo Coser,2008,pt,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582008000400005&lng=pt,"This article analyzes the formation of the concept of Federalism in 19th century Brazilian political debate. We seek to understand the transition from the concept of Confederation to that of Federalism and the political values that came to be associated with the latter. Based on the methodology of Conceptual History formulated by Reinhart Koselleck, we focus on the continuities and breaks in the issue of decentralization. Analyzing 19th century newspapers and Parliamentary debates, we contend that the notion of Provincial interest is a key aspect for understanding the Federalist thinking formulated in the first half of the 19th century.","This article analyzes the formation of the concept of Federalism in 19th century Brazilian political debate. We seek to understand the transition from the concept of Confederation to that of Federalism and the political values that came to be associated with the latter. Based on the methodology of Conceptual History formulated by Reinhart Koselleck, we focus on the continuities and breaks in the issue of decentralization. Analyzing 19th century newspapers and Parliamentary debates, we contend that the notion of Provincial interest is a key aspect for understanding the Federalist thinking formulated in the first half of the 19th century.",Political Theory and Philosophy,qualitative,essayistic,Brazil,,"This is a conceptual history (Begriffsgeschichte) article using Koselleck's methodology to trace the evolution of the concept of federalism in 19th century Brazil. It analyzes newspapers and parliamentary debates as primary sources but employs no quantitative methods. The work is interpretive and historical-theoretical, focused on political concepts and their semantic transformations rather than empirical hypothesis testing.",FALSE,FALSE,S0011-52582008000400005.json,single_region_invalid,no_change_manual
done,<NULL>,Texto de Pnsamento Político brasileiro,Manoel,2026-06-01,S0011-52582008000400005,effort_to_explore_mechanisms,0011-5258,Dados,FALSE,FALSE,FALSE,,main_queue,No Mention of Mechanisms/Channels | Mechanisms/Channels Mentioned But Not Explored | Mechanisms/Channels Mentioned With Substantial Exploration | <NULL>,No Mention of Mechanisms/Channels | Mechanisms/Channels Mentioned But Not Explored | Mechanisms/Channels Mentioned With Substantial Exploration | <NULL>,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,FALSE,FALSE,Mechanism-exploration level cannot be inferred safely from a logical value.,Marque No Mention se não houver mecanismos; Mentioned But Not Explored se só menciona; Substantial Exploration se analisa mecanismos.,none,O conceito de federalismo e a idéia de interesse no Brasil do século XIX,Ivo Coser,2008,pt,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582008000400005&lng=pt,"This article analyzes the formation of the concept of Federalism in 19th century Brazilian political debate. We seek to understand the transition from the concept of Confederation to that of Federalism and the political values that came to be associated with the latter. Based on the methodology of Conceptual History formulated by Reinhart Koselleck, we focus on the continuities and breaks in the issue of decentralization. Analyzing 19th century newspapers and Parliamentary debates, we contend that the notion of Provincial interest is a key aspect for understanding the Federalist thinking formulated in the first half of the 19th century.","This article analyzes the formation of the concept of Federalism in 19th century Brazilian political debate. We seek to understand the transition from the concept of Confederation to that of Federalism and the political values that came to be associated with the latter. Based on the methodology of Conceptual History formulated by Reinhart Koselleck, we focus on the continuities and breaks in the issue of decentralization. Analyzing 19th century newspapers and Parliamentary debates, we contend that the notion of Provincial interest is a key aspect for understanding the Federalist thinking formulated in the first half of the 19th century.",Political Theory and Philosophy,qualitative,essayistic,Brazil,,"This is a conceptual history (Begriffsgeschichte) article using Koselleck's methodology to trace the evolution of the concept of federalism in 19th century Brazil. It analyzes newspapers and parliamentary debates as primary sources but employs no quantitative methods. The work is interpretive and historical-theoretical, focused on political concepts and their semantic transformations rather than empirical hypothesis testing.",FALSE,FALSE,S0011-52582008000400005.json,effort_to_explore_mechanisms_invalid,no_change_manual
done,<NULL>,Teoria ou Normativo ou Pensamento Político,Manoel,2026-06-01,S0011-52582010000200002,general_goal_of_analysis,0011-5258,Dados,FALSE,FALSE,FALSE,,main_queue,Describe | Predict | Explain | <NULL>,Describe | Predict | Explain | <NULL>,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,Map and critically examine the methodological debate around Quentin Skinner's linguistic contextualism in the history of political thought,<NULL>,Free-text goal cannot be mapped safely to Describe/Predict/Explain.,Escolha Describe/Predict/Explain só se o objetivo analítico estiver claro; caso contrário use <NULL>.,none,O contextualismo linguístico na história do pensamento político: Quentin Skinner e o debate metodológico contemporâneo,Ricardo Silva,2010,pt,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582010000200002&lng=pt,"This article aims to map and investigate the methodological debate spearheaded by the Cambridge School of history of political thought in the last four decades, focusing on the formulations of Quentin Skinner and the main objections raised by his critics. After a brief presentation of the prescriptions in Skinner's methods, the article discusses how his linguistic contextualism has been criticized for: a) his epistemological commitments (denounced alternately as relativist and positivist); b) his adherence to intentionalism; and c) his tendency towards ""antiquarianism"". The article concludes that of these three modalities of objections, the attribution of ""antiquarianism"" was the one that most compromised Skinner's original methodological formulations, recently leading him to virtually abandon his original antipresentist thrust.","This article aims to map and investigate the methodological debate spearheaded by the Cambridge School of history of political thought in the last four decades, focusing on the formulations of Quentin Skinner and the main objections raised by his critics. After a brief presentation of the prescriptions in Skinner's methods, the article discusses how his linguistic contextualism has been criticized for: a) his epistemological commitments (denounced alternately as relativist and positivist); b) his adherence to intentionalism; and c) his tendency towards ""antiquarianism"". The article concludes that of these three modalities of objections, the attribution of ""antiquarianism"" was the one that most compromised Skinner's original methodological formulations, recently leading him to virtually abandon his original antipresentist thrust.",Political Theory and Philosophy,theoretical-normative,essayistic,,,"This is a purely theoretical-normative essay on the methodology of the history of political thought. It critically reviews Quentin Skinner's linguistic contextualism and the objections raised by his critics (epistemological, intentionalist, and antiquarianist). There is no empirical data, no quantitative analysis, and no causal claims. The method is essayistic, relying on interpretive analysis of scholarly arguments and texts.","""Map and critically examine the methodological debate around Quentin Skinner's linguistic contextualism in the history of political thought""",null,S0011-52582010000200002.json,general_goal_of_analysis_invalid,text_to_null_manual
done,<NULL>,Ensaístico ou Teoria Política,Manoel,2026-06-01,S0011-52582010000200002,effort_to_explore_mechanisms,0011-5258,Dados,FALSE,FALSE,FALSE,,main_queue,No Mention of Mechanisms/Channels | Mechanisms/Channels Mentioned But Not Explored | Mechanisms/Channels Mentioned With Substantial Exploration | <NULL>,No Mention of Mechanisms/Channels | Mechanisms/Channels Mentioned But Not Explored | Mechanisms/Channels Mentioned With Substantial Exploration | <NULL>,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,FALSE,FALSE,Mechanism-exploration level cannot be inferred safely from a logical value.,Marque No Mention se não houver mecanismos; Mentioned But Not Explored se só menciona; Substantial Exploration se analisa mecanismos.,none,O contextualismo linguístico na história do pensamento político: Quentin Skinner e o debate metodológico contemporâneo,Ricardo Silva,2010,pt,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582010000200002&lng=pt,"This article aims to map and investigate the methodological debate spearheaded by the Cambridge School of history of political thought in the last four decades, focusing on the formulations of Quentin Skinner and the main objections raised by his critics. After a brief presentation of the prescriptions in Skinner's methods, the article discusses how his linguistic contextualism has been criticized for: a) his epistemological commitments (denounced alternately as relativist and positivist); b) his adherence to intentionalism; and c) his tendency towards ""antiquarianism"". The article concludes that of these three modalities of objections, the attribution of ""antiquarianism"" was the one that most compromised Skinner's original methodological formulations, recently leading him to virtually abandon his original antipresentist thrust.","This article aims to map and investigate the methodological debate spearheaded by the Cambridge School of history of political thought in the last four decades, focusing on the formulations of Quentin Skinner and the main objections raised by his critics. After a brief presentation of the prescriptions in Skinner's methods, the article discusses how his linguistic contextualism has been criticized for: a) his epistemological commitments (denounced alternately as relativist and positivist); b) his adherence to intentionalism; and c) his tendency towards ""antiquarianism"". The article concludes that of these three modalities of objections, the attribution of ""antiquarianism"" was the one that most compromised Skinner's original methodological formulations, recently leading him to virtually abandon his original antipresentist thrust.",Political Theory and Philosophy,theoretical-normative,essayistic,,,"This is a purely theoretical-normative essay on the methodology of the history of political thought. It critically reviews Quentin Skinner's linguistic contextualism and the objections raised by his critics (epistemological, intentionalist, and antiquarianist). There is no empirical data, no quantitative analysis, and no causal claims. The method is essayistic, relying on interpretive analysis of scholarly arguments and texts.",FALSE,FALSE,S0011-52582010000200002.json,effort_to_explore_mechanisms_invalid,no_change_manual
done,<NULL>,"Tipologia teórica. Poderia ser também ""Describe"", já que quer descrever os tipos de constituição. Mas não é empírico.",Manoel,2026-06-01,S0011-52582010000300002,general_goal_of_analysis,1678-4588,Dados,FALSE,FALSE,FALSE,,main_queue,Describe | Predict | Explain | <NULL>,Describe | Predict | Explain | <NULL>,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,"Provide a theoretical framework for comparative analysis of constitutional choices in new democracies, examining how policy-oriented constitutions affect government agendas and ...",<NULL>,Free-text goal cannot be mapped safely to Describe/Predict/Explain.,Escolha Describe/Predict/Explain só se o objetivo analítico estiver claro; caso contrário use <NULL>.,none,Construção democrática e modelos de Constituição,Rogério Bastos Arantes; Cláudio Gonçalves Couto,2010,pt,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582010000300002&lng=pt,"This article makes a theoretical contribution to the comparative analysis of constitutional choices in new democracies, particularly those related to the profile of constitutions, reform and amendment political processes, and legal review and legal interpretation. The constitution itself is viewed as an object of research and analysis. Special attention is dedicated to the case of policy-oriented constitutions and their impact on the submission of government and public policy agendas. The constitutionalization of public policies is viewed as an additional veto point in the political system. Since different constitutional patterns engender distinct decision-making processes, the study examines how the related costs affect government efficiency and jeopardize democratic representation.","This article makes a theoretical contribution to the comparative analysis of constitutional choices in new democracies, particularly those related to the profile of constitutions, reform and amendment political processes, and legal review and legal interpretation. The constitution itself is viewed as an object of research and analysis. Special attention is dedicated to the case of policy-oriented constitutions and their impact on the submission of government and public policy agendas. The constitutionalization of public policies is viewed as an additional veto point in the political system. Since different constitutional patterns engender distinct decision-making processes, the study examines how the related costs affect government efficiency and jeopardize democratic representation.",Brazilian Politics,theoretical-normative,essayistic,,,"This is a theoretical-normative article that proposes a conceptual framework for analyzing constitutional models in new democracies. It discusses constitutionalism, policy-oriented constitutions, veto points, amendment processes, and judicial review without any quantitative empirical analysis. There are zero tables, figures, and equations. The 62 references are predominantly theoretical works on constitutionalism and democratic theory. The method is essayistic, relying on conceptual argumentation rather than systematic empirical evidence.","""Provide a theoretical framework for comparative analysis of constitutional choices in new democracies, examining how policy-oriented constitutions affect government agendas and decision-making costs""",null,S0011-52582010000300002.json,general_goal_of_analysis_invalid,text_to_null_manual
done,<NULL>,"Tenta fazer tipologia, cita exemplos, mas são ilustrativos.",Manoel,2026-06-01,S0011-52582010000300002,single_country_study,1678-4588,Dados,FALSE,FALSE,FALSE,,main_queue,single_country | multiple_countries | <NULL>,single_country | multiple_countries | <NULL>,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,FALSE,FALSE,Cannot infer single vs multiple countries safely.,Use single_country para um país focal; multiple_countries para comparação cross-country; <NULL> se não aplicável.,none,Construção democrática e modelos de Constituição,Rogério Bastos Arantes; Cláudio Gonçalves Couto,2010,pt,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582010000300002&lng=pt,"This article makes a theoretical contribution to the comparative analysis of constitutional choices in new democracies, particularly those related to the profile of constitutions, reform and amendment political processes, and legal review and legal interpretation. The constitution itself is viewed as an object of research and analysis. Special attention is dedicated to the case of policy-oriented constitutions and their impact on the submission of government and public policy agendas. The constitutionalization of public policies is viewed as an additional veto point in the political system. Since different constitutional patterns engender distinct decision-making processes, the study examines how the related costs affect government efficiency and jeopardize democratic representation.","This article makes a theoretical contribution to the comparative analysis of constitutional choices in new democracies, particularly those related to the profile of constitutions, reform and amendment political processes, and legal review and legal interpretation. The constitution itself is viewed as an object of research and analysis. Special attention is dedicated to the case of policy-oriented constitutions and their impact on the submission of government and public policy agendas. The constitutionalization of public policies is viewed as an additional veto point in the political system. Since different constitutional patterns engender distinct decision-making processes, the study examines how the related costs affect government efficiency and jeopardize democratic representation.",Brazilian Politics,theoretical-normative,essayistic,,,"This is a theoretical-normative article that proposes a conceptual framework for analyzing constitutional models in new democracies. It discusses constitutionalism, policy-oriented constitutions, veto points, amendment processes, and judicial review without any quantitative empirical analysis. There are zero tables, figures, and equations. The 62 references are predominantly theoretical works on constitutionalism and democratic theory. The method is essayistic, relying on conceptual argumentation rather than systematic empirical evidence.",FALSE,FALSE,S0011-52582010000300002.json,single_country_study_invalid,no_change_manual
