decision_status,decision_value,decision_note,reviewer,review_date,pid,field,allowed_values,old_value,new_value,reason,decision_hint,confidence,title,authors,year,journal_title,issn,language,url_scielo,abstract_pt,abstract_en,subfield,evidence_type_current,method_status_current,countries_of_focus,main_causal_research_design,brief_justification,old_json,new_json,file,issue_rule,action,excluded_by_journal,excluded_by_article,excluded_from_analysis,exclusion_reason
excluded_by_article,<NULL>,Exclu<c3><ad>do da an<c3><a1>lise principal por regra de artigo: non_research_obituary,,,S0011-52582008000200002,evidence_type,quantitative | qualitative | mixed | theoretical-normative,<NULL>,<NULL>,Evidence type cannot be mapped safely.,"Classifique a evid<c3><aa>ncia principal do artigo: quantitative, qualitative, mixed ou theoretical-normative.",none,Ruth Corrêa Leite Cardoso,Gilberto Velho,2008,Dados,1678-4588,pt,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582008000200002&lng=pt,,,Other,,,,,"This is a 4-page obituary/tribute to Ruth Corrêa Leite Cardoso by Gilberto Velho, published in Dados (2008). It is not a research article; it is a memorial note summarizing her intellectual trajectory and contributions to anthropology and political science. No research question, methodology, data, or analysis is present. Classification fields related to empirical or theoretical content are set to null or false.",null,null,S0011-52582008000200002.json,evidence_type_null,no_change_manual,FALSE,TRUE,TRUE,non_research_obituary
excluded_by_article,<NULL>,Exclu<c3><ad>do da an<c3><a1>lise principal por regra de artigo: non_research_obituary,,,S0011-52582008000200002,method_status,explicit | essayistic,<NULL>,<NULL>,Method status is not a safe alias of explicit/essayistic.,Use explicit se o artigo declara m<c3><a9>todo/procedimento; use essayistic se n<c3><a3>o h<c3><a1> m<c3><a9>todo expl<c3><ad>cito.,none,Ruth Corrêa Leite Cardoso,Gilberto Velho,2008,Dados,1678-4588,pt,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582008000200002&lng=pt,,,Other,,,,,"This is a 4-page obituary/tribute to Ruth Corrêa Leite Cardoso by Gilberto Velho, published in Dados (2008). It is not a research article; it is a memorial note summarizing her intellectual trajectory and contributions to anthropology and political science. No research question, methodology, data, or analysis is present. Classification fields related to empirical or theoretical content are set to null or false.",null,null,S0011-52582008000200002.json,method_status_null,no_change_manual,FALSE,TRUE,TRUE,non_research_obituary
excluded_by_article,<NULL>,Exclu<c3><ad>do da an<c3><a1>lise principal por regra de artigo: non_independent_article_commentary,,,S0011-52582022000100401,method_status,explicit | essayistic,not applicable,not applicable,Method status is not a safe alias of explicit/essayistic.,Use explicit se o artigo declara m<c3><a9>todo/procedimento; use essayistic se n<c3><a3>o h<c3><a1> m<c3><a9>todo expl<c3><ad>cito.,none,"Por uma Abordagem Interdisciplinar, Estrutural e Interseccional de Usuárias(os) do Estado: Comentário Crítico ao Artigo &#8220;Categorizando Usuários &#8216;Fáceis&#8217; e &#8216;Difíceis&#8217;...&#8221; de Gabriela Spanghero Lotta e Roberto Rocha Coelho Pires",Jaciane Milanezi,2022,Dados,0011-5258,pt,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582022000100401&lng=pt,"RESUMO O texto avalia a contribuição da pesquisa Categorizando usuários &#8220; fáceis &#8221; e &#8220; difíceis &#8221;, de Gabriela Spanghero Lotta e Roberto Rocha Coelho Pires, aos estudos sobre políticas públicas e suas interfaces com as desigualdades. Também apresenta questões para o avanço dessa agenda pelas Ciências Sociais, propondo uma perspectiva de análise interdisciplinar, estrutural e interseccional dos grupos governados pelo Estado, especialmente, as(os) consideradas(os) beneficiárias(os) de políticas públicas sociais.","ABSTRACT The text assesses the contribution of the study Categorizing &#8220;easy&#8221; and &#8220;difficult&#8221; users , by Gabriela Spanghero Lotta and Roberto Rocha Coelho Pires, to the field of public policies and its relation to inequalities. In addition, it presents questions to advance on the agenda by the Social Sciences, proposing an interdisciplinary, structural and intersectional analytical perspective of groups governed by the State which are considered beneficiaries of social public policies.",Public Policy/Administration,theoretical-normative,not applicable,Brazil,,"This is a critical commentary (Comentário Crítico) on another article, not an independent empirical study. It proposes a theoretical framework — interdisciplinary, structural, and intersectional — for analyzing state-governed populations and public policy beneficiaries. It contains no data analysis, no tables, no figures, no equations, and only 14 references, consistent with a short commentary piece rather than an empirical or even qualitative research article.","""not applicable""","""not applicable""",S0011-52582022000100401.json,method_status_invalid,no_change_manual,FALSE,TRUE,TRUE,non_independent_article_commentary
excluded_by_article,<NULL>,Exclu<c3><ad>do da an<c3><a1>lise principal por regra de artigo: non_research_editorial,,,S0102-85292023000200904,method_status,explicit | essayistic,not_applicable,not_applicable,Method status is not a safe alias of explicit/essayistic.,Use explicit se o artigo declara m<c3><a9>todo/procedimento; use essayistic se n<c3><a3>o h<c3><a1> m<c3><a9>todo expl<c3><ad>cito.,none,'Novas direções para a Análise de Política Externa': reconfigurando o campo,Carolina Salgado; Maíra Siman; Stefano Guzzini,2023,Contexto Internacional,0102-8529,en,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292023000200904&lng=pt,"Resumo Esta edição especial (vol. 45 (2) e vol. 46 (2)) apresenta (algumas) novas direções de pesquisa para a Análise de Política Externa (APE) e Estudos Diplomáticos. Ela é orientada pelo duplo objetivo de explorar os debates contemporâneos que têm alimentado abordagens interpretativas para a política externa e diplomacia e de engajar, através desse mesmo prisma, com dois públicos mais amplos no Brasil. Por um lado, busca conectar essas novas direções de pesquisa com acadêmicos que trabalham dentro da tradição analítica predominante de política externa no país. Por outro lado, tenta também engajar as tradições pós-positivistas nas Relações Internacionais (RI) brasileiras, que tradicionalmente negligenciaram os campos de APE ou Estudos Diplomáticos. Em resumo, a edição especial parte do pressuposto de que a APE é um campo não necessariamente ligado a uma única tradição metodológica. Pesquisas interpretativistas podem informar a APE, e a APE pode informar pesquisas interpretativistas.","Abstract This special issue (vol. 45 (2) and vol. 46(2)) presents (some) new research directions for Foreign Policy Analysis (FPA) and Diplomatic Studies. It is driven by the dual aim of exploring contemporary debates that have nourished interpretivist approaches to foreign policy and diplomacy and engaging, through this very prism, with two broader audiences in Brazil. On the one hand, it wishes to connect these recent research directions to scholars working within the prevalent analytical tradition of foreign policy in the country. On the other hand, it also tries to engage post-positivist traditions in Brazilian International Relations (IR) that have traditionally neglected the fields of FPA or Diplomatic Studies. In short, the SI starts from the premise that FPA is a field not necessarily connected to one methodological tradition. Interpretivist research can inform FPA, and FPA can inform interpretivist research.",International Relations,theoretical-normative,not_applicable,,,"This is an editorial introduction to a special issue on new directions for Foreign Policy Analysis. It is a purely theoretical and programmatic essay that discusses interpretivist and post-positivist approaches to FPA and Diplomatic Studies, with no empirical quantitative analysis, no dataset, no statistical methods, and no causal claims. It frames contributions to the special issue and argues for methodological pluralism in FPA.","""not_applicable""","""not_applicable""",S0102-85292023000200904.json,method_status_invalid,no_change_manual,FALSE,TRUE,TRUE,non_research_editorial
excluded_by_article,<NULL>,Exclu<c3><ad>do da an<c3><a1>lise principal por regra de artigo: non_independent_article_commentary,,,S0011-52582022000100401,general_goal_of_analysis,Describe | Predict | Explain | <NULL>,"Critical commentary proposing an interdisciplinary, structural, and intersectional approach to analyzing users/beneficiaries of state public policies",<NULL>,Free-text goal cannot be mapped safely to Describe/Predict/Explain.,Escolha Describe/Predict/Explain s<c3><b3> se o objetivo anal<c3><ad>tico estiver claro; caso contr<c3><a1>rio use <NULL>.,none,"Por uma Abordagem Interdisciplinar, Estrutural e Interseccional de Usuárias(os) do Estado: Comentário Crítico ao Artigo &#8220;Categorizando Usuários &#8216;Fáceis&#8217; e &#8216;Difíceis&#8217;...&#8221; de Gabriela Spanghero Lotta e Roberto Rocha Coelho Pires",Jaciane Milanezi,2022,Dados,0011-5258,pt,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582022000100401&lng=pt,"RESUMO O texto avalia a contribuição da pesquisa Categorizando usuários &#8220; fáceis &#8221; e &#8220; difíceis &#8221;, de Gabriela Spanghero Lotta e Roberto Rocha Coelho Pires, aos estudos sobre políticas públicas e suas interfaces com as desigualdades. Também apresenta questões para o avanço dessa agenda pelas Ciências Sociais, propondo uma perspectiva de análise interdisciplinar, estrutural e interseccional dos grupos governados pelo Estado, especialmente, as(os) consideradas(os) beneficiárias(os) de políticas públicas sociais.","ABSTRACT The text assesses the contribution of the study Categorizing &#8220;easy&#8221; and &#8220;difficult&#8221; users , by Gabriela Spanghero Lotta and Roberto Rocha Coelho Pires, to the field of public policies and its relation to inequalities. In addition, it presents questions to advance on the agenda by the Social Sciences, proposing an interdisciplinary, structural and intersectional analytical perspective of groups governed by the State which are considered beneficiaries of social public policies.",Public Policy/Administration,theoretical-normative,not applicable,Brazil,,"This is a critical commentary (Comentário Crítico) on another article, not an independent empirical study. It proposes a theoretical framework — interdisciplinary, structural, and intersectional — for analyzing state-governed populations and public policy beneficiaries. It contains no data analysis, no tables, no figures, no equations, and only 14 references, consistent with a short commentary piece rather than an empirical or even qualitative research article.","""Critical commentary proposing an interdisciplinary, structural, and intersectional approach to analyzing users/beneficiaries of state public policies""",null,S0011-52582022000100401.json,general_goal_of_analysis_invalid,text_to_null_manual,FALSE,TRUE,TRUE,non_independent_article_commentary
excluded_by_article,<NULL>,Exclu<c3><ad>do da an<c3><a1>lise principal por regra de artigo: non_research_editorial,,,S0102-85292023000200904,general_goal_of_analysis,Describe | Predict | Explain | <NULL>,"Introduce a special issue exploring interpretivist approaches to Foreign Policy Analysis and Diplomatic Studies, arguing FPA is not tied to one methodological tradition",<NULL>,Free-text goal cannot be mapped safely to Describe/Predict/Explain.,Escolha Describe/Predict/Explain s<c3><b3> se o objetivo anal<c3><ad>tico estiver claro; caso contr<c3><a1>rio use <NULL>.,none,'Novas direções para a Análise de Política Externa': reconfigurando o campo,Carolina Salgado; Maíra Siman; Stefano Guzzini,2023,Contexto Internacional,0102-8529,en,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292023000200904&lng=pt,"Resumo Esta edição especial (vol. 45 (2) e vol. 46 (2)) apresenta (algumas) novas direções de pesquisa para a Análise de Política Externa (APE) e Estudos Diplomáticos. Ela é orientada pelo duplo objetivo de explorar os debates contemporâneos que têm alimentado abordagens interpretativas para a política externa e diplomacia e de engajar, através desse mesmo prisma, com dois públicos mais amplos no Brasil. Por um lado, busca conectar essas novas direções de pesquisa com acadêmicos que trabalham dentro da tradição analítica predominante de política externa no país. Por outro lado, tenta também engajar as tradições pós-positivistas nas Relações Internacionais (RI) brasileiras, que tradicionalmente negligenciaram os campos de APE ou Estudos Diplomáticos. Em resumo, a edição especial parte do pressuposto de que a APE é um campo não necessariamente ligado a uma única tradição metodológica. Pesquisas interpretativistas podem informar a APE, e a APE pode informar pesquisas interpretativistas.","Abstract This special issue (vol. 45 (2) and vol. 46(2)) presents (some) new research directions for Foreign Policy Analysis (FPA) and Diplomatic Studies. It is driven by the dual aim of exploring contemporary debates that have nourished interpretivist approaches to foreign policy and diplomacy and engaging, through this very prism, with two broader audiences in Brazil. On the one hand, it wishes to connect these recent research directions to scholars working within the prevalent analytical tradition of foreign policy in the country. On the other hand, it also tries to engage post-positivist traditions in Brazilian International Relations (IR) that have traditionally neglected the fields of FPA or Diplomatic Studies. In short, the SI starts from the premise that FPA is a field not necessarily connected to one methodological tradition. Interpretivist research can inform FPA, and FPA can inform interpretivist research.",International Relations,theoretical-normative,not_applicable,,,"This is an editorial introduction to a special issue on new directions for Foreign Policy Analysis. It is a purely theoretical and programmatic essay that discusses interpretivist and post-positivist approaches to FPA and Diplomatic Studies, with no empirical quantitative analysis, no dataset, no statistical methods, and no causal claims. It frames contributions to the special issue and argues for methodological pluralism in FPA.","""Introduce a special issue exploring interpretivist approaches to Foreign Policy Analysis and Diplomatic Studies, arguing FPA is not tied to one methodological tradition""",null,S0102-85292023000200904.json,general_goal_of_analysis_invalid,text_to_null_manual,FALSE,TRUE,TRUE,non_research_editorial
excluded_by_article,<NULL>,Exclu<c3><ad>do da an<c3><a1>lise principal por regra de artigo: non_research_editorial,,,S0102-85292023000200904,single_country_study,single_country | multiple_countries | <NULL>,FALSE,FALSE,Cannot infer single vs multiple countries safely.,Use single_country para um pa<c3><ad>s focal; multiple_countries para compara<c3><a7><c3><a3>o cross-country; <NULL> se n<c3><a3>o aplic<c3><a1>vel.,none,'Novas direções para a Análise de Política Externa': reconfigurando o campo,Carolina Salgado; Maíra Siman; Stefano Guzzini,2023,Contexto Internacional,0102-8529,en,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292023000200904&lng=pt,"Resumo Esta edição especial (vol. 45 (2) e vol. 46 (2)) apresenta (algumas) novas direções de pesquisa para a Análise de Política Externa (APE) e Estudos Diplomáticos. Ela é orientada pelo duplo objetivo de explorar os debates contemporâneos que têm alimentado abordagens interpretativas para a política externa e diplomacia e de engajar, através desse mesmo prisma, com dois públicos mais amplos no Brasil. Por um lado, busca conectar essas novas direções de pesquisa com acadêmicos que trabalham dentro da tradição analítica predominante de política externa no país. Por outro lado, tenta também engajar as tradições pós-positivistas nas Relações Internacionais (RI) brasileiras, que tradicionalmente negligenciaram os campos de APE ou Estudos Diplomáticos. Em resumo, a edição especial parte do pressuposto de que a APE é um campo não necessariamente ligado a uma única tradição metodológica. Pesquisas interpretativistas podem informar a APE, e a APE pode informar pesquisas interpretativistas.","Abstract This special issue (vol. 45 (2) and vol. 46(2)) presents (some) new research directions for Foreign Policy Analysis (FPA) and Diplomatic Studies. It is driven by the dual aim of exploring contemporary debates that have nourished interpretivist approaches to foreign policy and diplomacy and engaging, through this very prism, with two broader audiences in Brazil. On the one hand, it wishes to connect these recent research directions to scholars working within the prevalent analytical tradition of foreign policy in the country. On the other hand, it also tries to engage post-positivist traditions in Brazilian International Relations (IR) that have traditionally neglected the fields of FPA or Diplomatic Studies. In short, the SI starts from the premise that FPA is a field not necessarily connected to one methodological tradition. Interpretivist research can inform FPA, and FPA can inform interpretivist research.",International Relations,theoretical-normative,not_applicable,,,"This is an editorial introduction to a special issue on new directions for Foreign Policy Analysis. It is a purely theoretical and programmatic essay that discusses interpretivist and post-positivist approaches to FPA and Diplomatic Studies, with no empirical quantitative analysis, no dataset, no statistical methods, and no causal claims. It frames contributions to the special issue and argues for methodological pluralism in FPA.",false,false,S0102-85292023000200904.json,single_country_study_invalid,no_change_manual,FALSE,TRUE,TRUE,non_research_editorial
excluded_by_article,<NULL>,Exclu<c3><ad>do da an<c3><a1>lise principal por regra de artigo: non_research_obituary,,,S0011-52582008000200002,effort_to_explore_mechanisms,No Mention of Mechanisms/Channels | Mechanisms/Channels Mentioned But Not Explored | Mechanisms/Channels Mentioned With Substantial Exploration | <NULL>,FALSE,FALSE,Mechanism-exploration level cannot be inferred safely from a logical value.,Marque No Mention se n<c3><a3>o houver mecanismos; Mentioned But Not Explored se s<c3><b3> menciona; Substantial Exploration se analisa mecanismos.,none,Ruth Corrêa Leite Cardoso,Gilberto Velho,2008,Dados,1678-4588,pt,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582008000200002&lng=pt,,,Other,,,,,"This is a 4-page obituary/tribute to Ruth Corrêa Leite Cardoso by Gilberto Velho, published in Dados (2008). It is not a research article; it is a memorial note summarizing her intellectual trajectory and contributions to anthropology and political science. No research question, methodology, data, or analysis is present. Classification fields related to empirical or theoretical content are set to null or false.",false,false,S0011-52582008000200002.json,effort_to_explore_mechanisms_invalid,no_change_manual,FALSE,TRUE,TRUE,non_research_obituary
excluded_by_article,<NULL>,Exclu<c3><ad>do da an<c3><a1>lise principal por regra de artigo: non_independent_article_commentary,,,S0011-52582022000100401,effort_to_explore_mechanisms,No Mention of Mechanisms/Channels | Mechanisms/Channels Mentioned But Not Explored | Mechanisms/Channels Mentioned With Substantial Exploration | <NULL>,FALSE,FALSE,Mechanism-exploration level cannot be inferred safely from a logical value.,Marque No Mention se n<c3><a3>o houver mecanismos; Mentioned But Not Explored se s<c3><b3> menciona; Substantial Exploration se analisa mecanismos.,none,"Por uma Abordagem Interdisciplinar, Estrutural e Interseccional de Usuárias(os) do Estado: Comentário Crítico ao Artigo &#8220;Categorizando Usuários &#8216;Fáceis&#8217; e &#8216;Difíceis&#8217;...&#8221; de Gabriela Spanghero Lotta e Roberto Rocha Coelho Pires",Jaciane Milanezi,2022,Dados,0011-5258,pt,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582022000100401&lng=pt,"RESUMO O texto avalia a contribuição da pesquisa Categorizando usuários &#8220; fáceis &#8221; e &#8220; difíceis &#8221;, de Gabriela Spanghero Lotta e Roberto Rocha Coelho Pires, aos estudos sobre políticas públicas e suas interfaces com as desigualdades. Também apresenta questões para o avanço dessa agenda pelas Ciências Sociais, propondo uma perspectiva de análise interdisciplinar, estrutural e interseccional dos grupos governados pelo Estado, especialmente, as(os) consideradas(os) beneficiárias(os) de políticas públicas sociais.","ABSTRACT The text assesses the contribution of the study Categorizing &#8220;easy&#8221; and &#8220;difficult&#8221; users , by Gabriela Spanghero Lotta and Roberto Rocha Coelho Pires, to the field of public policies and its relation to inequalities. In addition, it presents questions to advance on the agenda by the Social Sciences, proposing an interdisciplinary, structural and intersectional analytical perspective of groups governed by the State which are considered beneficiaries of social public policies.",Public Policy/Administration,theoretical-normative,not applicable,Brazil,,"This is a critical commentary (Comentário Crítico) on another article, not an independent empirical study. It proposes a theoretical framework — interdisciplinary, structural, and intersectional — for analyzing state-governed populations and public policy beneficiaries. It contains no data analysis, no tables, no figures, no equations, and only 14 references, consistent with a short commentary piece rather than an empirical or even qualitative research article.",false,false,S0011-52582022000100401.json,effort_to_explore_mechanisms_invalid,no_change_manual,FALSE,TRUE,TRUE,non_independent_article_commentary
excluded_by_article,<NULL>,Exclu<c3><ad>do da an<c3><a1>lise principal por regra de artigo: non_research_editorial,,,S0102-85292023000200904,effort_to_explore_mechanisms,No Mention of Mechanisms/Channels | Mechanisms/Channels Mentioned But Not Explored | Mechanisms/Channels Mentioned With Substantial Exploration | <NULL>,FALSE,FALSE,Mechanism-exploration level cannot be inferred safely from a logical value.,Marque No Mention se n<c3><a3>o houver mecanismos; Mentioned But Not Explored se s<c3><b3> menciona; Substantial Exploration se analisa mecanismos.,none,'Novas direções para a Análise de Política Externa': reconfigurando o campo,Carolina Salgado; Maíra Siman; Stefano Guzzini,2023,Contexto Internacional,0102-8529,en,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292023000200904&lng=pt,"Resumo Esta edição especial (vol. 45 (2) e vol. 46 (2)) apresenta (algumas) novas direções de pesquisa para a Análise de Política Externa (APE) e Estudos Diplomáticos. Ela é orientada pelo duplo objetivo de explorar os debates contemporâneos que têm alimentado abordagens interpretativas para a política externa e diplomacia e de engajar, através desse mesmo prisma, com dois públicos mais amplos no Brasil. Por um lado, busca conectar essas novas direções de pesquisa com acadêmicos que trabalham dentro da tradição analítica predominante de política externa no país. Por outro lado, tenta também engajar as tradições pós-positivistas nas Relações Internacionais (RI) brasileiras, que tradicionalmente negligenciaram os campos de APE ou Estudos Diplomáticos. Em resumo, a edição especial parte do pressuposto de que a APE é um campo não necessariamente ligado a uma única tradição metodológica. Pesquisas interpretativistas podem informar a APE, e a APE pode informar pesquisas interpretativistas.","Abstract This special issue (vol. 45 (2) and vol. 46(2)) presents (some) new research directions for Foreign Policy Analysis (FPA) and Diplomatic Studies. It is driven by the dual aim of exploring contemporary debates that have nourished interpretivist approaches to foreign policy and diplomacy and engaging, through this very prism, with two broader audiences in Brazil. On the one hand, it wishes to connect these recent research directions to scholars working within the prevalent analytical tradition of foreign policy in the country. On the other hand, it also tries to engage post-positivist traditions in Brazilian International Relations (IR) that have traditionally neglected the fields of FPA or Diplomatic Studies. In short, the SI starts from the premise that FPA is a field not necessarily connected to one methodological tradition. Interpretivist research can inform FPA, and FPA can inform interpretivist research.",International Relations,theoretical-normative,not_applicable,,,"This is an editorial introduction to a special issue on new directions for Foreign Policy Analysis. It is a purely theoretical and programmatic essay that discusses interpretivist and post-positivist approaches to FPA and Diplomatic Studies, with no empirical quantitative analysis, no dataset, no statistical methods, and no causal claims. It frames contributions to the special issue and argues for methodological pluralism in FPA.",false,false,S0102-85292023000200904.json,effort_to_explore_mechanisms_invalid,no_change_manual,FALSE,TRUE,TRUE,non_research_editorial
